csat_id,ticket_id,customer_id,rating,survey_date,comments,would_recommend,response_time_satisfaction,resolution_satisfaction,agent_satisfaction,follow_up_required
76,171,1159,3,2024-04-24,,True,4,5,2,False
77,172,644,4,2023-05-27,,True,2,1,5,False
78,175,2643,2,2023-07-02,It plan nothing also trial drug art.,True,4,4,1,False
79,176,4726,3,2023-06-29,,False,3,2,1,False
80,177,4447,1,2024-04-23,,False,4,1,2,False
81,180,931,3,2024-10-28,Central executive southern many garden determine those nearly.,True,3,1,1,False
82,183,4265,2,2024-08-02,Service cup either Republican service no according. Chair reflect employee most beautiful.,True,5,1,3,False
83,185,308,4,2024-08-24,Sign might fact off important seven TV.,True,3,3,3,False
84,186,3570,5,2023-12-15,,False,2,2,5,False
85,187,2093,3,2024-06-05,,True,1,3,1,False
86,188,1861,5,2024-02-22,,False,4,4,5,False
87,189,3664,1,2024-07-23,Most skin car community government station.,False,2,5,1,False
88,195,2832,3,2024-08-01,,True,4,3,4,False
89,197,3445,1,2024-12-27,,False,2,4,5,False
90,199,288,4,2023-08-27,,False,3,2,4,False
91,201,2928,5,2024-04-07,Kind before necessary sell kid certainly once.,True,4,4,3,False
92,209,896,4,2024-06-01,Maybe between shake behind question.,True,2,4,2,False
93,211,3813,2,2023-05-20,,False,4,2,5,False
94,214,973,4,2023-03-06,Store end couple establish stage face now.,True,2,3,2,False
95,215,4803,5,2023-08-19,,False,1,2,1,True
96,217,429,4,2024-03-24,Dark record everybody sing. Life phone imagine second fund.,True,2,2,2,False
97,219,795,1,2024-10-10,,True,1,3,4,False
98,221,674,4,2024-01-18,,True,5,5,5,True
99,222,483,2,2023-06-14,,True,3,3,1,True
100,224,1168,3,2023-02-09,Career forward book cultural fish coach.,True,1,3,2,False
101,227,3567,3,2023-05-02,,True,5,3,3,False
102,228,3057,2,2024-07-09,,True,5,1,3,False
103,231,4582,3,2025-01-18,Across meeting agent leg general both. Stage type benefit fact measure dark Mr.,True,3,5,1,False
104,233,4424,4,2023-08-09,,True,4,1,3,False
105,235,4616,5,2023-11-09,Standard fall bag house response. Front indeed with.,False,2,4,5,False
106,238,3080,5,2023-05-06,,True,3,2,5,False
107,239,2218,2,2023-08-18,,True,1,4,5,False
108,243,4037,4,2023-05-28,,True,2,1,1,False
109,244,3248,4,2024-08-15,Tv management media new through. Board send behind.,False,5,1,5,False
110,245,3296,1,2024-12-12,,False,4,2,2,False
111,246,4183,5,2023-11-19,Room black current coach. Bring focus bank sometimes.,True,5,2,1,False
112,250,4290,3,2024-07-19,There whom peace area fear need.,True,4,1,2,True
113,256,3437,4,2023-02-25,Agency serve suggest late short. Lot bag mouth.,True,1,1,3,False
114,261,4390,4,2024-09-08,Back couple from case college think only.,False,2,5,4,False
115,262,4959,2,2023-11-25,,True,4,1,1,False
116,267,1184,4,2023-12-10,,True,3,5,1,False
117,271,2150,2,2024-03-29,,True,5,1,5,False
118,276,71,3,2025-01-03,,True,5,4,4,False
119,278,4107,2,2024-09-23,,True,3,3,4,False
120,281,3957,1,2024-02-22,,False,1,2,2,False
121,284,3991,3,2023-07-15,,True,3,4,4,False
122,287,1635,3,2024-02-26,,True,2,1,4,True
123,289,2066,1,2024-02-29,Something simple situation cause interview.,True,2,2,4,False
124,293,1506,3,2024-05-01,Today recently beyond event enough yard room behavior. White realize quickly difficult.,True,2,2,1,False
125,298,2325,2,2023-03-19,Hope back soldier feeling sure degree whatever.,False,3,2,1,False
126,301,1328,4,2024-06-27,Away better plan gun training.,False,3,3,2,False
127,302,3328,4,2023-02-11,Available beautiful remain author first address nation where. Inside sense goal.,True,4,3,2,True
128,309,799,1,2023-06-02,,True,1,5,1,False
129,310,792,5,2023-05-20,,True,3,3,1,False
130,312,2821,4,2023-09-25,Sign image various my put too dream. Control election scene fear.,True,1,1,2,True
131,313,1840,4,2024-05-17,,True,1,5,5,False
132,316,3997,3,2024-04-16,,False,5,4,2,False
133,318,3286,5,2023-08-04,,True,1,5,2,False
134,320,738,4,2023-03-21,,True,5,5,5,False
135,325,2087,1,2024-09-19,Both partner notice third evening method west.,True,3,1,4,False
136,326,2521,1,2025-01-30,,False,2,4,5,False
137,328,1341,4,2023-12-13,Language owner radio attack teach at into. Officer debate opportunity likely.,True,1,4,1,False
138,332,110,4,2024-05-26,Than hope mention move.,True,3,5,1,False
139,333,1379,5,2023-07-15,School none cover fund community eye.,True,5,4,1,False
140,334,2156,5,2023-08-09,,True,4,3,1,False
141,340,2699,5,2023-10-27,Wife although challenge for reality.,False,4,4,5,True
142,342,4038,5,2023-06-02,Quite ever wide character.,True,4,1,1,True
143,345,4924,3,2024-10-22,Operation dog determine travel despite. Enter standard central report business more.,True,3,2,3,True
144,347,1986,2,2023-12-02,,True,2,4,5,False
145,349,2087,5,2024-05-19,,True,1,1,4,False
146,350,292,3,2024-05-21,,True,1,3,2,False
147,353,2096,5,2023-03-28,Its design I from term.,False,5,4,3,False
148,359,454,2,2023-11-03,,True,3,2,2,False
149,360,3926,2,2023-04-03,Where administration anyone generation experience beyond. Want war new own bring.,False,3,2,2,False
150,361,1334,5,2023-12-24,,True,2,2,3,False
151,362,3718,2,2023-03-26,,True,5,1,3,False
152,365,3792,3,2023-04-02,,True,5,5,5,False
153,368,4724,1,2023-09-24,,True,3,4,1,False
154,370,2376,2,2024-11-06,,False,1,3,4,False
155,371,2331,3,2024-07-22,,True,2,2,5,False
156,373,74,3,2024-05-10,,True,2,5,1,False
157,375,3542,1,2023-02-10,,False,5,3,2,False
158,377,2561,4,2024-06-07,Energy specific teach reason player. What hospital black mother let college.,False,2,5,3,False
159,384,3167,5,2024-10-10,Election reduce it show yourself.,False,4,3,3,False
160,390,2962,2,2024-05-02,,False,3,3,2,True
161,391,2867,1,2024-01-06,,True,5,3,4,False
162,392,1652,5,2024-09-06,Baby child food fear.,True,3,4,3,False
163,393,661,1,2023-05-25,Mrs turn part quality compare.,False,1,2,1,True
164,395,4703,2,2024-11-02,,True,5,4,2,False
165,397,4563,5,2023-02-28,Chance behind already improve. Deal response all sing expert success.,False,1,5,2,False
166,401,2845,5,2023-11-06,,True,3,5,4,False
167,403,1097,5,2023-04-05,,True,4,4,2,False
168,404,1821,2,2023-04-27,,True,1,5,1,False
169,406,4419,2,2023-10-24,,False,2,3,5,False
170,408,2930,3,2023-02-19,,False,4,5,1,True
171,410,3865,1,2024-01-19,,True,1,3,5,False
172,415,4309,1,2023-06-09,,True,4,5,5,False
173,416,2547,4,2023-10-21,Card again common capital appear save glass.,False,4,2,5,False
174,419,1517,5,2024-10-05,,True,3,5,2,False
175,422,1595,1,2023-11-29,Chair hit finally. Consumer eight thank walk fear.,True,1,3,3,False
176,423,3427,5,2024-01-21,Generation ten crime return and guy market house. Fight condition maybe while condition wish base.,True,5,5,3,True
177,424,1232,4,2023-03-19,,True,2,3,2,True
178,431,2954,1,2025-01-09,,True,1,5,5,False
179,433,2891,3,2024-07-29,Million red candidate argue list and.,True,1,5,3,False
180,435,2744,4,2023-12-05,Religious science heavy approach. Old listen south away job piece.,False,3,3,3,False
181,438,2157,4,2023-10-30,,True,1,4,5,False
182,439,4155,4,2023-05-30,,True,4,1,1,True
183,440,4685,3,2024-10-17,,True,2,1,1,False
184,441,301,5,2023-02-06,,True,5,5,3,True
185,442,1378,3,2024-06-30,Government edge chair hit relate himself data. Give hotel process work enter low simply.,True,5,3,2,False
186,443,3655,1,2023-02-15,Study rather line sense deep mother move.,True,5,1,4,True
187,444,4635,1,2023-11-01,,False,2,5,1,False
188,452,2604,1,2023-03-19,,True,1,4,1,True
189,456,4218,5,2023-11-17,,True,2,2,5,False
190,457,147,4,2024-05-22,,True,2,3,2,False
191,458,366,5,2024-09-21,,True,2,3,1,False
192,459,4137,1,2023-03-06,,True,5,3,4,False
193,462,3204,1,2023-05-01,,True,5,5,3,False
194,466,4332,3,2023-05-15,,False,3,2,2,False
195,468,1479,1,2023-11-12,,True,4,1,3,False
196,469,4402,2,2023-12-12,,True,5,2,2,False
197,470,3546,3,2023-09-15,,True,5,2,2,False
198,475,2861,5,2024-07-29,Stage fight involve our look. Pattern worker hour short mind.,False,1,4,1,False
199,479,1803,3,2024-12-04,Suffer instead soldier read.,True,5,2,1,False
200,480,4773,4,2024-11-13,Minute do over team dog.,False,4,1,3,False
201,481,2454,5,2023-08-26,Cold race education federal ask. Oil family age win thousand somebody role.,True,4,4,1,True
202,482,4485,3,2024-10-29,,False,1,2,3,False
203,483,3259,1,2024-03-11,,True,3,3,3,False
204,485,2456,1,2024-12-24,Blood success major between seven. Cut whole foot outside involve.,True,4,3,2,False
205,486,984,4,2024-09-28,,True,5,5,3,False
206,497,3209,5,2024-11-21,,True,1,3,2,False
207,498,2088,5,2024-09-06,,True,4,4,3,False
208,499,3645,1,2023-05-06,,True,2,3,1,False
209,500,1883,4,2023-05-31,Much among a share car but south.,True,2,3,2,False
210,502,3123,4,2024-04-02,,True,4,2,2,False
211,506,4552,1,2024-01-31,Stock win oil the season arrive along.,True,3,3,3,False
212,510,125,3,2023-03-01,Yet institution beat standard well what. Kitchen hair action theory receive weight relationship ask.,True,1,4,3,False
213,511,4899,5,2024-09-06,,True,5,5,1,False
214,512,2664,3,2024-10-07,This begin fire trouble. Thing away model feeling.,False,3,4,4,False
215,515,2658,5,2023-03-03,,True,4,5,5,True
216,517,1384,4,2023-07-22,,True,4,4,3,False
217,525,2329,4,2023-06-27,Experience worker television believe challenge the direction certainly.,True,1,2,1,False
218,526,2802,2,2023-05-15,,False,5,3,1,False
219,530,3869,1,2023-12-14,That little science build state agree board. During through her couple best fine method.,True,1,1,5,False
220,535,543,5,2023-12-30,,False,4,3,2,True
221,536,2780,3,2023-09-30,,True,2,5,5,False
222,545,652,3,2024-02-02,Challenge music development water. Station always address research lose push debate.,True,1,1,1,False
223,548,2376,1,2024-09-01,,True,4,1,5,True
224,554,585,4,2023-10-27,,True,5,5,3,False
225,558,2508,2,2023-10-30,,True,4,1,3,False
226,563,1984,3,2023-03-30,Never hard floor chair itself federal feel hospital. Measure prevent buy time law.,True,5,5,1,False
227,564,2990,1,2023-05-07,,False,1,2,2,False
228,565,869,2,2023-05-30,,True,5,5,5,False
229,568,2798,3,2024-10-24,,False,1,2,2,False
230,569,4621,2,2023-03-29,,True,4,2,1,True
231,579,4365,5,2023-02-12,Consider stage plan never performance beyond. Executive worry discussion everything.,True,5,2,1,True
232,581,4126,5,2023-09-25,,False,2,4,4,True
233,583,4915,5,2023-01-25,,True,5,3,3,False
234,586,404,4,2023-10-16,,True,2,1,2,True
235,595,4316,5,2024-04-20,,True,4,2,1,False
236,597,4284,4,2023-05-08,Seven next player method attention.,False,4,4,4,False
237,601,1606,3,2024-11-06,Up prove word dinner.,False,4,3,1,False
238,602,2913,2,2023-01-29,,True,2,3,1,False
239,603,2552,5,2024-06-16,,True,1,5,3,False
240,604,3944,3,2023-09-24,Us point someone general head movement tonight national. Road quite forget hit think federal number.,True,5,3,5,False
241,605,4479,1,2024-06-09,,False,3,2,5,True
242,612,398,5,2023-03-30,Different kid produce business.,False,1,2,1,True
243,613,162,4,2024-12-20,,True,1,2,5,False
244,620,4019,5,2024-12-16,,False,4,1,2,False
245,624,1685,2,2024-12-08,Light me indeed impact easy.,True,1,3,4,True
246,629,1677,3,2023-12-26,,False,3,1,1,True
247,632,1242,4,2024-11-16,,True,2,1,4,False
248,638,2039,3,2023-10-15,Its how share throw.,True,4,5,4,False
249,639,4940,3,2024-01-22,Work south would discover high stop onto. Hit college nearly eight reach store start.,False,1,3,5,True
250,645,1512,3,2023-03-10,Security forget worker maybe memory loss. Figure customer color central long professor direction.,True,3,4,3,False
251,649,4464,4,2023-04-25,Check color news beautiful artist.,True,2,3,5,False
252,650,1681,1,2023-11-09,,False,4,5,1,False
253,652,3358,4,2024-02-23,,True,1,3,3,False
254,653,3689,5,2024-06-12,,False,5,1,5,False
255,654,2913,5,2024-10-12,,True,3,2,2,True
256,659,1622,4,2023-06-25,,True,3,5,3,False
257,662,1468,5,2023-06-14,,True,2,2,2,True
258,663,365,1,2025-01-18,,False,3,2,4,False
259,664,4205,2,2024-05-25,Everyone question yard decision west.,True,4,4,3,False
260,665,4156,3,2024-08-22,Go rate magazine health huge. Animal concern most.,True,3,4,3,False
261,668,1317,2,2024-02-25,,False,4,3,4,False
262,669,3300,5,2023-04-01,Street themselves step give consider. Green office tonight.,True,3,1,5,False
263,671,2228,5,2023-07-18,,True,1,4,3,False
264,672,4731,4,2023-12-31,Stage street sea team need through forward. Hotel analysis daughter society nice.,True,3,5,4,False
265,673,178,3,2024-11-30,,True,5,1,4,False
266,675,3522,4,2023-01-15,Organization development question pull. Mr age offer policy.,False,2,1,5,False
267,676,3578,1,2024-08-27,,True,3,3,5,False
268,678,3625,2,2024-12-02,,True,2,2,1,False
269,682,667,5,2024-05-08,,True,2,5,3,False
270,684,3981,1,2024-05-30,,False,1,3,5,False
271,687,373,4,2024-09-22,,True,1,2,1,False
272,689,445,3,2023-02-16,,True,1,3,3,False
273,690,3993,5,2023-07-20,,True,1,4,2,False
274,691,4993,1,2023-07-10,,True,4,5,3,False
275,695,4030,5,2024-02-29,,True,2,1,2,False
276,698,15,4,2024-10-13,,False,4,5,4,False
277,700,2881,3,2023-10-17,,True,3,2,4,False
278,703,1768,2,2023-09-07,,True,3,5,5,False
279,705,3573,4,2023-12-22,,True,1,5,5,False
280,706,1299,5,2024-04-09,Draw everything shoulder surface morning detail.,False,3,5,1,True
281,715,2090,5,2023-05-22,,True,4,5,4,True
282,717,3344,4,2023-07-22,Wait present child candidate number. Civil set collection offer image condition table.,True,5,3,3,False
283,718,1702,4,2023-12-27,,True,5,4,4,False
284,721,958,3,2024-04-14,,True,4,1,3,False
285,723,3291,1,2023-12-12,Reality Mrs career recent. Nothing message international star third upon should.,False,1,5,2,False
286,724,4411,4,2024-10-23,,True,5,5,1,False
287,727,2852,2,2023-12-30,Four state agent third.,True,1,3,3,False
288,729,1323,4,2024-06-07,,False,5,5,3,False
289,730,4171,2,2023-06-10,,True,5,1,2,False
290,732,3041,5,2023-06-12,,True,3,4,3,True
291,736,456,2,2024-01-14,Practice be pay power middle. More nature approach.,True,2,4,3,False
292,737,4525,4,2024-06-05,,False,2,4,1,False
293,743,2290,3,2023-07-15,,True,3,2,3,False
294,744,2936,2,2025-01-09,,True,1,4,5,False
295,745,599,3,2023-05-15,,True,5,1,3,False
296,746,538,1,2023-11-18,Consumer student hundred attack hotel. Wrong until break improve across none.,True,5,2,2,True
297,749,236,2,2023-07-26,Detail image tonight five effect up.,True,1,5,5,False
298,751,2891,3,2023-11-19,Soldier next market simply degree.,False,1,3,3,False
299,756,3254,3,2023-05-29,Total defense small. Husband all mouth author important hold.,True,1,1,3,True
300,758,4622,5,2023-09-24,,True,3,2,4,True
301,760,4491,4,2024-02-09,,True,4,2,3,False
302,766,1156,4,2024-08-25,Win action news record sign good heart dog. Pass hospital official.,True,4,4,2,True
303,767,980,1,2024-10-10,Senior represent kind enough gas baby produce. Drive imagine admit well ago reason.,False,4,2,3,False
304,771,4874,4,2023-04-19,,True,5,2,5,False
305,772,4622,4,2024-12-01,,False,1,4,5,True
306,773,1979,4,2024-11-21,,False,1,3,2,False
307,782,1957,3,2024-05-12,,True,3,4,1,False
308,788,3147,3,2023-11-07,Relationship leave save best professional. Write or up thus cultural worker final stage.,True,5,1,4,False
309,802,4527,2,2024-08-01,,False,1,2,3,False
310,804,2835,4,2024-07-08,,True,3,4,5,True
311,805,1217,1,2023-01-22,,True,3,4,1,False
312,811,144,5,2024-03-26,No wait always so government.,True,3,2,3,False
313,812,2965,4,2024-06-06,Walk order sea test fast. Must minute order through respond.,True,1,2,5,False
314,814,3651,1,2023-10-19,,True,3,1,3,False
315,817,873,2,2023-12-19,,True,2,5,4,False
316,818,2046,3,2024-07-22,,True,2,4,2,True
317,819,4584,1,2023-11-21,,True,5,4,2,True
318,826,3423,2,2023-05-05,Meet financial itself idea product leg. Language from watch character.,True,5,2,3,False
319,829,1347,4,2024-03-18,,True,2,4,2,False
320,834,382,1,2024-11-18,,False,5,5,3,False
321,839,4614,4,2023-03-21,Step her animal many. Go development wide model event almost else.,True,1,2,4,False
322,842,4846,1,2024-06-02,,True,3,5,1,True
323,851,674,4,2023-05-31,,True,4,2,5,False
324,857,966,3,2024-04-20,,False,5,5,1,False
325,864,351,4,2023-08-05,Reason too federal present pressure. He care quickly.,True,1,2,1,False
326,867,3026,1,2023-02-05,,True,1,4,2,True
327,868,1089,4,2023-12-09,None region minute home age both home close.,False,5,2,4,False
328,870,4446,3,2023-10-30,New another sport value pattern set. Development create author there machine answer recent.,True,5,1,5,False
329,873,1570,3,2024-12-27,Morning house window raise fast near among eight.,True,4,4,3,False
330,875,2784,3,2024-10-24,Compare need sound program.,True,1,3,1,True
331,877,2725,2,2024-10-20,Sure debate after price.,True,2,5,2,False
332,878,3571,5,2024-10-27,Lose garden leg him. Sell matter change tough heart agency.,False,5,2,1,False
333,881,2210,2,2024-09-27,Economic worker play force general drive.,False,3,5,4,False
334,882,788,1,2024-03-03,Lot marriage drug minute week. Other have spring series first include.,True,5,4,3,False
335,883,4739,2,2024-02-20,,True,3,2,5,True
336,884,4620,2,2023-10-02,Indicate manager usually despite short learn.,False,4,1,4,True
337,887,3559,4,2023-05-30,,True,1,3,1,False
338,888,3081,3,2024-05-25,Performance night compare.,True,3,5,5,True
339,890,1583,4,2023-12-17,Reduce establish foreign another us.,False,2,4,3,False
340,891,2312,1,2023-09-18,,True,4,1,2,False
341,893,4535,4,2023-10-27,,True,1,3,3,False
342,894,4858,1,2023-11-30,,True,5,3,3,False
343,896,2552,4,2023-04-20,,True,2,3,1,False
344,899,4581,2,2024-07-14,,True,3,5,4,False
345,905,959,4,2024-07-14,,False,2,2,3,False
346,906,4732,4,2024-02-29,,False,2,2,3,True
347,908,2061,1,2024-04-23,,False,3,1,1,False
348,910,1351,4,2023-05-14,Case consumer read full.,True,1,1,2,False
349,911,1433,4,2024-07-30,,True,2,1,1,False
350,914,2190,3,2024-09-06,,True,2,1,3,True
351,917,4015,5,2023-09-09,,True,2,5,3,False
352,918,411,3,2024-05-25,,True,2,1,4,True
353,919,4747,2,2023-01-30,,True,4,3,1,False
354,921,4391,1,2023-09-13,,True,4,4,4,True
355,923,987,5,2024-05-21,,True,5,2,3,False
356,927,4496,2,2023-11-29,,True,5,1,5,False
357,930,946,1,2023-08-08,Party list manage sell character.,True,5,2,5,False
358,933,3040,3,2023-01-31,,False,1,3,3,False
359,934,3357,2,2024-06-24,,True,4,2,1,False
360,935,3558,2,2024-05-29,,True,1,3,1,False
361,936,4776,3,2023-11-08,,True,2,3,1,False
362,937,2595,2,2024-12-19,,True,3,3,5,False
363,939,4285,5,2023-10-04,,True,1,4,1,False
364,940,2384,2,2024-05-21,Maintain she apply today. Toward reality enter society think someone.,True,2,5,4,False
365,942,4871,3,2023-03-16,,False,4,3,4,False
366,943,1137,4,2024-07-18,Enjoy series myself name here. Nice wind cover camera school ten including.,True,5,1,1,False
367,944,737,1,2025-01-18,,True,1,4,3,False
368,945,3899,2,2024-07-23,Television maybe someone friend know become song. Tell fast strategy model walk.,True,1,4,4,False
369,950,3962,2,2023-08-25,One new grow sister word realize. Go remember hard relationship.,False,4,4,3,True
370,951,439,2,2023-09-12,Science meeting series.,False,2,2,5,False
371,953,3716,3,2024-09-07,,True,2,3,2,False
372,954,3349,5,2024-07-17,,False,2,3,4,False
373,955,2980,4,2024-09-01,Build low report whole officer from house.,True,3,3,1,False
374,958,241,5,2023-11-15,National able check fast.,True,2,4,2,False
375,961,2276,5,2023-11-30,,False,2,4,1,False
376,962,1106,1,2023-08-26,Fund owner base. Hair right get subject.,True,5,4,3,False
377,964,2717,1,2023-02-18,,True,1,4,2,False
378,967,805,1,2023-11-16,Exactly political factor say if artist human.,True,5,2,3,False
379,968,3052,4,2024-01-12,,False,3,2,1,False
380,970,3099,4,2024-05-30,Movement final worker most by blue least.,False,1,1,2,False
381,973,1516,3,2024-08-04,,True,5,2,2,False
382,977,1664,5,2024-04-23,,True,2,3,1,False
383,980,1259,2,2025-01-04,His officer several. Artist color both somebody institution someone reach.,True,4,4,5,False
384,982,508,2,2023-03-19,Quite religious onto clear cell or whose.,True,5,2,1,True
385,983,2738,4,2024-05-13,,False,2,4,1,True
386,987,351,5,2024-01-24,,False,3,1,2,False
387,989,1839,5,2024-10-28,,True,2,5,5,False
388,993,6,5,2023-04-07,,True,5,2,1,False
389,997,433,1,2023-11-25,Provide bag someone pay.,True,1,1,1,False
390,998,2180,5,2024-02-21,,False,3,3,5,False
391,1003,3538,4,2023-02-26,,True,1,4,4,False
392,1007,626,1,2024-10-09,Consider responsibility avoid author expect.,True,3,2,3,False
393,1009,2979,2,2023-12-28,Poor face subject administration not economic.,True,3,1,3,False
394,1011,2680,3,2024-10-13,,True,1,4,1,False
395,1013,4372,3,2023-12-30,Style actually perhaps in. Road rule difficult attention sometimes better.,True,3,1,5,False
396,1018,2320,4,2023-09-27,Action event growth idea rock. Sign environment ago answer manager.,True,1,1,5,False
397,1019,877,4,2023-07-01,Ability college whom husband protect outside.,True,4,3,1,True
398,1020,3310,2,2024-10-10,Heart possible morning their hour concern. Lead want deal success civil.,True,3,1,4,True
399,1026,2789,2,2023-06-25,Become anything big science economic national necessary. Perform new process major whose take.,True,3,1,3,False
400,1027,2814,1,2023-04-28,,False,4,2,3,False
401,1028,2152,2,2023-04-26,,True,3,4,4,False
402,1032,2095,3,2024-03-07,,True,4,2,2,False
403,1035,3254,4,2023-07-24,,True,3,1,2,False
404,1037,4350,1,2023-10-08,Even under entire next guy. Value lawyer better all know.,True,5,4,1,False
405,1038,4769,4,2024-10-01,,False,3,1,5,False
406,1039,1953,3,2023-11-07,,True,1,5,5,False
407,1041,3182,4,2023-09-27,,True,2,4,2,False
408,1042,3669,1,2024-08-19,Parent material teach TV relate morning human success. Measure if face public water century.,True,3,3,4,False
409,1043,436,2,2023-08-04,,False,1,4,4,False
410,1045,3027,1,2024-10-11,,False,4,1,3,False
411,1049,2563,2,2023-07-13,,True,5,5,5,False
412,1050,2816,5,2024-03-18,Investment certainly any piece. Since everybody around mouth offer maybe.,False,2,4,1,False
413,1055,3352,1,2023-06-22,Often ability often six road. Structure son painting.,False,2,4,4,True
414,1056,2633,3,2023-09-11,,True,2,5,2,False
415,1063,3186,2,2025-01-07,,True,1,3,1,False
416,1064,1055,2,2023-12-23,,True,4,5,5,False
417,1066,801,1,2024-04-02,,True,5,2,4,False
418,1067,3143,1,2024-09-15,,True,2,5,3,True
419,1070,4718,3,2023-03-21,,True,2,4,5,False
420,1071,944,3,2023-08-04,,True,2,1,4,True
421,1072,4031,5,2024-10-22,,True,1,1,4,True
422,1073,4651,3,2023-08-21,,True,1,4,1,True
423,1075,4113,1,2024-02-18,,False,1,1,2,False
424,1078,1504,3,2023-03-27,Do process half of garden.,True,5,2,5,False
