violation_id,ticket_id,violation_type,sla_hours,actual_hours,violation_date,severity,impact,action_taken
85,469,Response Time,8,24.0,2023-11-08,Major,Low,Manager Notified
86,472,Response Time,24,48.0,2023-09-04,Major,High,Escalated
87,474,Response Time,8,24.0,2024-05-08,Minor,Medium,Process Review
88,486,Response Time,2,24.0,2024-09-03,Minor,Medium,Escalated
89,488,Response Time,8,24.0,2023-04-11,Major,Medium,None
90,503,Response Time,2,24.0,2024-03-29,Minor,Low,Escalated
91,512,Response Time,2,24.0,2024-09-10,Major,High,Process Review
92,513,Response Time,2,24.0,2024-10-12,Minor,High,Escalated
93,514,Response Time,8,24.0,2023-05-24,Critical,High,Escalated
94,517,Response Time,2,24.0,2023-07-13,Major,Low,Escalated
95,523,Response Time,8,48.0,2023-09-03,Critical,Medium,Process Review
96,528,Response Time,8,24.0,2023-07-26,Major,Medium,Process Review
97,532,Response Time,2,24.0,2024-01-04,Critical,Medium,Manager Notified
98,534,Response Time,24,48.0,2023-10-21,Major,High,Process Review
99,542,Response Time,2,24.0,2023-09-09,Major,Medium,Escalated
100,550,Response Time,8,24.0,2024-09-02,Critical,High,None
101,557,Response Time,8,24.0,2024-02-27,Minor,Low,None
102,558,Response Time,2,24.0,2023-10-03,Minor,High,Manager Notified
103,559,Response Time,2,24.0,2023-07-28,Critical,Low,None
104,592,Response Time,2,24.0,2023-01-16,Critical,Medium,Manager Notified
105,593,Response Time,2,24.0,2023-05-21,Minor,High,Process Review
106,608,Response Time,2,24.0,2024-06-02,Major,High,Escalated
107,626,Response Time,2,24.0,2023-08-03,Minor,High,Process Review
108,627,Response Time,2,24.0,2023-06-15,Major,High,None
109,630,Response Time,2,24.0,2023-08-01,Major,Low,Manager Notified
110,631,Response Time,8,24.0,2024-03-26,Major,High,Process Review
111,632,Response Time,2,24.0,2024-11-05,Minor,Low,Escalated
112,639,Response Time,8,24.0,2023-12-24,Major,High,None
113,643,Response Time,2,24.0,2024-04-27,Critical,High,Process Review
114,644,Response Time,8,24.0,2024-06-09,Major,Medium,Manager Notified
115,674,Response Time,8,24.0,2024-08-30,Minor,Low,Manager Notified
116,692,Response Time,8,24.0,2024-05-17,Minor,High,Manager Notified
117,696,Response Time,8,24.0,2023-06-23,Major,Medium,None
118,700,Response Time,2,24.0,2023-09-14,Minor,High,Escalated
119,701,Response Time,2,24.0,2023-08-02,Minor,Medium,Escalated
120,708,Response Time,2,24.0,2023-01-30,Major,High,Manager Notified
121,715,Response Time,24,48.0,2023-04-20,Minor,Low,Manager Notified
122,725,Response Time,8,24.0,2023-05-21,Major,High,Process Review
123,730,Response Time,2,24.0,2023-06-03,Minor,High,Process Review
124,736,Response Time,2,24.0,2023-12-19,Minor,Low,Manager Notified
125,743,Response Time,2,24.0,2023-07-11,Major,Medium,Process Review
126,746,Response Time,2,24.0,2023-10-26,Critical,High,Process Review
127,754,Response Time,8,24.0,2023-11-20,Minor,Low,None
128,756,Response Time,8,24.0,2023-05-22,Critical,Low,Escalated
129,761,Response Time,2,24.0,2024-09-30,Critical,Medium,Manager Notified
130,763,Response Time,8,24.0,2024-02-12,Major,Low,Process Review
131,765,Response Time,2,24.0,2024-06-22,Minor,Medium,None
132,769,Response Time,2,24.0,2024-04-20,Minor,Medium,Escalated
133,770,Response Time,2,24.0,2024-06-17,Major,High,None
134,788,Response Time,2,24.0,2023-10-14,Minor,Medium,None
135,796,Response Time,2,48.0,2024-02-03,Critical,High,None
136,807,Response Time,8,24.0,2024-12-21,Critical,High,Escalated
137,809,Response Time,2,24.0,2023-04-18,Major,High,Process Review
138,813,Response Time,2,24.0,2024-01-19,Major,Medium,Process Review
139,819,Response Time,8,24.0,2023-10-30,Major,High,Escalated
140,821,Response Time,2,24.0,2023-03-24,Critical,Low,Process Review
141,822,Response Time,2,24.0,2024-01-25,Critical,High,Manager Notified
142,824,Response Time,2,24.0,2024-07-03,Major,Low,None
143,825,Response Time,2,24.0,2023-06-24,Critical,Medium,None
144,837,Response Time,8,24.0,2023-05-16,Minor,Medium,Manager Notified
145,847,Response Time,2,24.0,2023-05-13,Minor,Low,None
146,851,Response Time,8,24.0,2023-05-07,Major,Medium,None
147,866,Response Time,2,48.0,2024-09-30,Minor,High,Manager Notified
148,881,Response Time,8,24.0,2024-08-30,Minor,Medium,Escalated
149,893,Response Time,2,24.0,2023-10-09,Major,Low,None
150,901,Response Time,8,24.0,2023-10-20,Minor,High,Process Review
151,916,Response Time,8,24.0,2024-12-24,Critical,Medium,Manager Notified
152,927,Response Time,2,24.0,2023-11-16,Minor,Medium,Manager Notified
153,930,Response Time,8,24.0,2023-07-10,Major,High,Escalated
154,933,Response Time,2,24.0,2023-01-15,Minor,High,Escalated
155,935,Response Time,8,24.0,2024-05-12,Minor,High,Process Review
156,940,Response Time,2,24.0,2024-05-02,Minor,High,Escalated
157,943,Response Time,8,24.0,2024-06-26,Minor,Low,Manager Notified
158,951,Response Time,2,24.0,2023-09-07,Minor,Medium,Escalated
159,959,Response Time,8,24.0,2024-11-14,Minor,Low,Manager Notified
160,961,Response Time,8,24.0,2023-10-31,Minor,High,Escalated
161,967,Response Time,2,24.0,2023-10-29,Critical,Low,None
162,969,Response Time,8,24.0,2024-01-19,Minor,Low,None
163,972,Response Time,2,24.0,2024-02-04,Major,Low,None
164,973,Response Time,8,24.0,2024-07-16,Minor,Medium,Process Review
165,977,Response Time,2,24.0,2024-04-20,Major,High,Manager Notified
166,983,Response Time,8,24.0,2024-04-28,Critical,High,Escalated
167,984,Response Time,8,24.0,2024-10-13,Minor,High,Manager Notified
168,998,Response Time,8,24.0,2024-01-28,Critical,High,Process Review
169,1002,Response Time,2,24.0,2024-07-31,Major,Low,None
170,1003,Response Time,8,24.0,2023-02-12,Major,High,Manager Notified
171,1006,Response Time,2,24.0,2023-05-04,Minor,High,Process Review
172,1007,Response Time,2,24.0,2024-09-26,Major,Medium,None
173,1009,Response Time,8,24.0,2023-12-18,Critical,High,Escalated
174,1012,Response Time,8,24.0,2024-08-10,Critical,Low,Manager Notified
175,1020,Response Time,2,24.0,2024-09-21,Minor,Medium,Manager Notified
176,1021,Response Time,8,24.0,2024-05-11,Major,Medium,Manager Notified
177,1023,Response Time,2,24.0,2024-10-13,Minor,Low,None
178,1034,Response Time,2,24.0,2024-01-27,Major,Low,None
179,1038,Response Time,2,24.0,2024-09-21,Major,Medium,Manager Notified
180,1046,Response Time,8,24.0,2024-08-12,Critical,Low,Process Review
181,1050,Response Time,2,24.0,2024-02-15,Major,High,Process Review
182,1058,Response Time,8,24.0,2023-08-01,Minor,Medium,Process Review
183,1063,Response Time,8,24.0,2024-12-29,Minor,High,Process Review
184,1065,Response Time,8,24.0,2023-06-05,Minor,Low,Escalated
185,1066,Response Time,8,24.0,2024-03-31,Critical,Low,Manager Notified
186,1071,Response Time,2,24.0,2023-07-15,Minor,High,None
187,1073,Response Time,8,24.0,2023-07-30,Critical,Medium,Process Review
188,1086,Response Time,8,24.0,2024-01-07,Minor,Medium,Escalated
189,1095,Response Time,8,24.0,2023-06-13,Critical,High,Escalated
190,1102,Response Time,8,24.0,2023-12-01,Minor,Medium,Manager Notified
191,1106,Response Time,2,24.0,2024-01-18,Minor,Low,Process Review
192,1107,Response Time,2,24.0,2023-10-07,Major,Medium,None
193,1117,Response Time,2,24.0,2023-09-26,Minor,Medium,Manager Notified
194,1123,Response Time,8,24.0,2024-12-14,Minor,High,Escalated
195,1127,Response Time,8,24.0,2023-08-29,Critical,High,Manager Notified
196,1128,Response Time,8,24.0,2023-03-24,Critical,Low,Process Review
197,1129,Response Time,2,24.0,2023-11-27,Critical,High,None
198,1132,Response Time,8,24.0,2024-12-05,Major,Low,Escalated
199,1139,Response Time,2,24.0,2023-07-10,Critical,High,Manager Notified
200,1140,Response Time,2,24.0,2023-07-24,Major,Medium,Escalated
201,1146,Response Time,2,24.0,2023-02-26,Minor,High,Escalated
202,1155,Response Time,8,24.0,2024-06-30,Minor,Low,None
203,1157,Response Time,8,24.0,2023-10-18,Critical,Low,Process Review
204,1159,Response Time,2,24.0,2023-12-01,Major,Medium,Escalated
205,1162,Response Time,8,48.0,2023-03-14,Critical,High,Process Review
206,1163,Response Time,8,24.0,2024-06-28,Minor,High,None
207,1171,Response Time,8,24.0,2024-04-17,Major,Medium,None
208,1173,Response Time,8,48.0,2023-11-14,Minor,Low,Process Review
209,1181,Response Time,2,24.0,2023-12-24,Critical,High,Manager Notified
210,1186,Response Time,2,24.0,2023-05-30,Major,High,Escalated
211,1191,Response Time,2,24.0,2024-01-20,Critical,Medium,None
212,1206,Response Time,8,24.0,2023-04-23,Critical,High,None
213,1209,Response Time,8,24.0,2024-04-20,Major,Medium,None
214,1212,Response Time,2,24.0,2024-01-20,Critical,Medium,None
215,1217,Response Time,2,24.0,2023-02-15,Major,Medium,Process Review
216,1229,Response Time,2,24.0,2024-05-31,Critical,Low,Escalated
217,1231,Response Time,2,24.0,2023-02-18,Minor,High,Manager Notified
218,1232,Response Time,8,24.0,2023-12-21,Critical,Low,Process Review
219,1234,Response Time,8,24.0,2023-01-14,Minor,High,Process Review
220,1236,Response Time,2,24.0,2023-11-02,Critical,Low,Process Review
221,1238,Response Time,8,24.0,2023-03-20,Major,Medium,Process Review
222,1243,Response Time,8,24.0,2024-06-15,Minor,Low,Escalated
223,1246,Response Time,8,24.0,2024-05-30,Major,Low,Escalated
224,1248,Response Time,8,24.0,2023-02-16,Major,Medium,Escalated
225,1249,Response Time,2,24.0,2024-06-21,Minor,Medium,Process Review
226,1250,Response Time,8,24.0,2023-10-22,Critical,High,Process Review
227,1257,Response Time,8,24.0,2023-06-07,Major,Medium,None
228,1258,Response Time,8,24.0,2024-03-12,Minor,Medium,Process Review
229,1259,Response Time,8,24.0,2024-08-23,Critical,Low,Process Review
230,1266,Response Time,8,24.0,2023-09-06,Minor,Low,Manager Notified
231,1280,Response Time,2,24.0,2023-01-06,Minor,Medium,Escalated
232,1281,Response Time,8,24.0,2024-05-02,Major,Low,Escalated
233,1283,Response Time,2,24.0,2023-05-21,Minor,Medium,Manager Notified
234,1288,Response Time,8,24.0,2024-10-07,Critical,Medium,Escalated
235,1291,Response Time,8,24.0,2024-10-05,Major,Low,None
236,1292,Response Time,8,24.0,2023-05-30,Major,Low,Manager Notified
237,1299,Response Time,2,24.0,2024-12-15,Major,Low,None
238,1303,Response Time,8,24.0,2024-02-20,Major,Medium,None
239,1304,Response Time,8,24.0,2024-06-10,Critical,High,Process Review
240,1316,Response Time,2,24.0,2023-07-25,Critical,Medium,Manager Notified
241,1317,Response Time,24,48.0,2023-01-31,Major,High,Manager Notified
242,1321,Response Time,2,24.0,2024-09-10,Critical,High,Escalated
243,1325,Response Time,8,24.0,2023-08-07,Major,Medium,Escalated
244,1340,Response Time,8,24.0,2024-09-18,Critical,Medium,Escalated
245,1348,Response Time,2,24.0,2024-09-06,Minor,Medium,Escalated
246,1349,Response Time,8,24.0,2024-05-12,Critical,High,Process Review
247,1352,Response Time,2,24.0,2024-06-12,Minor,High,Escalated
248,1359,Response Time,8,24.0,2023-09-05,Major,High,Manager Notified
249,1369,Response Time,2,24.0,2024-02-02,Major,High,Process Review
250,1378,Response Time,8,24.0,2024-11-25,Major,High,None
251,1382,Response Time,8,24.0,2023-01-18,Major,Low,None
252,1386,Response Time,8,24.0,2024-04-09,Minor,Low,Escalated
253,1398,Response Time,2,24.0,2023-03-10,Critical,High,Process Review
254,1404,Response Time,8,24.0,2024-07-15,Minor,Medium,Escalated
255,1408,Response Time,8,24.0,2023-01-07,Major,High,Escalated
256,1415,Response Time,2,24.0,2024-02-17,Minor,Low,None
257,1418,Response Time,8,24.0,2023-07-23,Minor,Low,Manager Notified
258,1425,Response Time,8,24.0,2024-10-25,Major,High,Escalated
259,1436,Response Time,2,24.0,2023-09-12,Critical,Medium,Process Review
260,1439,Response Time,8,24.0,2023-03-12,Critical,Low,Manager Notified
261,1443,Response Time,8,24.0,2023-07-06,Minor,High,None
262,1457,Response Time,8,24.0,2023-10-03,Minor,Medium,Process Review
263,1459,Response Time,2,24.0,2023-08-31,Critical,Low,None
264,1460,Response Time,2,24.0,2024-02-20,Minor,Medium,Escalated
265,1468,Response Time,2,24.0,2024-03-19,Major,Low,Process Review
266,1472,Response Time,8,24.0,2023-06-29,Major,Low,Process Review
267,1475,Response Time,2,24.0,2024-03-30,Critical,Medium,None
268,1477,Response Time,8,24.0,2024-07-05,Major,Low,Process Review
269,1481,Response Time,2,24.0,2023-03-05,Minor,Medium,Escalated
270,1491,Response Time,8,24.0,2023-07-13,Minor,High,Manager Notified
271,1492,Response Time,2,24.0,2024-06-28,Critical,Low,Escalated
272,1502,Response Time,2,24.0,2024-08-23,Critical,Medium,Escalated
273,1513,Response Time,8,24.0,2024-05-16,Critical,High,Manager Notified
274,1517,Response Time,8,24.0,2023-03-12,Critical,Low,Process Review
275,1519,Response Time,2,24.0,2024-06-09,Minor,Medium,Process Review
276,1520,Response Time,8,24.0,2023-09-10,Critical,High,None
277,1521,Response Time,8,24.0,2023-05-30,Major,Low,Manager Notified
278,1522,Response Time,8,24.0,2023-10-16,Major,Low,Process Review
279,1535,Response Time,2,24.0,2024-04-14,Minor,High,Escalated
280,1539,Response Time,8,24.0,2024-03-28,Minor,Medium,Manager Notified
281,1555,Response Time,2,24.0,2023-03-08,Minor,Medium,Escalated
282,1563,Response Time,8,24.0,2023-02-10,Minor,Low,None
283,1564,Response Time,2,24.0,2023-10-01,Critical,Low,Escalated
284,1567,Response Time,8,24.0,2023-03-08,Major,Low,Escalated
285,1568,Response Time,2,24.0,2024-05-22,Major,Medium,Escalated
286,1572,Response Time,8,24.0,2024-03-13,Critical,Medium,Manager Notified
287,1573,Response Time,8,48.0,2024-02-01,Major,High,Process Review
288,1577,Response Time,2,24.0,2023-03-12,Critical,High,Escalated
289,1579,Response Time,2,24.0,2023-05-24,Minor,High,Escalated
290,1580,Response Time,2,24.0,2024-11-11,Major,High,Process Review
291,1584,Response Time,8,24.0,2024-12-21,Critical,Medium,Escalated
292,1588,Response Time,24,48.0,2024-10-24,Minor,Medium,None
293,1594,Response Time,2,24.0,2023-04-08,Major,High,Escalated
294,1606,Response Time,8,24.0,2023-11-01,Critical,Medium,Process Review
295,1612,Response Time,8,24.0,2023-07-06,Minor,Low,None
296,1620,Response Time,2,24.0,2023-04-08,Major,Medium,Manager Notified
297,1622,Response Time,8,24.0,2023-04-18,Critical,High,Escalated
298,1643,Response Time,8,24.0,2024-09-04,Major,High,None
299,1658,Response Time,8,24.0,2024-10-10,Major,Low,Manager Notified
300,1662,Response Time,8,48.0,2023-12-27,Major,Medium,Process Review
301,1668,Response Time,8,24.0,2024-10-12,Minor,Low,Manager Notified
302,1683,Response Time,2,24.0,2023-12-18,Major,Medium,Process Review
303,1685,Response Time,8,24.0,2024-08-13,Critical,Medium,Escalated
304,1689,Response Time,8,24.0,2023-09-03,Major,Medium,None
305,1692,Response Time,2,24.0,2024-10-31,Minor,Low,Process Review
306,1697,Response Time,2,24.0,2023-08-14,Major,Low,Escalated
307,1700,Response Time,2,24.0,2023-08-17,Critical,High,Escalated
308,1705,Response Time,2,24.0,2024-02-12,Major,High,Escalated
309,1707,Response Time,2,24.0,2023-08-09,Major,Medium,None
310,1709,Response Time,2,24.0,2024-05-29,Critical,High,Manager Notified
311,1710,Response Time,2,24.0,2024-03-24,Minor,High,None
312,1711,Response Time,8,24.0,2024-12-18,Minor,Low,None
313,1714,Response Time,8,24.0,2023-05-14,Major,Low,None
314,1717,Response Time,8,24.0,2023-10-31,Minor,Medium,Manager Notified
315,1718,Response Time,8,24.0,2023-08-22,Minor,Low,Escalated
316,1719,Response Time,2,24.0,2024-07-01,Minor,High,Process Review
317,1724,Response Time,2,24.0,2024-06-04,Critical,Low,Escalated
318,1744,Response Time,8,24.0,2023-07-02,Critical,Low,Escalated
319,1746,Response Time,2,24.0,2024-07-02,Minor,Low,Escalated
320,1751,Response Time,8,24.0,2023-02-27,Major,Medium,None
321,1756,Response Time,8,24.0,2024-11-06,Minor,Low,Escalated
322,1759,Response Time,2,24.0,2024-01-15,Minor,High,Escalated
323,1760,Response Time,8,24.0,2023-10-25,Minor,Low,Manager Notified
324,1761,Response Time,8,48.0,2023-07-21,Major,High,Escalated
325,1762,Response Time,8,24.0,2023-08-18,Minor,Medium,Manager Notified
326,1765,Response Time,2,24.0,2023-02-18,Major,Low,Manager Notified
327,1768,Response Time,8,24.0,2024-02-25,Minor,High,Process Review
328,1783,Response Time,2,24.0,2024-11-07,Major,Low,None
329,1788,Response Time,2,24.0,2023-09-14,Minor,Medium,Escalated
330,1789,Response Time,2,24.0,2023-10-12,Minor,High,None
331,1791,Response Time,8,24.0,2023-05-13,Critical,Low,Process Review
332,1799,Response Time,24,48.0,2023-09-01,Critical,Medium,Escalated
333,1804,Response Time,2,24.0,2024-11-22,Critical,High,Escalated
334,1812,Response Time,8,24.0,2023-08-31,Critical,Medium,None
335,1815,Response Time,8,24.0,2024-07-17,Minor,Medium,None
336,1819,Response Time,8,24.0,2024-11-08,Major,Medium,Escalated
337,1827,Response Time,2,24.0,2023-08-25,Critical,High,None
338,1837,Response Time,8,24.0,2024-04-22,Major,Medium,None
339,1848,Response Time,8,24.0,2024-04-21,Major,Medium,Manager Notified
340,1850,Response Time,2,24.0,2023-11-23,Minor,Low,None
341,1855,Response Time,2,24.0,2023-03-27,Critical,High,Escalated
342,1859,Response Time,2,24.0,2024-08-11,Critical,Medium,Manager Notified
343,1863,Response Time,8,24.0,2023-09-28,Major,Medium,Escalated
344,1869,Response Time,2,24.0,2024-12-29,Minor,High,Process Review
345,1870,Response Time,2,24.0,2024-08-05,Minor,Medium,Process Review
346,1890,Response Time,8,24.0,2023-05-12,Major,High,Manager Notified
347,1907,Response Time,8,24.0,2024-03-19,Major,Medium,Manager Notified
348,1909,Response Time,8,24.0,2024-04-25,Critical,High,None
349,1910,Response Time,2,24.0,2024-09-19,Major,Medium,Manager Notified
350,1924,Response Time,2,24.0,2024-04-16,Critical,Low,None
351,1930,Response Time,8,24.0,2023-12-01,Critical,High,None
352,1936,Response Time,8,24.0,2023-02-05,Major,High,Process Review
353,1949,Response Time,8,48.0,2024-07-12,Major,High,Manager Notified
354,1950,Response Time,2,24.0,2023-02-07,Minor,Medium,Manager Notified
355,1952,Response Time,2,24.0,2023-04-27,Major,Medium,Process Review
356,1956,Response Time,8,24.0,2024-09-30,Major,Medium,Escalated
357,1968,Response Time,2,24.0,2024-12-04,Major,Low,None
358,1974,Response Time,2,24.0,2023-06-04,Minor,Low,Manager Notified
359,1981,Response Time,8,24.0,2024-12-09,Minor,Low,Manager Notified
360,1987,Response Time,2,24.0,2023-05-18,Major,Medium,Escalated
361,1996,Response Time,2,24.0,2024-11-24,Major,Low,Manager Notified
362,1997,Response Time,2,24.0,2024-07-07,Major,High,Manager Notified
363,2001,Response Time,8,24.0,2023-07-20,Critical,Medium,Escalated
364,2004,Response Time,2,24.0,2023-05-21,Critical,Medium,Manager Notified
365,2005,Response Time,2,24.0,2023-08-15,Critical,Low,Process Review
366,2006,Response Time,2,24.0,2023-03-12,Minor,Low,None
367,2007,Response Time,2,24.0,2023-02-09,Minor,High,Process Review
368,2011,Response Time,2,24.0,2024-08-31,Major,Medium,Process Review
369,2017,Response Time,24,48.0,2023-06-12,Critical,Medium,None
370,2019,Response Time,2,24.0,2024-03-07,Minor,Medium,Manager Notified
371,2023,Response Time,8,24.0,2024-05-16,Critical,Medium,Escalated
372,2030,Response Time,8,24.0,2024-08-25,Minor,Low,None
373,2046,Response Time,2,24.0,2024-04-05,Critical,Low,Escalated
374,2049,Response Time,2,24.0,2023-02-23,Major,High,Manager Notified
375,2054,Response Time,2,24.0,2024-07-20,Minor,Medium,Manager Notified
376,2055,Response Time,2,24.0,2023-10-13,Minor,Medium,Escalated
377,2061,Response Time,2,24.0,2023-01-28,Major,High,Escalated
378,2062,Response Time,8,24.0,2023-06-13,Minor,Low,None
379,2068,Response Time,8,24.0,2024-01-14,Minor,Low,None
380,2072,Response Time,2,24.0,2023-01-30,Major,High,Escalated
381,2075,Response Time,8,24.0,2023-11-06,Critical,Low,Process Review
382,2080,Response Time,2,24.0,2023-10-18,Major,Medium,None
383,2086,Response Time,8,24.0,2024-08-28,Minor,High,Escalated
384,2094,Response Time,8,24.0,2023-08-30,Critical,Low,Escalated
385,2095,Response Time,8,24.0,2024-03-01,Critical,Medium,None
386,2105,Response Time,2,24.0,2024-10-26,Critical,Low,None
387,2107,Response Time,8,24.0,2023-07-22,Critical,High,Process Review
388,2108,Response Time,2,24.0,2023-09-29,Major,Medium,Process Review
389,2112,Response Time,2,24.0,2024-12-17,Major,High,Escalated
390,2129,Response Time,2,24.0,2023-10-16,Critical,Low,Escalated
391,2137,Response Time,8,24.0,2023-09-25,Minor,Medium,Manager Notified
392,2142,Response Time,2,24.0,2024-11-03,Minor,Medium,Manager Notified
393,2144,Response Time,2,24.0,2023-08-01,Major,Low,None
394,2164,Response Time,8,24.0,2024-08-29,Minor,Medium,Manager Notified
395,2174,Response Time,2,24.0,2023-05-19,Major,Medium,Escalated
396,2175,Response Time,2,24.0,2024-04-03,Critical,Low,Process Review
397,2180,Response Time,2,24.0,2024-08-05,Major,High,Manager Notified
398,2192,Response Time,24,48.0,2024-11-04,Minor,Low,Escalated
399,2197,Response Time,2,24.0,2023-03-09,Major,Low,Manager Notified
400,2204,Response Time,2,24.0,2024-09-22,Minor,Medium,Process Review
401,2206,Response Time,8,24.0,2024-02-26,Critical,Medium,Escalated
402,2224,Response Time,8,24.0,2024-04-24,Major,High,Manager Notified
403,2232,Response Time,2,24.0,2024-03-01,Major,Medium,Manager Notified
404,2238,Response Time,8,24.0,2024-08-27,Critical,Low,Process Review
405,2245,Response Time,2,24.0,2023-03-12,Critical,Low,Manager Notified
406,2246,Response Time,2,24.0,2024-08-08,Critical,Low,Manager Notified
407,2250,Response Time,8,24.0,2023-07-01,Minor,High,Escalated
408,2269,Response Time,8,24.0,2023-08-10,Major,Low,Process Review
409,2278,Response Time,8,24.0,2024-06-10,Critical,High,None
