escalation_id,ticket_id,from_agent_id,to_agent_id,escalation_reason,escalation_date,escalation_level,resolution_time_hours,is_resolved,notes
99,604,,16,,2024-08-08,2,10,True,Organization floor bad drop subject forget generation minute once environment.
100,609,9.0,14,,2024-01-23,1,48,True,Fire standard treat most sense trade nature need red newspaper.
101,611,34.0,49,,2023-09-06,1,38,False,Because check return left myself technology story.
102,615,40.0,19,,2024-03-01,3,6,True,Degree road around treat address soldier political avoid speech easy.
103,618,40.0,12,,2023-06-23,3,10,True,System occur piece main similar animal though tax base.
104,621,49.0,47,,2024-02-22,3,46,True,Decide reduce hope since quality billion newspaper lawyer.
105,632,1.0,49,,2024-11-06,2,4,False,Whose about suffer still interest thousand.
106,647,50.0,26,Vendor Issue,2024-12-11,1,21,True,Deal Mr term could form discussion interest not name.
107,653,40.0,30,,2024-08-21,2,31,True,Source account mean ground account reflect important show statement only.
108,664,18.0,39,,2024-05-11,3,17,True,For continue material task physical the smile hospital heavy buy.
109,667,45.0,45,,2024-09-25,2,9,True,Pressure put camera conference.
110,668,19.0,43,,2024-05-01,1,43,True,Republican road positive when traditional watch.
111,673,27.0,23,,2024-11-12,1,23,True,Wear voice should energy senior me word end right bar.
112,675,12.0,2,,2023-05-24,3,30,True,If indeed campaign lose course not fly trouble.
113,676,,46,,2024-08-24,2,25,False,Care soon blood cell available him deep herself north south.
114,686,,6,,2023-10-24,2,19,True,Success region across trial job response health sometimes education.
115,687,1.0,28,,2024-09-22,3,33,False,Some national level every lose western.
116,692,32.0,20,,2024-05-30,3,47,False,Energy up whether the film four arrive suffer dark difficult.
117,693,32.0,30,,2023-05-21,2,17,True,Seat mother herself simply weight always argue.
118,705,1.0,20,,2024-01-03,1,23,False,Experience loss mention everybody system without.
119,707,,38,,2023-11-01,1,23,False,Pass approach like teach call.
120,719,,21,,2024-08-23,2,34,True,Fight policy while best use professor affect gun.
121,721,35.0,37,,2024-03-31,1,39,True,Book similar work space any.
122,727,3.0,43,,2024-07-03,2,5,True,A rock evidence series write task president among.
123,728,13.0,33,,2024-10-09,1,12,True,School put control they suffer hope list marriage look.
124,732,48.0,47,,2024-01-07,2,2,True,Generation show continue still claim ok of high relate.
125,747,20.0,48,,2023-04-05,3,31,True,Last sign already born must career response shoulder eat.
126,769,27.0,24,SLA Breach Risk,2024-05-13,2,8,True,Effort turn money Democrat.
127,774,8.0,18,,2023-06-28,1,24,True,Lay local sure boy great hold who open.
128,782,19.0,28,,2024-08-12,2,47,False,Almost measure what close where key rich him once road.
129,786,2.0,3,,2023-03-15,1,33,True,Particular nothing amount like former get everyone nothing early stage.
130,793,7.0,9,,2024-02-27,2,11,True,Story region late base remember perhaps yet report value.
131,802,,47,,2024-08-11,3,33,True,Bit social soldier commercial perform hotel from since.
132,806,33.0,33,,2024-04-07,3,4,True,Everybody score them check their view up.
133,809,37.0,50,,2023-09-24,1,13,True,Standard pattern may discuss sister audience movie.
134,810,48.0,12,Customer Dissatisfaction,2023-03-04,1,2,False,Thank note hold action administration state happy her visit with.
135,827,21.0,48,Complex Technical Issue,2024-08-15,2,38,True,Draw drop man better figure western wind ago.
136,830,50.0,7,,2024-01-25,2,14,True,Rather can try least investment first.
137,833,2.0,40,,2024-12-30,2,34,False,Item sit dog particularly choice call stay bring establish term.
138,840,12.0,8,,2024-05-16,2,12,True,Area view small wait west else area issue.
139,846,10.0,6,,2024-10-14,3,25,True,Certain stuff why scene stand win break market he together.
140,848,3.0,6,,2024-08-19,3,39,True,Wonder population official side consider around think risk career.
141,853,,39,,2024-02-13,2,42,True,Example media natural note car.
142,860,28.0,41,Vendor Issue,2024-09-07,2,5,True,Reality year its sing such this part message sound site.
143,875,35.0,1,,2024-10-27,1,13,True,Many north maintain account black crime individual smile wide look.
144,877,19.0,3,,2024-10-01,1,15,True,Development really clearly movement.
145,883,36.0,44,,2024-05-29,1,11,True,Political thank house yourself deal.
146,885,,5,,2024-04-22,1,23,True,Leader member condition thing prevent hard third be computer strong.
147,891,16.0,43,,2023-10-06,2,47,True,One coach how control stuff forward recent Congress little high big.
148,894,12.0,5,Manager Required,2024-11-17,3,11,True,Physical yeah simple at number receive themselves.
149,906,15.0,44,,2024-07-25,1,44,True,Conference federal for news politics process between response.
150,911,,2,,2024-10-15,2,30,False,Close number mean happy cup.
151,917,20.0,43,,2024-01-19,2,32,True,Woman office rock society media during never.
152,925,49.0,28,,2024-03-13,3,15,True,Anything sign company stage carry card.
153,927,42.0,17,,2024-05-19,1,25,True,Mr real consumer large and some.
154,936,1.0,18,,2024-08-31,3,45,True,Today around discuss fire time which later.
155,950,35.0,17,,2024-01-26,1,3,True,Newspaper either class stop professional member point clearly.
156,951,41.0,39,,2024-07-05,1,28,True,Sing kitchen again tax law claim public page suddenly city.
157,959,41.0,37,,2024-11-22,1,5,True,Management successful professional week without difference color.
158,962,16.0,9,,2023-08-25,1,37,True,Service new why listen public clearly should enough nor.
159,980,21.0,34,,2024-12-21,2,20,True,Run person series family purpose.
160,982,8.0,24,,2023-04-12,3,9,True,Major environmental whatever remember opportunity dog.
161,991,,47,,2024-09-15,1,10,True,Character economic already professional myself forget week.
162,1002,2.0,1,,2024-08-11,3,10,True,Shoulder strategy manager operation see let training music.
163,1004,25.0,20,,2023-05-15,1,32,False,Democratic will anyone big that.
164,1022,18.0,36,,2024-10-12,1,41,True,Campaign back either century although piece artist heavy focus.
165,1026,1.0,23,,2023-10-19,1,4,True,Present themselves quickly head professional usually.
166,1028,18.0,40,,2023-07-07,1,41,True,Short color something enough project crime each federal.
167,1030,18.0,16,,2023-12-18,3,7,True,Type significant imagine score able message American again especially military community.
168,1061,17.0,15,Security Concern,2024-10-21,1,15,True,See money now study meet method without six.
169,1065,10.0,43,,2023-08-17,3,44,True,Type decision quality half newspaper meeting whether be his.
170,1074,2.0,3,,2024-07-12,2,30,False,Century wait their chance although it decade court century oil.
171,1080,3.0,45,Security Concern,2024-01-24,3,41,True,Last cell information nice try particular indeed report phone.
172,1083,7.0,40,,2024-04-27,2,33,False,Strong rise machine lose hope soon.
173,1091,,33,,2024-07-02,1,14,False,Every affect sure right significant skin.
174,1103,42.0,20,,2024-01-06,3,13,True,Among white sound what specific.
175,1105,46.0,24,,2024-09-01,3,48,True,When small medical get act worry why.
176,1106,5.0,32,,2024-07-10,1,36,True,Force sure image manage crime address per couple early at.
177,1112,41.0,12,,2024-07-16,1,15,True,Toward since loss protect home school activity than recent professional.
178,1115,3.0,39,,2023-06-24,3,20,True,Number under actually indeed different organization fly image.
179,1119,5.0,36,Security Concern,2024-11-22,3,3,True,Hand financial bag responsibility own true.
180,1125,9.0,17,,2024-04-27,1,43,True,Loss story professor top while industry themselves draw.
181,1131,3.0,39,,2024-04-30,2,25,True,Speak could fill beat look.
182,1154,,49,Vendor Issue,2024-08-28,1,1,False,Major outside everybody letter man a exist.
183,1181,,8,,2024-01-10,3,24,True,Activity authority view eat teacher rate.
184,1183,43.0,19,,2023-05-25,2,41,False,Peace next budget reality crime spend to.
185,1184,36.0,44,,2024-12-22,1,45,True,Born difference again about wide little old president data art.
186,1188,39.0,1,,2023-09-21,1,3,True,Within tonight sign suffer responsibility line.
187,1189,12.0,33,,2024-08-11,3,6,True,Worker air her third position north.
188,1193,3.0,4,,2024-11-01,1,42,True,Item sit money beyond message medical water.
189,1198,,24,Complex Technical Issue,2024-09-18,2,29,False,Wind wear it general her strategy sea by growth realize.
190,1199,22.0,49,,2024-02-23,3,10,True,Option bad if compare today across TV sell.
191,1200,31.0,33,,2024-10-26,1,45,True,Inside daughter writer father store should pay church something mouth.
192,1203,2.0,4,,2024-04-09,3,20,True,Goal off against decide matter sort news day computer allow.
193,1204,4.0,17,,2024-08-09,1,27,True,Say hand could certainly bar.
194,1218,48.0,17,,2023-05-05,3,20,True,And save white crime create today our provide high culture.
195,1237,43.0,42,,2023-12-30,1,19,True,Still character financial out cause.
196,1249,14.0,23,,2024-07-10,1,26,False,Stop design voice front sense table may.
197,1250,41.0,23,,2024-04-05,3,24,True,Phone last movie statement age.
198,1263,34.0,5,,2024-12-17,3,26,True,Many tonight eight heavy.
199,1268,40.0,7,Vendor Issue,2024-12-29,1,43,True,Training enjoy Republican accept forward money east.
200,1269,,23,,2024-10-30,2,28,True,Able front mean crime particularly.
201,1271,29.0,9,,2024-03-01,1,39,True,Would energy certainly its significant blood build window.
202,1272,37.0,42,,2023-12-15,1,4,True,Long method behind sort central respond apply well coach these any.
203,1276,50.0,38,Manager Required,2024-08-08,2,40,True,Health quickly media provide exactly you policy indeed technology answer.
204,1278,26.0,25,,2024-07-16,2,11,True,Best whatever need word system possible prepare travel board.
205,1283,36.0,25,,2024-07-01,3,41,False,Personal product wide while concern vote give present draw during.
206,1288,,27,,2024-10-25,2,21,True,Month trade spring growth happy of.
207,1295,17.0,46,,2023-04-15,3,26,True,Like among tough expert attack anything make various truth.
208,1300,14.0,26,,2023-09-18,2,35,True,Claim last financial example make military letter positive without.
209,1308,49.0,32,,2024-06-28,1,34,True,Share bar son especially must.
210,1314,23.0,32,,2023-10-13,2,35,True,Language example would design night glass become respond hit.
211,1318,43.0,14,Complex Technical Issue,2024-05-17,2,19,True,Either agreement none compare institution sell bed many huge save.
212,1321,45.0,43,,2024-12-08,3,31,True,Fast figure between financial war front recognize phone.
213,1323,37.0,22,SLA Breach Risk,2024-10-31,1,41,True,Sort air establish need dog.
214,1341,24.0,17,,2023-07-01,1,18,True,Defense against main bit debate official rich total else.
215,1345,16.0,2,,2024-06-27,3,33,True,High continue red something building.
216,1349,4.0,6,Complex Technical Issue,2024-05-15,1,43,True,Customer happy many now school support Congress more least station.
217,1353,26.0,29,,2023-09-17,1,20,True,Wonder describe energy expect clear rather.
218,1362,46.0,41,,2023-06-24,2,32,True,Significant lot personal wife small crime floor husband of sort return.
219,1363,21.0,13,,2024-02-17,3,31,False,Executive tend magazine child compare investment help team degree.
220,1371,42.0,7,,2023-03-12,3,3,True,Want maybe hour pretty when clear both approach think.
221,1372,,46,,2024-12-16,1,10,True,It can happy run seem.
222,1375,19.0,42,,2023-06-06,2,13,False,Law minute laugh keep long market stay rich.
223,1377,5.0,26,,2023-08-20,2,45,True,One scientist operation Mrs understand concern sell.
224,1381,1.0,36,,2024-07-27,3,48,False,Read trial authority foot outside story fire individual nothing.
225,1382,16.0,2,,2023-02-01,2,33,False,Along at adult go ability quality son.
226,1391,10.0,45,Vendor Issue,2024-11-25,3,5,True,Federal recognize personal stage.
227,1393,,26,,2024-12-13,3,2,True,But note ago community behind project.
228,1398,27.0,8,,2024-07-01,2,47,True,Spring sit pay pull finally prepare over.
229,1406,38.0,49,,2024-10-24,2,35,True,Left fight agent his school.
230,1410,,19,,2024-09-06,2,11,True,Modern themselves without north white dog stage.
231,1416,32.0,22,,2024-04-17,2,7,False,Magazine TV than campaign and order address buy save owner.
232,1425,,30,,2024-11-07,1,28,False,My wrong TV much yard conference police.
233,1434,,10,,2024-06-18,1,38,True,Push several situation green everything fly myself education bed deep.
234,1439,23.0,12,,2024-04-12,3,4,True,Treatment off where then hour.
235,1442,,10,,2024-07-14,3,7,True,Total hard director should stock authority ok.
236,1443,20.0,24,,2024-01-08,3,1,True,Improve hair phone their land but case occur when.
237,1447,47.0,3,,2024-03-01,1,5,True,Ten animal forget place stage.
238,1450,,12,Customer Dissatisfaction,2024-12-13,1,11,True,Always spend focus fight concern all enjoy.
239,1452,,39,,2024-02-29,2,39,True,Green wonder garden ahead green store TV.
240,1468,10.0,28,,2024-06-09,3,24,False,Appear head drug life also least help source.
241,1475,17.0,22,,2024-04-10,2,1,True,Window thus tough big second mind exactly.
242,1476,42.0,10,SLA Breach Risk,2024-12-14,1,43,True,Open wait student all also prepare performance machine development.
243,1478,17.0,38,Manager Required,2024-10-27,3,12,True,South expect approach detail outside foot which by task.
244,1499,42.0,3,,2024-06-06,3,34,True,Office project certain speak when simple alone.
245,1507,39.0,42,,2023-10-09,3,38,True,Forward senior represent both green pattern friend.
246,1517,,16,,2023-04-03,2,41,True,Technology between across discover visit reduce where question in.
247,1519,21.0,22,,2024-09-22,3,47,True,Similar Mrs best occur condition pretty bill.
248,1521,21.0,41,,2023-08-09,1,39,True,Begin door door must try.
249,1526,6.0,28,Complex Technical Issue,2024-05-03,1,6,True,Work recently guess follow simply south nor statement evening.
250,1559,31.0,39,,2024-06-20,3,37,True,Study test beat everybody loss state under character building.
251,1564,43.0,20,,2023-11-08,1,17,False,Age letter form everybody win eight keep color provide.
252,1571,19.0,33,,2024-12-05,2,37,True,Watch detail hope lose sing later.
253,1573,8.0,21,,2024-06-29,1,7,False,Little my provide learn easy dinner through.
254,1584,38.0,46,,2024-12-22,2,26,True,Population instead six office customer discuss voice.
255,1587,1.0,6,,2023-11-24,2,40,True,Explain herself speak bad attention why forget.
256,1590,,44,,2024-03-20,1,6,False,Out plan science draw later move campaign subject need defense.
257,1591,,33,SLA Breach Risk,2024-10-11,3,23,True,Hear great half situation nearly movie really again especially.
258,1601,3.0,49,,2023-09-01,2,40,True,Something brother represent pull from.
259,1614,25.0,27,,2024-07-11,1,19,True,Especially benefit view nature lead avoid evidence always.
260,1617,44.0,1,,2024-09-19,1,42,False,Out check ago else beyond despite book big onto.
261,1624,17.0,33,,2024-07-19,2,34,True,Stage box power agent among heart early top range.
262,1632,37.0,34,,2023-08-21,2,17,True,People entire not result our she drive sport.
263,1633,43.0,10,,2024-01-19,3,45,True,Movie study degree however baby after recognize.
264,1636,20.0,22,,2024-12-18,3,21,False,Prove behind management bit after.
265,1644,30.0,48,,2023-07-04,2,7,True,Measure what site against son church capital.
266,1650,,2,,2024-09-05,2,13,True,Quality beyond up return bit late research.
267,1657,45.0,40,,2023-02-28,2,5,True,Field language write account house late sound realize.
268,1658,16.0,19,,2024-10-25,2,31,True,Mr tough fast serious listen seven huge understand.
269,1661,44.0,43,,2024-08-24,3,33,False,Attorney like read suddenly shoulder job discover.
270,1665,,25,,2023-12-01,3,22,True,Describe unit threat rise mind start state me free over.
271,1684,6.0,16,,2024-03-30,3,41,True,Night clear be nothing support describe against let event.
272,1696,29.0,15,,2023-09-19,1,7,True,Staff really believe need.
273,1700,5.0,32,,2023-11-03,3,11,False,Happen hope indicate choice time.
274,1701,30.0,47,,2024-07-17,2,47,True,Well leader why tend serve by according.
275,1710,34.0,9,,2024-06-24,1,14,True,Anyone forward beautiful economy development black each voice.
276,1712,6.0,20,Vendor Issue,2024-08-31,2,8,True,Wish project two local school bit include ready still improve.
277,1732,,47,Security Concern,2024-06-19,1,8,True,Control herself future run stand.
278,1733,20.0,41,,2023-11-29,3,7,True,Early charge have but important meet support modern.
279,1750,27.0,28,,2024-11-03,1,4,True,Process seven anything seek much former benefit suddenly year some.
280,1754,36.0,2,,2023-10-21,1,6,True,Upon and discussion rate food responsibility kitchen culture throw significant.
281,1763,,25,,2024-11-02,2,11,True,Six social peace inside member people.
282,1767,42.0,8,,2024-12-25,2,32,True,Serve audience away total scientist put.
283,1772,16.0,3,,2024-03-19,2,20,False,Several threat bill one instead mean remember.
284,1774,11.0,40,Complex Technical Issue,2024-12-04,1,41,True,Son tough without college rest step example member act.
285,1775,2.0,23,,2023-08-16,3,40,True,Significant month plan as include final democratic firm.
286,1782,17.0,45,,2024-06-01,1,21,True,Central much ahead office bank participant just experience beautiful bed.
287,1815,44.0,41,,2024-10-16,2,45,True,Home guy book require police school dinner number.
288,1818,2.0,13,,2024-04-26,3,14,False,Attention tonight practice month create head.
289,1820,20.0,7,,2024-09-01,3,48,True,Dream most require may moment.
290,1828,,50,,2023-07-30,1,45,True,Capital mother bed character step.
291,1846,1.0,38,,2023-12-21,1,46,True,Summer him week force wife film.
292,1849,,15,,2023-12-08,2,27,True,Wind fact since mouth focus safe local actually body.
293,1850,,8,,2023-12-21,1,16,True,Matter other wrong science bank professor soldier show message product.
294,1853,,47,,2024-04-08,2,30,True,Charge reveal between wish rest but must respond situation.
295,1856,,13,,2024-04-14,1,21,True,Account difficult majority capital including.
296,1866,26.0,30,,2023-12-19,1,22,False,Chance attorney professional ago travel officer dream walk tax.
297,1878,,50,SLA Breach Risk,2024-01-16,1,33,False,Floor part record heart on anything sell marriage.
298,1881,26.0,4,,2023-08-05,2,12,False,Discover run hot understand me cold bring that writer easy.
299,1892,4.0,28,,2024-12-19,3,26,True,Beyond word watch available artist wrong sing even what democratic.
300,1906,12.0,25,,2024-09-12,3,15,False,Born single bad air citizen all paper window late religious.
301,1909,18.0,40,,2024-05-03,3,31,True,Activity feeling lose fill who.
302,1914,1.0,37,,2024-10-31,2,40,True,Nothing catch project walk rather including fall Congress people tonight.
303,1928,,4,,2024-12-15,2,14,False,Material step education hear choice three everyone.
304,1939,42.0,7,,2024-02-24,2,34,False,Option forget without bag Mr power change well.
305,1944,29.0,22,,2023-06-18,1,42,True,Toward author rate nothing whatever wrong sound economy.
306,1949,36.0,7,,2024-09-07,3,39,True,Put news page miss identify evidence mouth toward own.
307,1953,,25,,2024-02-07,1,8,True,Behavior these check with might charge leg later seem.
308,1956,21.0,20,,2024-10-04,3,18,True,Significant box her strong official executive recent central feeling.
309,1958,30.0,30,,2024-02-05,1,32,False,Pull decade ago from full better likely really.
310,1959,44.0,10,,2024-12-13,2,15,False,Main skill bit especially treat fill west answer listen.
311,1960,28.0,36,,2024-10-29,3,26,True,Down find Congress whole ability these college everything.
312,1967,38.0,15,,2023-10-20,3,19,True,Development likely already practice occur answer hit sort treatment another.
313,1972,,24,,2024-11-12,3,38,False,Enjoy green reveal couple suffer hour out voice live trade.
314,1975,20.0,20,,2023-11-24,2,42,True,Sing these guy artist expert little number fill.
315,1978,5.0,43,,2024-08-07,3,10,True,Mind so rate soon western blue source.
316,1979,28.0,14,,2024-05-13,2,19,True,Effort his happen travel security miss institution.
317,1985,46.0,24,,2023-05-03,2,43,True,Explain break yeah may themselves behind significant woman sure student.
318,1993,40.0,21,,2024-07-05,2,45,True,She prove human city talk stop indeed our.
319,1998,24.0,29,,2024-05-05,1,24,True,Start toward enjoy by ok grow.
320,2002,21.0,19,,2023-10-20,2,1,False,Weight since wear could from hour perhaps.
321,2005,31.0,33,,2023-08-30,2,6,True,Seat learn their he city employee memory.
322,2010,2.0,28,,2024-11-15,3,42,True,Process data wait sea how.
323,2011,34.0,36,,2024-09-15,3,15,True,Hear marriage skin sit management part cold pattern.
324,2015,17.0,11,,2024-03-08,1,32,True,Light with could able she night.
325,2017,9.0,11,,2023-07-12,2,32,True,Direction him message debate small do.
326,2018,44.0,4,,2024-11-26,1,47,False,Risk fall us animal white.
327,2024,50.0,38,Vendor Issue,2024-01-24,1,13,False,Son each wish group leader Democrat final.
328,2032,45.0,23,Vendor Issue,2024-01-20,1,19,True,Drug war would social with probably good board.
329,2042,29.0,15,Complex Technical Issue,2024-09-19,3,9,True,Address class teacher among strong anything region space pretty name.
330,2045,21.0,15,,2024-02-03,1,35,True,Space stuff loss we surface.
331,2046,44.0,26,Complex Technical Issue,2024-06-01,1,9,False,Level book kind system single.
332,2056,47.0,18,,2024-12-24,2,19,True,Let religious trade relate tend sister best.
333,2057,36.0,32,Security Concern,2024-11-02,2,2,True,Support serious happen American also develop white person officer.
334,2060,33.0,22,,2023-08-20,2,46,True,Ready option city player fact eat.
335,2072,16.0,30,,2024-07-22,3,15,True,Know our business price movie type prove surface painting own able.
336,2076,,48,,2023-07-24,2,2,True,End threat sport opportunity fire sign morning I color fact.
337,2078,30.0,15,Vendor Issue,2023-08-31,1,26,True,Remember race guess anything small thank mind relate himself prevent.
338,2080,12.0,36,,2023-11-15,3,18,True,Prevent ask live strategy scientist class.
339,2087,,19,,2023-03-31,3,43,True,Born happy gas center animal safe politics culture point see.
340,2089,,34,Manager Required,2024-05-24,3,43,True,Big yes bed usually onto.
341,2092,44.0,24,,2024-07-22,3,9,True,Allow class go guess red type.
342,2095,38.0,1,,2024-05-18,2,37,True,Prevent during goal require age actually benefit.
