ticket_id,customer_id,assigned_agent_id,product_id,category_id,priority_id,status_id,subject,description,created_date,resolved_date,last_updated,first_response_date,resolution_time_hours,response_time_hours,customer_satisfaction,is_escalated,escalation_reason,tags,source
11,561,44.0,6,5,2,5,Seem first nearly not can.,Author involve today now million. Southern Congress reason Congress structure reveal.,2023-10-04,2023-11-02,2023-12-26,2023-10-04,696.0,0.0,5.0,False,,"lead, measure",API
12,1508,,6,3,1,5,Involve word eight we argue director.,List remain him degree kid. They support those color author focus can. Foreign inside despite she employee. Stage plan sense.,2023-02-10,2023-03-10,2023-08-26,2023-02-11,672.0,24.0,,False,,"data, strategy",Email
13,3493,49.0,1,4,4,6,Ten list painting radio war report fly space my.,Method risk eat young get ball. Nothing court with. Lead production with.,2023-05-14,2023-05-14,2024-06-09,2023-05-15,0.0,24.0,2.0,False,,"test, stuff",API
14,313,46.0,1,4,3,7,Kind start thing provide attorney security.,Whatever its center represent. Best use writer include.,2023-10-30,2023-11-25,2024-07-26,2023-10-30,624.0,0.0,4.0,True,,"forward, nation",Social Media
15,2365,,10,8,5,6,Go middle knowledge debate at cut suddenly issue defense.,Could couple of compare seek team he. Society system live listen he. Success left wife population when type challenge.,2024-04-02,,2024-12-30,2024-04-02,,0.0,4.0,False,,"finish, reach",Portal
16,3992,,3,8,3,5,Financial want what worker need call president put.,Give visit event foreign lot sport while. Store Mr none tough thing leader. Over left citizen standard west.,2023-03-28,2023-04-18,2024-02-20,2023-03-29,504.0,24.0,2.0,False,Complex Technical Issue,"someone, magazine",Chat
17,4108,,9,2,4,3,Class feeling own yeah respond picture music.,Could room million threat indeed popular act environmental. Political bring before attention paper character. If those who what strategy response possible.,2023-08-30,2023-09-14,2024-04-28,2023-08-30,360.0,0.0,,True,,"reveal, upon",API
18,1154,,10,8,5,4,Program bill state reach clearly four perhaps director so.,Wish our south forward Mr customer.,2023-08-28,2023-09-07,2024-01-25,2023-08-29,240.0,24.0,2.0,True,Complex Technical Issue,"not, office",Email
19,1947,50.0,8,2,4,3,State forward time ask wind.,Plant we senior television. Factor PM music quality somebody bed study.,2023-09-07,2023-09-20,2024-08-06,2023-09-07,312.0,0.0,4.0,False,,"ground, institution",Chat
20,4786,49.0,5,5,1,6,Price two only summer fight marriage.,Once focus station military wall rather. Finally grow understand majority even task world feeling. Speak point assume on through behavior.,2024-05-22,2024-06-14,2024-12-28,2024-05-22,552.0,0.0,2.0,False,,"before, government",Email
21,3252,21.0,6,3,5,3,Ball significant listen memory tonight audience.,Back senior surface kitchen public field arrive. Write reach without approach coach. Speak entire again husband war.,2024-11-02,2024-11-30,2024-12-21,2024-11-03,672.0,24.0,1.0,False,,"make, close",Email
22,1142,24.0,8,4,4,6,These anyone color of number you civil threat take.,Away action such hear position. Dark provide point pass space.,2024-11-05,2024-11-10,2024-11-05,2024-11-05,120.0,0.0,3.0,False,,"agree, protect",Chat
23,748,47.0,10,4,1,1,Agency year radio daughter almost everyone economic.,Business team certain against full money bank.,2023-12-07,,2024-12-30,2023-12-08,,24.0,3.0,False,,"specific, whole",Email
24,1542,42.0,8,3,5,3,Collection wall street form.,Report its public think race head cut. Information once share he once unit foot. Store police down save board person arm.,2023-09-18,,2023-12-12,,,,1.0,False,,"upon, upon",Portal
25,59,12.0,2,1,1,5,Think fall spend first product poor pattern.,Another stay of activity. Fast charge than information industry.,2023-11-22,2023-12-09,2024-02-23,2023-11-22,408.0,0.0,,False,,"people, interesting",Chat
26,2857,41.0,8,1,3,2,Interview price whatever sure interest southern dinner difference media.,At member since similar force TV appear. Imagine pass throw boy ago or wind. Right participant debate gun record threat according.,2024-02-27,2024-02-28,2024-10-08,2024-02-28,24.0,24.0,5.0,False,,"participant, chance",Email
27,1370,46.0,3,6,2,3,Want may two foot discover however kind article crime.,Tree above message reach. Your account sport thought.,2024-05-25,2024-06-02,2024-10-20,2024-05-26,192.0,24.0,4.0,False,,"minute, employee",Social Media
28,2236,23.0,9,8,2,1,Opportunity even design perhaps decade red road least remain.,Skin large message mind amount decade close front. Heart same spend within increase weight.,2024-10-31,2024-11-28,2024-12-30,,672.0,,1.0,False,Vendor Issue,"conference, century",API
29,902,,6,6,1,5,Everyone reality its child while receive beat.,Of who local enjoy specific conference some between. Arm opportunity white save writer policy. Office play beat reveal almost cold.,2023-06-07,,2024-11-22,,,,4.0,True,,"officer, affect",Email
30,1102,43.0,6,2,4,7,Them wall identify arm answer.,Growth media policy guess dark consumer couple. Economic writer here. Your play necessary main right decade stuff song.,2023-06-20,2023-06-21,2023-10-09,2023-06-20,24.0,0.0,5.0,False,,"buy, church",Chat
31,796,44.0,4,2,3,4,Method together finally avoid describe heavy discover visit nation lay.,Upon treatment center deep form child. Already fight if he animal yourself watch.,2024-04-09,2024-04-25,2024-11-16,2024-04-09,384.0,0.0,4.0,False,,"note, nothing",API
32,559,36.0,3,6,5,5,Long care bank player system.,Present partner him for heart physical. Part radio around but should.,2023-11-06,2023-12-05,2024-12-29,2023-11-07,696.0,24.0,,True,,"special, church",Chat
33,1319,24.0,10,6,2,1,Hospital firm nor laugh political head market morning generation.,Still activity enter movement entire behind. Pick situation later truth here. Upon lawyer newspaper agree.,2023-08-05,2023-08-24,2024-03-22,2023-08-05,456.0,0.0,,False,,"simply, several",API
34,3484,33.0,10,7,1,2,Cultural successful detail no despite great very baby student soon adult.,Attention when trip science never style tonight. Whole beat sing pretty five.,2023-05-09,2023-05-14,2024-04-28,,120.0,,2.0,True,,"sport, improve",API
35,2350,1.0,9,6,1,6,Wait including might start benefit shoulder firm degree such few.,Reality democratic drug. Wide sound dinner this answer. This option produce sound price physical.,2023-09-16,2023-09-18,2024-10-28,,48.0,,3.0,False,,"my, program",Phone
36,3686,18.0,3,7,1,7,Around police four certainly whatever page group particular.,Stay close front statement. Education mention film receive nothing. Ever center down.,2024-06-15,2024-06-23,2024-08-27,,192.0,,,False,,"first, month",Portal
37,3542,21.0,8,7,2,1,Happy walk war particularly TV high.,Expect catch job usually accept husband best commercial. Himself forget consider happy purpose. Join score fall tax like involve mention.,2023-04-23,2023-05-10,2023-06-13,2023-04-23,408.0,0.0,,False,,"everybody, finally",Portal
38,3233,35.0,3,3,3,1,Break want piece environment.,Trouble find beautiful guess serve. Thus easy trial note act car. Opportunity consumer protect customer represent.,2024-11-16,2024-11-30,2024-12-23,,336.0,,2.0,False,Vendor Issue,"rise, think",API
39,1865,19.0,5,6,3,5,Another expert other research war section.,Alone full but. Include security visit white why left end.,2024-05-27,2024-05-28,2024-09-15,2024-05-28,24.0,24.0,,False,,"never, letter",API
40,4723,19.0,4,1,4,2,Total hotel focus image tell bank yeah page act.,Address reveal father situation assume. Old win president red technology many north.,2023-07-04,2023-07-11,2023-07-05,2023-07-04,168.0,0.0,4.0,False,,"force, board",Portal
41,1524,,10,6,5,2,Attorney in spring between nor.,Within take same series entire. Of major when say.,2023-04-06,2023-04-19,2024-05-29,2023-04-08,312.0,48.0,,False,,"rich, than",API
42,4721,17.0,5,8,3,2,Bed enough too design others drop us lay.,Ahead factor detail type work nor entire. Front particularly business trade trouble. Suffer ready market try.,2023-02-27,2023-03-10,2023-09-18,2023-02-28,264.0,24.0,5.0,False,,"could, enjoy",API
43,4909,50.0,1,6,5,1,Herself heart a star.,Spend address oil wind send. Same case do. Difficult rather table one newspaper media thus.,2023-04-10,,2024-07-23,2023-04-11,,24.0,3.0,True,,"smile, former",API
44,2788,21.0,5,1,3,6,Land expect miss company quite short special whether another.,Street again might minute. Yes spend eat already perform.,2024-05-25,2024-06-01,2024-12-24,2024-05-25,168.0,0.0,,False,,"how, difference",Social Media
45,3910,18.0,8,1,3,2,Concern at community attack close newspaper.,Collection ground buy ok.,2024-08-22,,2024-10-30,2024-08-22,,0.0,,False,,"heavy, idea",Email
46,1503,35.0,7,8,2,2,Production right between they name seem.,Among without source property born. Feeling out identify lawyer mouth whether.,2024-07-01,,2024-08-27,2024-07-01,,0.0,5.0,True,,"street, very",Chat
47,123,26.0,4,7,1,6,Increase quite short coach produce your TV skill.,Whose building threat decision employee.,2023-12-25,2024-01-12,2024-03-10,,432.0,,,False,,"early, stop",Email
48,822,29.0,9,4,4,5,Term account nor generation impact they quickly.,Room important his table.,2023-07-15,2023-08-05,2024-06-24,2023-07-16,504.0,24.0,3.0,False,Security Concern,"lose, election",Phone
49,2467,24.0,5,7,2,4,Population drop stuff on drop father what school.,Method street measure area four window wait ready. Condition six cold key. Man suffer analysis already easy.,2023-04-25,2023-04-26,2023-08-14,,24.0,,1.0,False,,"develop, agent",Chat
50,2101,2.0,8,1,5,2,Lawyer scene share sure heart.,Remember cell great prove night. Animal American poor close outside wonder.,2023-12-30,,2024-02-01,2023-12-31,,24.0,5.0,False,,"instead, be",Email
51,4948,5.0,3,4,5,7,Site stock begin lead goal happen.,Far because difficult stay. Rock few prove former treat modern food cause.,2023-09-29,2023-10-13,2024-05-19,2023-09-30,336.0,24.0,,False,,"week, enter",Email
52,1089,29.0,8,4,3,1,Serve whatever learn prevent picture Mrs situation difference.,Able lawyer south impact business heart have. Fly guess even put pull heavy.,2024-09-01,2024-09-13,2024-09-17,2024-09-01,288.0,0.0,,False,,"media, or",Phone
53,1083,16.0,5,4,5,5,Turn actually quite nothing fly court me certainly occur because.,Case government summer girl industry. Range black line later. Dog last trade product. Third mission fast spring democratic.,2024-11-01,2024-11-18,2024-11-22,2024-11-01,408.0,0.0,,False,,"goal, fish",Phone
54,1280,15.0,6,4,1,5,Story prevent argue me whether author.,From sure perhaps nice class. Have if represent wonder late use not.,2023-05-23,2023-06-08,2024-11-13,2023-05-24,384.0,24.0,,False,,"rich, industry",Portal
55,1634,47.0,4,8,5,6,Ground score street white people draw.,Specific admit him run newspaper investment instead discussion.,2023-02-28,,2023-07-30,2023-03-01,,24.0,3.0,False,Customer Dissatisfaction,"time, weight",API
56,4907,31.0,6,1,4,3,Mean hear physical yourself suffer only forward exactly final.,Cause usually both right bit dinner or. Management hotel assume. Training everybody garden financial ball yet. Successful fire shake partner view though.,2023-05-10,2023-05-30,2023-06-26,,480.0,,5.0,False,,"dark, however",Portal
57,2032,8.0,2,4,3,4,Allow herself child me go career have.,Skill value perform quality. Entire college believe perhaps economy.,2024-07-02,,2024-07-08,2024-07-03,,24.0,4.0,False,,"short, good",Social Media
58,411,20.0,9,3,4,7,Fish simple assume center all third anything information garden.,News down well occur system. Reality name source learn his every kind green. Within ago mean large trial democratic study state.,2023-10-14,2023-10-31,2024-03-12,2023-10-14,408.0,0.0,5.0,False,,"specific, green",Phone
59,1505,23.0,7,8,4,5,Police assume time until purpose light around.,Majority lay natural thousand. Case any fight high white left. Read stay available.,2023-03-26,2023-04-07,2023-07-17,2023-03-26,288.0,0.0,,False,,"manager, assume",Portal
60,833,30.0,8,2,3,3,Individual down everything Congress learn structure discover cut.,Strong cut season attention chance do. Everybody less speak total base. Would fill after seek someone home.,2024-07-04,2024-07-10,2024-12-02,2024-07-05,144.0,24.0,,False,,"start, exactly",Chat
61,1535,,2,7,1,5,System candidate black skill other money he.,Kitchen future right owner know a. Suggest enter process lose cell.,2023-10-21,,2024-07-18,2023-10-21,,0.0,3.0,False,,"ten, make",Portal
62,2244,22.0,9,4,4,4,History choose test single personal whose together.,Modern not yet late. Left prepare performance then create. Suffer list however simply would baby region.,2024-11-14,2024-12-11,2024-11-21,2024-11-14,648.0,0.0,,False,,"receive, throw",Social Media
63,4488,20.0,1,2,1,3,Ten state allow player none change our industry also.,Charge data far magazine item move in. Film experience loss each step not. Voice eight per bit know.,2024-12-01,2024-12-10,2024-12-19,2024-12-01,216.0,0.0,5.0,False,,"test, center",Phone
64,4509,,8,5,3,2,Some six almost moment cut until threat many.,Culture bring fact new.,2024-07-31,2024-08-05,2024-09-24,2024-07-31,120.0,0.0,3.0,False,,"history, budget",Chat
65,4911,2.0,1,2,1,4,Image American drop surface indeed much someone together may however.,Feel speak even official. Economy issue they building budget hair from.,2023-02-19,2023-03-01,2024-01-11,2023-02-19,240.0,0.0,1.0,False,,"probably, talk",Portal
66,749,41.0,5,2,3,7,Skin measure cold fight method nice enter serve.,Do born ago we wife teach.,2024-07-22,2024-08-06,2024-09-03,2024-07-22,360.0,0.0,4.0,False,,"development, give",Email
67,4917,12.0,7,7,2,2,Management huge perhaps news week and.,Blood actually use dinner sport report. Indeed son condition money every politics. Light price player knowledge cover couple. World their another laugh.,2024-03-07,,2024-10-25,2024-03-08,,24.0,4.0,False,SLA Breach Risk,"adult, best",Social Media
68,414,42.0,4,6,3,5,Let return fire card sing group light.,Mother almost far nearly night newspaper. Anyone stop they size education.,2024-04-10,2024-05-02,2024-06-24,2024-04-11,528.0,24.0,2.0,False,,"something, detail",Email
69,4877,15.0,7,1,1,1,Sense how by wonder law.,Push feeling officer information identify. Oil form section serious production sport study.,2024-07-14,2024-08-07,2024-11-04,2024-07-15,576.0,24.0,1.0,False,,"positive, and",Chat
70,1656,32.0,1,5,3,6,Strategy hot suffer wrong rule actually.,Standard someone maintain young ever. Challenge whose future. Wish address try subject fly. How use and play story.,2023-01-06,2023-01-23,2024-05-06,2023-01-06,408.0,0.0,,False,,"thing, power",Phone
71,1117,47.0,1,4,3,1,Window call minute task matter option serve hope.,Difference bit station pass maintain. Business there picture practice national.,2024-03-25,2024-04-07,2024-12-09,2024-03-26,312.0,24.0,2.0,True,,"employee, successful",Chat
72,343,47.0,7,1,4,7,Serious close yet people available measure experience detail past task.,Sport strong attorney all citizen baby.,2024-05-27,2024-06-08,2024-06-08,,288.0,,3.0,False,SLA Breach Risk,"watch, magazine",Phone
73,4527,40.0,3,3,4,2,Table life already each.,Book kid woman to each suffer ability growth. Blue from forget truth now key. Television official real ok factor light available within. Old feel my.,2023-07-30,2023-07-31,2024-02-29,2023-07-31,24.0,24.0,1.0,False,Complex Technical Issue,"wish, half",Phone
74,2079,42.0,7,2,5,5,Ask value help despite machine owner people.,Help audience wide bad author. Agent moment develop job. Last pay article range.,2023-07-19,2023-08-10,2024-01-29,2023-07-19,528.0,0.0,,False,,"bed, fight",Email
75,3013,26.0,4,2,5,7,American lot long race trip vote discuss small strong.,Information represent language. Question high interesting discuss same. Political often grow young need half ten.,2024-04-30,2024-05-21,2024-06-04,2024-05-01,504.0,24.0,2.0,False,,"edge, happen",API
76,837,1.0,8,1,2,2,Owner type team cover area early worry finish nor.,Attention attack room news book education without. Air site night doctor level card hundred. Shake eat opportunity black record.,2024-10-31,2024-11-14,2024-11-24,,336.0,,,False,,"thus, quality",Social Media
77,395,,2,7,2,2,Drug laugh box represent call.,Visit personal property rock federal many. Walk cut tree current.,2024-06-29,2024-07-01,2024-11-26,2024-06-30,48.0,24.0,1.0,False,,"many, plant",Social Media
78,2856,2.0,5,5,2,7,Box instead environment power their.,Near at throw degree. Current concern pick. Ahead air let crime quality Congress.,2023-06-21,2023-07-18,2024-04-09,2023-06-21,648.0,0.0,5.0,False,,"effect, late",Social Media
79,2161,33.0,9,2,5,7,Happen language cause cause customer management try.,Skill size east act up. Action usually season bar issue pattern Republican name. They trial free continue assume certainly part. Anything cover safe.,2024-03-31,,2024-05-26,2024-04-01,,24.0,4.0,True,,"house, character",Phone
80,4944,,3,8,2,5,Fact or sense decade could treat final nature order.,Discover relate choose say I. Bit where bad expect. Analysis determine tax statement itself.,2024-04-04,,2024-09-21,2024-04-05,,24.0,,True,,"live, toward",Portal
81,998,,6,3,4,6,Prepare bar tax beautiful talk have run.,Yard protect allow responsibility peace clear. Light have long their. Call audience smile whole painting under president. Do into compare trouble enter control ago.,2023-12-15,2023-12-25,2024-01-09,2023-12-16,240.0,24.0,,False,Security Concern,"boy, care",Email
82,1960,24.0,2,3,5,7,Citizen myself can follow quite drug brother.,Open official serious. Travel hold without key bed billion. Western full consider identify education name again.,2024-04-04,2024-04-27,2024-07-03,2024-04-05,552.0,24.0,,True,Complex Technical Issue,"time, hit",Chat
83,4159,6.0,2,4,3,3,Success upon reach blood while no outside one.,Section leader experience large build that. Morning test professional a kind. Skill wide sea whatever voice.,2023-03-27,2023-03-29,2023-04-22,2023-03-27,48.0,0.0,,True,,"apply, behavior",Chat
84,2039,,4,5,1,5,Response parent bill garden cup generation degree.,Get provide its. Computer rest past prove.,2023-08-18,2023-08-19,2023-12-05,2023-08-19,24.0,24.0,4.0,False,,"maintain, garden",Portal
85,2431,39.0,3,5,4,5,General record them different I goal language relate.,Rock type company loss. Factor own military of teacher get sometimes.,2023-11-02,2023-11-11,2024-07-21,2023-11-02,216.0,0.0,,False,,"bill, happen",Phone
86,4874,4.0,7,1,2,4,Open exist such make two open bar several.,Policy because including cover past wear story black.,2024-08-15,,2024-08-18,2024-08-16,,24.0,,False,,"force, and",Social Media
87,152,24.0,3,3,2,1,Reality happy level exactly easy trial oil join.,Accept walk might themselves. Grow benefit owner soldier piece experience interview language. Central plan also office mouth respond condition bill.,2023-03-03,2023-03-03,2023-05-29,2023-03-04,0.0,24.0,,False,,"western, wear",Chat
88,1869,39.0,5,7,5,7,Food like direction start law wife college couple.,Charge resource project. Early tonight eat media cultural test.,2023-12-30,2024-01-26,2024-11-17,,648.0,,,False,,"daughter, history",Social Media
89,3903,35.0,2,7,1,7,Young effect land inside human rise red.,Event above need occur. Culture stay year teach improve.,2023-09-14,,2023-11-18,2023-09-15,,24.0,3.0,False,,"ten, arm",API
90,467,47.0,9,4,3,5,Chair question his off add oil girl safe measure.,Wrong treat imagine half. Form rich education alone themselves accept. Many protect current imagine country bag event wait.,2024-02-06,2024-02-29,2024-11-14,,552.0,,2.0,False,Vendor Issue,"go, first",Social Media
91,477,22.0,9,1,2,7,Left always explain measure exactly movie require great with thought herself.,Among address response public. Book player true operation difference help ok.,2023-10-18,,2024-04-27,2023-10-18,,0.0,5.0,True,Security Concern,"them, whose",Chat
92,1063,22.0,9,1,5,4,How effort perform practice share education certain must.,Eight clearly rather walk experience ahead could every. School field white school age. Film site find.,2023-09-12,2023-10-07,2024-04-23,2023-09-12,600.0,0.0,3.0,True,,"site, energy",Social Media
93,129,15.0,5,3,4,5,Sometimes next Mr red free long mother long seem serve green.,Because bit treat mother line item. Manage more performance house write every chance. Republican him bar still per newspaper.,2023-09-26,2023-10-25,2024-06-11,2023-09-27,696.0,24.0,4.0,True,,"west, player",Phone
94,3344,22.0,6,7,5,3,Forget letter through pressure worker administration myself safe available girl.,Usually however financial with mean shoulder. Tv discussion care give boy recognize able they. Surface trade social issue worry quality want. Agree particularly level those.,2024-09-11,2024-09-15,2024-10-23,2024-09-11,96.0,0.0,1.0,True,,"character, now",Social Media
95,740,24.0,4,5,5,2,Evidence economy case democratic mouth white much order pay.,Agent series after program why their bad. Recent bill no really feeling cut as history.,2024-06-23,2024-07-05,2024-08-16,2024-06-23,288.0,0.0,1.0,False,,"position, benefit",Email
96,2125,24.0,2,5,1,1,Wide receive citizen especially once.,Agree close market sense political station perhaps. Town sign general vote.,2023-06-26,2023-07-14,2024-07-08,,432.0,,1.0,False,,"appear, visit",Phone
97,1323,12.0,5,8,4,4,Deal head benefit low seem too community society scientist idea.,Figure detail exactly body. Approach sister paper whom raise discuss.,2024-10-26,,2024-12-05,,,,,False,,"lead, eye",Social Media
98,2187,39.0,1,7,5,3,Most keep reflect page capital work pick.,New professor family cultural. Wind security adult behavior meet.,2024-01-20,,2024-12-09,2024-01-20,,0.0,2.0,False,Security Concern,"wall, local",Email
99,1337,21.0,10,2,3,7,Concern somebody study church simply bad green find view American.,Who beautiful be above attack.,2024-12-26,2025-01-17,2024-12-29,,528.0,,,False,SLA Breach Risk,"most, necessary",Chat
100,2220,11.0,2,2,4,6,True no provide far dream ago recognize real manage look.,Will upon respond. Ready sport seven decade huge.,2024-12-09,2024-12-14,2024-12-13,,120.0,,3.0,False,,"specific, again",Phone
101,15,30.0,8,6,2,3,Seem water born school investment per difficult.,Above decision provide wind value article quite. Record article arrive fact image. Teacher avoid reflect successful at.,2024-07-24,2024-08-11,2024-07-28,2024-07-25,432.0,24.0,2.0,False,,"return, certain",Social Media
102,2482,41.0,5,2,4,4,Blood just money nice and class hear eat future heavy.,Street school keep their local. Suddenly surface else film nearly safe imagine.,2023-08-07,,2024-05-12,2023-08-08,,24.0,4.0,False,,"see, piece",Chat
103,4015,10.0,4,4,2,5,Everyone detail turn apply marriage off effect.,From year pattern nice. Study investment lay city throughout.,2024-11-04,2024-11-12,2024-11-26,2024-11-04,192.0,0.0,2.0,False,,"research, move",Phone
104,2917,34.0,3,4,3,2,Where drug former our traditional consider number compare.,Four character down police yourself. Respond media too job not.,2023-11-19,2023-12-12,2024-09-05,,552.0,,1.0,False,,"everybody, key",Portal
105,4246,26.0,2,6,4,3,Environmental guess between matter according.,Discuss nation charge reduce. Reality feeling middle necessary sister enough. Cultural yes change.,2023-01-01,2023-01-20,2024-03-19,,456.0,,1.0,False,,"page, citizen",API
106,2335,20.0,4,3,3,1,Recently child of none now writer.,Take policy school this. Else rock actually participant break author.,2024-12-22,2024-12-29,2024-12-28,2024-12-23,168.0,24.0,1.0,True,,"price, remember",Chat
107,2471,49.0,2,8,1,3,Piece southern interesting peace wish.,Fire focus consumer energy us myself big. Network despite region worry with.,2023-02-24,2023-03-24,2024-09-12,2023-02-25,672.0,24.0,,False,,"drug, offer",Chat
108,1758,33.0,3,2,1,3,Yard area herself whether something laugh election make forget force.,Bill employee none article. Deep wear provide may investment actually second land. According writer over college manager old.,2024-04-09,2024-04-19,2024-12-19,2024-04-10,240.0,24.0,1.0,False,,"out, very",API
109,603,19.0,8,1,3,4,Represent brother when will check clear.,Bed north pull positive manage. Move eat her citizen ever. Edge challenge attack world Congress budget threat.,2023-04-17,2023-05-16,2024-03-26,,696.0,,3.0,True,,"maintain, second",Chat
110,1016,42.0,2,1,3,3,Common hard interest kitchen here respond especially result loss structure fall.,On foreign buy husband view party. Beautiful father debate kid various environmental art. Know always beautiful call executive hundred people. Purpose wide model occur language only.,2024-12-19,2024-12-24,2024-12-27,2024-12-20,120.0,24.0,,True,,"number, space",Email
111,1442,,7,7,1,4,Answer baby anyone our wife believe vote challenge interesting house.,Arm easy parent three wrong foot Democrat personal. But should plant employee though work soon dark. One mouth accept try. Arrive service record run phone ahead.,2023-03-24,2023-04-12,2024-10-06,2023-03-25,456.0,24.0,,False,,"character, weight",API
112,1368,34.0,9,8,2,4,Hour herself itself most fly actually.,Foot able page ability. Skill quality increase bar.,2023-02-02,2023-02-17,2024-11-14,2023-02-03,360.0,24.0,,False,,"official, cut",Email
113,936,10.0,3,8,2,7,Such degree present list.,Somebody later local tough. Such left election town.,2023-06-12,2023-06-18,2023-11-07,2023-06-13,144.0,24.0,,False,,"usually, society",Social Media
114,2584,17.0,1,6,4,6,Source explain point word especially each available second would do.,Meet prevent thought green radio note. Thought wear arm investment here both whether. Organization a star training.,2023-04-07,2023-04-30,2023-04-14,2023-04-08,552.0,24.0,,False,,"least, world",API
115,2715,40.0,5,8,1,5,Prove edge particular class building last.,Upon political change method writer kid five. With house better laugh garden. Every no national wall major.,2024-12-05,2024-12-15,2024-12-15,2024-12-06,240.0,24.0,,False,Complex Technical Issue,"single, past",Portal
116,1306,28.0,5,2,2,1,Despite whose commercial challenge tough above leader care.,Last many who officer international oil. No if give say our. Even some lay him these happy significant.,2023-07-12,2023-08-04,2024-06-21,2023-07-13,552.0,24.0,,False,,"big, put",Social Media
117,4834,3.0,1,4,4,6,North seat require son less person no.,Good stay message majority. Economic nation medical seat close.,2024-12-14,2025-01-02,2024-12-24,,456.0,,,False,,"traditional, score",Portal
118,3993,48.0,7,8,2,1,Remember left beyond soldier white.,Late mouth second staff read night. He pretty maintain their save. Pull true eye story use.,2023-05-28,2023-05-28,2024-01-15,,0.0,,1.0,False,,"day, wrong",Email
119,4799,20.0,1,7,3,6,Yard accept ahead friend pattern you structure water tell drive.,Owner figure seem those political story. Identify while for certainly adult.,2024-12-09,,2024-12-25,2024-12-09,,0.0,5.0,False,,"total, trouble",Portal
120,4412,17.0,5,4,4,2,Future look American provide doctor purpose author couple exist.,World strong someone thing we. White avoid side. Already rise production trade brother.,2024-09-28,,2024-10-07,2024-09-28,,0.0,2.0,False,SLA Breach Risk,"north, office",Chat
121,1390,14.0,6,4,2,6,Determine within deal natural ten assume federal appear audience sound.,Yet standard force. Language understand thus hope experience western.,2024-10-25,2024-11-14,2024-12-10,2024-10-26,480.0,24.0,2.0,True,,"worker, concern",Chat
122,4591,30.0,7,1,3,6,Republican choose hundred scientist instead.,Kitchen without drive glass provide gas. Movement side relate industry. Spend cause participant sit career employee whole.,2023-11-04,2023-11-06,2024-08-15,2023-11-05,48.0,24.0,2.0,False,,"who, easy",Portal
123,1124,,6,7,4,7,Character time process friend seven.,Tell space shoulder bad. In note guess cause board thought above.,2024-09-20,2024-09-29,2024-10-14,2024-09-21,216.0,24.0,5.0,False,,"door, remember",Chat
124,2373,11.0,9,2,1,4,Since another audience risk perform because pretty trip bar important.,Mrs also key. Project personal tonight report on feeling. Again car add stay trade carry culture.,2023-06-01,,2024-08-10,2023-06-01,,0.0,5.0,False,,"either, since",Social Media
125,355,16.0,8,2,5,5,Since fish author compare meet common direction dog increase six.,Manage themselves performance. Report during person cold its consider fly might. Direction after whole tonight lay thus student.,2023-07-11,2023-07-31,2024-05-12,2023-07-12,480.0,24.0,,False,,"rise, he",Phone
