commission_id,deal_id,rep_id,deal_value,commission_rate,commission_amount,payment_date,status,payment_method,tax_withheld
24,24,10,165489,0.062,10260.318,2024-03-31,Paid,Direct Deposit,2565.0795
25,25,23,134487,0.105,14121.135,2025-07-20,Disputed,Wire Transfer,3530.28375
26,26,37,222525,0.061,13574.025,2025-02-16,Paid,Direct Deposit,3393.50625
27,27,9,288461,0.072,20769.192,2024-07-14,Pending,Wire Transfer,5192.298
28,28,19,418474,0.111,46450.614,2024-11-04,Pending,Wire Transfer,11612.6535
29,29,2,269541,0.074,19946.034,2023-09-04,Paid,Check,4986.5085
30,30,36,107189,0.063,6752.907,2024-10-22,Pending,Direct Deposit,1688.22675
31,31,3,406984,0.104,42326.335999999996,2024-04-02,Paid,Wire Transfer,10581.583999999999
32,32,17,190254,0.127,24162.258,2025-01-21,Paid,Check,6040.5645
33,33,50,435594,0.1,43559.4,2024-05-18,Pending,Direct Deposit,10889.85
34,34,19,273873,0.111,30399.903000000002,2025-01-07,Disputed,Wire Transfer,7599.9757500000005
35,35,39,102912,0.081,8335.872,2023-10-08,Pending,Direct Deposit,2083.968
36,36,28,151582,0.091,13793.962,2025-02-19,Paid,Direct Deposit,3448.4905
37,37,14,84341,0.065,5482.165,2024-10-25,Disputed,Wire Transfer,1370.54125
38,38,9,380238,0.072,27377.136,2025-07-16,Pending,Wire Transfer,6844.284
39,39,35,319929,0.071,22714.959,2024-07-08,Paid,Wire Transfer,5678.73975
40,40,24,369534,0.097,35844.798,2024-10-22,Pending,Wire Transfer,8961.1995
41,41,1,399359,0.123,49121.157,2024-05-13,Pending,Direct Deposit,12280.28925
42,42,9,462486,0.072,33298.992,2024-12-16,Paid,Wire Transfer,8324.748
43,43,4,465400,0.079,36766.6,2024-05-18,Pending,Check,9191.65
44,44,19,226969,0.111,25193.559,2024-05-12,Pending,Wire Transfer,6298.38975
45,45,11,104063,0.08,8325.04,2024-10-05,Paid,Direct Deposit,2081.26
46,46,35,468850,0.071,33288.35,2023-07-27,Pending,Check,8322.0875
47,47,2,382287,0.074,28289.237999999998,2024-04-14,Paid,Wire Transfer,7072.309499999999
48,48,22,325677,0.113,36801.501000000004,2025-09-21,Paid,Wire Transfer,9200.375250000001
49,49,26,339766,0.077,26161.982,2024-05-06,Disputed,Direct Deposit,6540.4955
50,50,47,22003,0.114,2508.342,2024-04-09,Disputed,Check,627.0855
51,51,3,196804,0.104,20467.615999999998,2023-10-20,Paid,Check,5116.9039999999995
52,52,43,397035,0.074,29380.59,2025-03-10,Pending,Direct Deposit,7345.1475
53,53,42,206600,0.103,21279.8,2023-04-22,Disputed,Wire Transfer,5319.95
54,54,16,497682,0.145,72163.89,2024-12-30,Paid,Direct Deposit,18040.9725
55,55,6,225941,0.15,33891.15,2023-11-22,Disputed,Check,8472.7875
56,56,5,441477,0.09,39732.93,2024-05-24,Disputed,Check,9933.2325
57,57,27,33437,0.148,4948.6759999999995,2024-08-03,Disputed,Wire Transfer,1237.1689999999999
58,58,18,233031,0.093,21671.883,2023-09-18,Paid,Wire Transfer,5417.97075
59,59,2,420110,0.074,31088.14,2025-05-08,Pending,Direct Deposit,7772.035
60,60,41,247729,0.072,17836.487999999998,2024-06-06,Pending,Check,4459.121999999999
61,61,17,283761,0.127,36037.647,2024-01-02,Pending,Check,9009.41175
62,62,20,29179,0.081,2363.4990000000003,2024-07-13,Disputed,Direct Deposit,590.8747500000001
63,63,19,330731,0.111,36711.141,2025-01-22,Pending,Wire Transfer,9177.78525
64,64,39,444178,0.081,35978.418,2024-02-23,Paid,Direct Deposit,8994.6045
65,65,33,284175,0.059,16766.325,2025-07-15,Disputed,Wire Transfer,4191.58125
66,66,22,106400,0.113,12023.2,2024-02-26,Paid,Check,3005.8
67,67,34,431204,0.06,25872.239999999998,2024-12-18,Pending,Wire Transfer,6468.0599999999995
68,68,13,455211,0.132,60087.852000000006,2024-01-20,Pending,Direct Deposit,15021.963000000002
69,69,26,392259,0.077,30203.943,2025-02-12,Disputed,Check,7550.98575
70,70,22,220272,0.113,24890.736,2025-07-19,Pending,Direct Deposit,6222.684
71,71,22,68753,0.113,7769.089,2025-05-23,Paid,Direct Deposit,1942.27225
72,72,47,356798,0.114,40674.972,2025-03-26,Pending,Check,10168.743
73,73,12,408215,0.135,55109.025,2025-01-10,Pending,Check,13777.25625
74,74,26,3037,0.077,233.849,2024-03-26,Pending,Wire Transfer,58.46225
75,75,18,306141,0.093,28471.113,2024-05-25,Disputed,Check,7117.77825
76,76,38,104390,0.091,9499.49,2024-06-10,Pending,Check,2374.8725
77,77,28,454343,0.091,41345.212999999996,2024-07-29,Disputed,Wire Transfer,10336.303249999999
78,78,41,459700,0.072,33098.399999999994,2025-04-22,Pending,Wire Transfer,8274.599999999999
79,79,18,310082,0.093,28837.626,2024-08-24,Paid,Direct Deposit,7209.4065
80,80,47,167773,0.114,19126.122,2025-02-09,Paid,Wire Transfer,4781.5305
81,81,19,65100,0.111,7226.1,2025-10-13,Disputed,Wire Transfer,1806.525
82,82,42,232605,0.103,23958.315,2023-12-19,Pending,Wire Transfer,5989.57875
83,83,43,478422,0.074,35403.227999999996,2023-11-18,Disputed,Direct Deposit,8850.806999999999
84,84,3,307064,0.104,31934.656,2025-05-09,Pending,Direct Deposit,7983.664
85,85,3,404657,0.104,42084.328,2024-03-29,Pending,Wire Transfer,10521.082
86,86,5,127142,0.09,11442.779999999999,2025-10-31,Paid,Direct Deposit,2860.6949999999997
87,87,22,117666,0.113,13296.258,2024-04-06,Paid,Check,3324.0645
88,88,46,331122,0.121,40065.762,2023-07-23,Pending,Direct Deposit,10016.4405
89,89,27,485145,0.148,71801.45999999999,2023-12-01,Paid,Wire Transfer,17950.364999999998
90,90,6,478939,0.15,71840.84999999999,2025-01-26,Disputed,Wire Transfer,17960.212499999998
91,91,15,129149,0.118,15239.581999999999,2024-04-23,Paid,Wire Transfer,3809.8954999999996
92,92,19,493297,0.111,54755.967000000004,2023-09-06,Disputed,Wire Transfer,13688.991750000001
93,93,1,247448,0.123,30436.104,2024-06-19,Pending,Direct Deposit,7609.026
94,94,14,479411,0.065,31161.715,2024-08-22,Disputed,Check,7790.42875
95,95,27,382731,0.148,56644.187999999995,2024-01-03,Disputed,Check,14161.046999999999
96,96,27,120774,0.148,17874.552,2024-05-23,Pending,Check,4468.638
97,97,7,479461,0.071,34041.731,2024-12-16,Pending,Direct Deposit,8510.43275
98,98,20,452729,0.081,36671.049,2025-06-07,Pending,Direct Deposit,9167.76225
99,99,12,127836,0.135,17257.86,2025-08-28,Pending,Check,4314.465
100,100,8,329220,0.054,17777.88,2024-10-03,Disputed,Wire Transfer,4444.47
101,101,13,332141,0.132,43842.612,2026-01-29,Pending,Check,10960.653
102,102,45,155070,0.136,21089.52,2024-08-09,Pending,Direct Deposit,5272.38
103,103,36,319892,0.063,20153.196,2025-05-26,Paid,Direct Deposit,5038.299
104,104,5,21575,0.09,1941.75,2023-12-25,Disputed,Check,485.4375
105,105,31,357490,0.096,34319.04,2024-04-13,Paid,Wire Transfer,8579.76
106,106,12,182506,0.135,24638.31,2023-12-22,Pending,Check,6159.5775
107,107,24,193146,0.097,18735.162,2023-11-30,Paid,Wire Transfer,4683.7905
108,108,40,100431,0.068,6829.308000000001,2023-06-01,Pending,Check,1707.3270000000002
109,109,30,179659,0.093,16708.287,2024-04-15,Disputed,Wire Transfer,4177.07175
110,110,10,319718,0.062,19822.516,2024-08-07,Paid,Check,4955.629
111,111,41,138721,0.072,9987.911999999998,2024-05-20,Paid,Check,2496.9779999999996
112,112,12,364490,0.135,49206.15,2024-04-15,Pending,Wire Transfer,12301.5375
113,113,39,212851,0.081,17240.931,2025-04-12,Disputed,Wire Transfer,4310.23275
114,114,14,304491,0.065,19791.915,2025-08-09,Pending,Check,4947.97875
115,115,10,68562,0.062,4250.844,2025-12-21,Pending,Check,1062.711
116,116,43,1402,0.074,103.74799999999999,2024-04-01,Paid,Wire Transfer,25.936999999999998
117,117,28,376774,0.091,34286.434,2024-01-06,Disputed,Direct Deposit,8571.6085
118,118,23,219454,0.105,23042.67,2023-12-26,Paid,Check,5760.6675
119,119,46,107975,0.121,13064.975,2023-07-19,Pending,Wire Transfer,3266.24375
120,120,31,456687,0.096,43841.952,2024-02-07,Paid,Check,10960.488
121,121,34,101661,0.06,6099.66,2025-01-21,Pending,Direct Deposit,1524.915
122,122,40,133431,0.068,9073.308,2025-03-24,Paid,Direct Deposit,2268.327
123,123,41,438919,0.072,31602.167999999998,2024-12-23,Paid,Wire Transfer,7900.5419999999995
124,124,13,443405,0.132,58529.46,2023-11-29,Paid,Check,14632.365
125,125,22,100312,0.113,11335.256000000001,2023-12-05,Paid,Wire Transfer,2833.8140000000003
126,126,49,238425,0.088,20981.399999999998,2025-12-09,Disputed,Check,5245.349999999999
127,127,14,275159,0.065,17885.335,2024-04-15,Pending,Direct Deposit,4471.33375
128,128,31,180501,0.096,17328.096,2023-07-29,Paid,Direct Deposit,4332.024
129,129,8,229872,0.054,12413.088,2024-07-23,Pending,Wire Transfer,3103.272
130,130,9,304091,0.072,21894.552,2023-09-15,Disputed,Direct Deposit,5473.638
131,131,34,289011,0.06,17340.66,2024-04-25,Disputed,Direct Deposit,4335.165
132,132,2,185716,0.074,13742.983999999999,2025-03-12,Paid,Direct Deposit,3435.7459999999996
133,133,8,309553,0.054,16715.862,2025-08-11,Pending,Wire Transfer,4178.9655
134,134,42,241344,0.103,24858.431999999997,2024-08-06,Disputed,Wire Transfer,6214.607999999999
135,135,48,133903,0.138,18478.614,2023-12-08,Pending,Direct Deposit,4619.6535
136,136,41,123708,0.072,8906.975999999999,2025-08-03,Disputed,Direct Deposit,2226.7439999999997
137,137,21,252926,0.073,18463.597999999998,2025-04-18,Disputed,Wire Transfer,4615.8994999999995
138,138,33,111602,0.059,6584.518,2024-09-07,Paid,Check,1646.1295
139,139,28,149034,0.091,13562.094,2025-02-14,Disputed,Direct Deposit,3390.5235
140,140,10,197851,0.062,12266.762,2025-04-03,Disputed,Wire Transfer,3066.6905
141,141,13,374296,0.132,49407.072,2024-10-26,Pending,Direct Deposit,12351.768
142,142,4,225760,0.079,17835.04,2024-09-01,Pending,Wire Transfer,4458.76
143,143,23,200470,0.105,21049.35,2024-04-24,Paid,Check,5262.3375
144,144,29,342064,0.084,28733.376,2023-09-14,Paid,Wire Transfer,7183.344
145,145,44,37484,0.113,4235.692,2023-10-13,Disputed,Direct Deposit,1058.923
146,146,39,424981,0.081,34423.461,2025-02-05,Pending,Check,8605.86525
147,147,40,53511,0.068,3638.748,2024-09-02,Pending,Check,909.687
148,148,12,188336,0.135,25425.36,2023-09-12,Paid,Check,6356.34
149,149,1,261226,0.123,32130.798,2024-12-08,Paid,Check,8032.6995
150,150,30,244951,0.093,22780.443,2024-11-16,Pending,Check,5695.11075
151,151,5,100916,0.09,9082.44,2023-11-05,Disputed,Wire Transfer,2270.61
152,152,35,57420,0.071,4076.8199999999997,2024-04-24,Paid,Wire Transfer,1019.2049999999999
153,153,11,353831,0.08,28306.48,2024-12-14,Paid,Direct Deposit,7076.62
154,154,49,21157,0.088,1861.8159999999998,2025-05-04,Disputed,Check,465.45399999999995
155,155,5,114203,0.09,10278.27,2025-04-09,Pending,Check,2569.5675
156,156,1,429538,0.123,52833.174,2024-11-21,Paid,Direct Deposit,13208.2935
157,157,1,87980,0.123,10821.539999999999,2024-02-23,Paid,Direct Deposit,2705.3849999999998
158,158,15,410765,0.118,48470.27,2024-08-01,Disputed,Direct Deposit,12117.5675
159,159,5,301611,0.09,27144.989999999998,2023-10-17,Paid,Wire Transfer,6786.2474999999995
160,160,24,185460,0.097,17989.62,2025-01-10,Paid,Check,4497.405
161,161,26,264436,0.077,20361.572,2024-12-26,Paid,Direct Deposit,5090.393
162,162,42,221322,0.103,22796.165999999997,2024-09-21,Paid,Check,5699.041499999999
163,163,15,273989,0.118,32330.701999999997,2023-10-23,Disputed,Wire Transfer,8082.675499999999
164,164,5,424978,0.09,38248.02,2024-07-13,Disputed,Check,9562.005
165,165,40,279856,0.068,19030.208000000002,2024-07-21,Disputed,Direct Deposit,4757.552000000001
166,166,15,392414,0.118,46304.852,2025-06-05,Paid,Wire Transfer,11576.213
167,167,24,299883,0.097,29088.651,2025-06-10,Pending,Direct Deposit,7272.16275
168,168,2,194329,0.074,14380.346,2023-09-18,Paid,Check,3595.0865
169,169,13,452985,0.132,59794.020000000004,2024-06-04,Disputed,Wire Transfer,14948.505000000001
170,170,26,244446,0.077,18822.342,2024-04-06,Disputed,Wire Transfer,4705.5855
171,171,25,440013,0.085,37401.105,2024-06-18,Pending,Wire Transfer,9350.27625
172,172,41,480711,0.072,34611.191999999995,2024-05-14,Paid,Check,8652.797999999999
173,173,40,325632,0.068,22142.976000000002,2024-10-30,Disputed,Direct Deposit,5535.744000000001
174,174,41,285418,0.072,20550.095999999998,2024-12-01,Disputed,Wire Transfer,5137.523999999999
175,175,20,209702,0.081,16985.862,2025-03-29,Disputed,Wire Transfer,4246.4655
176,176,14,374532,0.065,24344.58,2024-07-09,Pending,Direct Deposit,6086.145
177,177,39,492434,0.081,39887.154,2023-12-28,Disputed,Check,9971.7885
178,178,18,397317,0.093,36950.481,2023-11-21,Pending,Wire Transfer,9237.62025
179,179,47,440398,0.114,50205.372,2024-10-04,Paid,Wire Transfer,12551.343
180,180,22,279669,0.113,31602.597,2024-06-05,Disputed,Check,7900.64925
181,181,16,354317,0.145,51375.965,2025-01-26,Pending,Check,12843.99125
182,182,12,289436,0.135,39073.86,2023-12-30,Disputed,Direct Deposit,9768.465
183,183,20,223693,0.081,18119.133,2023-11-07,Pending,Direct Deposit,4529.78325
184,184,20,72554,0.081,5876.874,2024-03-20,Disputed,Check,1469.2185
185,185,9,284769,0.072,20503.368,2024-03-24,Paid,Check,5125.842
186,186,32,295615,0.054,15963.21,2024-08-31,Disputed,Direct Deposit,3990.8025
187,187,9,414764,0.072,29863.007999999998,2024-09-15,Disputed,Wire Transfer,7465.7519999999995
188,188,27,487589,0.148,72163.17199999999,2025-10-30,Disputed,Direct Deposit,18040.792999999998
189,189,15,494965,0.118,58405.869999999995,2025-08-14,Disputed,Direct Deposit,14601.467499999999
190,190,22,451488,0.113,51018.144,2025-06-06,Pending,Wire Transfer,12754.536
191,191,50,225268,0.1,22526.800000000003,2024-11-09,Pending,Check,5631.700000000001
192,192,18,477672,0.093,44423.496,2025-09-18,Disputed,Wire Transfer,11105.874
193,193,26,44908,0.077,3457.916,2024-04-03,Disputed,Direct Deposit,864.479
194,194,39,206617,0.081,16735.977,2024-09-01,Pending,Check,4183.99425
195,195,25,38884,0.085,3305.1400000000003,2025-05-08,Paid,Wire Transfer,826.2850000000001
196,196,11,448825,0.08,35906.0,2024-03-25,Disputed,Direct Deposit,8976.5
197,197,45,429531,0.136,58416.21600000001,2024-11-24,Pending,Wire Transfer,14604.054000000002
198,198,42,23515,0.103,2422.045,2025-06-30,Paid,Direct Deposit,605.51125
199,199,30,72712,0.093,6762.216,2024-09-28,Disputed,Wire Transfer,1690.554
200,200,5,390505,0.09,35145.45,2024-09-20,Paid,Check,8786.3625
201,201,23,466597,0.105,48992.685,2025-07-11,Pending,Direct Deposit,12248.17125
202,202,41,73186,0.072,5269.392,2024-05-31,Disputed,Check,1317.348
203,203,31,300026,0.096,28802.496,2024-04-21,Disputed,Check,7200.624
204,204,14,397820,0.065,25858.3,2024-04-16,Disputed,Wire Transfer,6464.575
205,205,15,334754,0.118,39500.971999999994,2024-10-12,Disputed,Wire Transfer,9875.242999999999
206,206,37,138721,0.061,8461.981,2024-10-16,Pending,Wire Transfer,2115.49525
207,207,7,45557,0.071,3234.5469999999996,2024-03-19,Disputed,Wire Transfer,808.6367499999999
208,208,19,206132,0.111,22880.652000000002,2024-02-24,Pending,Check,5720.1630000000005
209,209,29,95732,0.084,8041.488,2024-06-14,Disputed,Check,2010.372
210,210,4,388990,0.079,30730.21,2024-11-23,Disputed,Direct Deposit,7682.5525
211,211,49,449015,0.088,39513.32,2025-02-04,Pending,Wire Transfer,9878.33
212,212,22,313272,0.113,35399.736000000004,2025-06-10,Pending,Wire Transfer,8849.934000000001
213,213,38,232119,0.091,21122.828999999998,2024-01-28,Disputed,Wire Transfer,5280.7072499999995
214,214,34,307753,0.06,18465.18,2023-09-18,Disputed,Direct Deposit,4616.295
215,215,9,399287,0.072,28748.663999999997,2025-12-31,Paid,Check,7187.165999999999
216,216,26,470587,0.077,36235.199,2024-12-12,Disputed,Wire Transfer,9058.79975
217,217,1,471645,0.123,58012.335,2025-08-10,Paid,Wire Transfer,14503.08375
218,218,12,8896,0.135,1200.96,2023-08-23,Disputed,Direct Deposit,300.24
219,219,14,22972,0.065,1493.18,2024-12-10,Paid,Direct Deposit,373.295
220,220,44,219313,0.113,24782.369000000002,2024-10-29,Paid,Wire Transfer,6195.592250000001
221,221,22,230754,0.113,26075.202,2024-02-18,Disputed,Wire Transfer,6518.8005
222,222,11,297710,0.08,23816.8,2024-06-20,Disputed,Wire Transfer,5954.2
223,223,9,202589,0.072,14586.408,2023-08-03,Disputed,Direct Deposit,3646.602
224,224,44,120344,0.113,13598.872000000001,2025-02-07,Pending,Check,3399.7180000000003
225,225,20,321360,0.081,26030.16,2025-04-01,Disputed,Wire Transfer,6507.54
226,226,43,284619,0.074,21061.806,2024-02-03,Pending,Wire Transfer,5265.4515
227,227,23,360798,0.105,37883.79,2024-05-19,Disputed,Direct Deposit,9470.9475
228,228,10,15520,0.062,962.24,2024-08-04,Pending,Wire Transfer,240.56
229,229,37,427132,0.061,26055.052,2025-02-18,Paid,Direct Deposit,6513.763
230,230,23,382754,0.105,40189.17,2024-10-31,Paid,Check,10047.2925
231,231,15,209138,0.118,24678.284,2023-10-16,Disputed,Wire Transfer,6169.571
232,232,23,299887,0.105,31488.135,2024-07-01,Disputed,Wire Transfer,7872.03375
233,233,46,233049,0.121,28198.929,2023-11-03,Paid,Direct Deposit,7049.73225
234,234,41,433582,0.072,31217.904,2025-04-28,Paid,Check,7804.476
235,235,13,153705,0.132,20289.06,2024-12-12,Disputed,Direct Deposit,5072.265
236,236,12,95064,0.135,12833.640000000001,2024-07-10,Paid,Direct Deposit,3208.4100000000003
237,237,45,286128,0.136,38913.408,2025-03-16,Paid,Check,9728.352
238,238,36,280138,0.063,17648.694,2025-02-07,Pending,Direct Deposit,4412.1735
239,239,11,190071,0.08,15205.68,2024-06-15,Paid,Direct Deposit,3801.42
240,240,6,159576,0.15,23936.399999999998,2025-02-12,Paid,Wire Transfer,5984.099999999999
241,241,45,199382,0.136,27115.952,2025-01-01,Pending,Direct Deposit,6778.988
242,242,43,192456,0.074,14241.743999999999,2024-04-10,Pending,Direct Deposit,3560.4359999999997
243,243,27,496105,0.148,73423.54,2024-09-22,Paid,Direct Deposit,18355.885
244,244,18,23378,0.093,2174.154,2025-09-16,Pending,Direct Deposit,543.5385
245,245,8,165745,0.054,8950.23,2023-12-30,Disputed,Wire Transfer,2237.5575
246,246,25,481818,0.085,40954.530000000006,2025-02-20,Pending,Check,10238.632500000002
247,247,20,246583,0.081,19973.223,2024-05-02,Pending,Wire Transfer,4993.30575
248,248,19,205400,0.111,22799.4,2024-02-22,Disputed,Direct Deposit,5699.85
249,249,28,197642,0.091,17985.422,2023-11-29,Disputed,Wire Transfer,4496.3555
250,250,1,405401,0.123,49864.323,2024-12-08,Pending,Check,12466.08075
251,251,36,100837,0.063,6352.731,2024-03-18,Disputed,Direct Deposit,1588.18275
252,252,33,435969,0.059,25722.171,2023-11-27,Pending,Check,6430.54275
253,253,19,69900,0.111,7758.900000000001,2024-12-29,Pending,Direct Deposit,1939.7250000000001
254,254,50,76814,0.1,7681.400000000001,2025-02-03,Paid,Direct Deposit,1920.3500000000001
255,255,47,237650,0.114,27092.100000000002,2025-07-10,Paid,Wire Transfer,6773.025000000001
256,256,40,222705,0.068,15143.94,2024-02-15,Pending,Wire Transfer,3785.985
257,257,15,338326,0.118,39922.468,2023-10-08,Pending,Direct Deposit,9980.617
258,258,11,184371,0.08,14749.68,2024-02-24,Pending,Direct Deposit,3687.42
259,259,20,292961,0.081,23729.841,2025-06-12,Paid,Check,5932.46025
260,260,16,306707,0.145,44472.515,2023-10-29,Disputed,Direct Deposit,11118.12875
261,261,9,309167,0.072,22260.023999999998,2024-04-04,Paid,Check,5565.005999999999
262,262,35,484188,0.071,34377.348,2024-06-01,Paid,Direct Deposit,8594.337
263,263,47,373599,0.114,42590.286,2024-10-20,Pending,Check,10647.5715
264,264,43,384970,0.074,28487.78,2024-07-07,Paid,Direct Deposit,7121.945
265,265,12,264714,0.135,35736.39,2024-10-28,Disputed,Direct Deposit,8934.0975
266,266,22,303385,0.113,34282.505,2025-01-03,Pending,Check,8570.62625
267,267,46,270385,0.121,32716.585,2023-11-12,Pending,Check,8179.14625
268,268,46,421392,0.121,50988.432,2024-10-21,Paid,Direct Deposit,12747.108
269,269,38,482421,0.091,43900.311,2025-07-17,Disputed,Direct Deposit,10975.07775
270,270,1,331507,0.123,40775.361,2024-09-16,Disputed,Direct Deposit,10193.84025
271,271,25,149880,0.085,12739.800000000001,2024-07-16,Disputed,Wire Transfer,3184.9500000000003
272,272,16,232075,0.145,33650.875,2025-02-14,Pending,Direct Deposit,8412.71875
273,273,33,214297,0.059,12643.523,2025-08-30,Paid,Direct Deposit,3160.88075
274,274,48,297357,0.138,41035.266,2024-11-18,Pending,Wire Transfer,10258.8165
275,275,28,406588,0.091,36999.508,2024-06-04,Pending,Direct Deposit,9249.877
276,276,36,332542,0.063,20950.146,2025-09-08,Pending,Wire Transfer,5237.5365
277,277,46,430147,0.121,52047.787,2023-10-16,Paid,Check,13011.94675
278,278,50,343526,0.1,34352.6,2024-08-08,Pending,Check,8588.15
279,279,41,89324,0.072,6431.3279999999995,2024-08-04,Pending,Wire Transfer,1607.8319999999999
280,280,47,83662,0.114,9537.468,2024-05-14,Paid,Direct Deposit,2384.367
281,281,24,448654,0.097,43519.438,2023-12-06,Paid,Direct Deposit,10879.8595
282,282,8,122002,0.054,6588.108,2024-02-19,Paid,Wire Transfer,1647.027
283,283,7,303112,0.071,21520.951999999997,2025-04-07,Disputed,Direct Deposit,5380.237999999999
284,284,13,287070,0.132,37893.240000000005,2024-12-29,Disputed,Wire Transfer,9473.310000000001
285,285,36,289695,0.063,18250.785,2025-01-12,Pending,Direct Deposit,4562.69625
286,286,29,379828,0.084,31905.552000000003,2024-09-29,Disputed,Check,7976.388000000001
287,287,37,135448,0.061,8262.328,2023-08-28,Disputed,Direct Deposit,2065.582
288,288,39,469408,0.081,38022.048,2025-03-21,Disputed,Check,9505.512
289,289,16,119410,0.145,17314.449999999997,2024-11-14,Disputed,Check,4328.612499999999
290,290,27,288694,0.148,42726.712,2023-12-16,Pending,Check,10681.678
291,291,12,283800,0.135,38313.0,2025-03-30,Pending,Wire Transfer,9578.25
292,292,11,492103,0.08,39368.24,2024-02-08,Disputed,Direct Deposit,9842.06
293,293,20,117220,0.081,9494.82,2024-05-19,Paid,Direct Deposit,2373.705
294,294,12,261284,0.135,35273.340000000004,2024-09-08,Paid,Direct Deposit,8818.335000000001
295,295,3,82623,0.104,8592.792,2023-11-04,Disputed,Check,2148.198
296,296,26,262817,0.077,20236.909,2023-12-25,Pending,Check,5059.22725
297,297,19,112201,0.111,12454.311,2024-06-05,Paid,Check,3113.57775
298,298,17,168911,0.127,21451.697,2024-04-21,Disputed,Check,5362.92425
299,299,21,492218,0.073,35931.914,2024-12-22,Paid,Direct Deposit,8982.9785
300,300,16,194585,0.145,28214.824999999997,2024-11-29,Paid,Wire Transfer,7053.706249999999
301,301,31,487153,0.096,46766.688,2023-08-23,Pending,Direct Deposit,11691.672
302,302,14,154065,0.065,10014.225,2025-08-13,Pending,Check,2503.55625
303,303,31,329475,0.096,31629.600000000002,2024-05-19,Pending,Check,7907.400000000001
304,304,36,106744,0.063,6724.872,2025-03-02,Pending,Check,1681.218
305,305,29,30098,0.084,2528.232,2023-12-20,Disputed,Wire Transfer,632.058
306,306,41,103028,0.072,7418.016,2024-04-08,Paid,Wire Transfer,1854.504
307,307,10,313496,0.062,19436.752,2025-02-10,Pending,Direct Deposit,4859.188
308,308,22,114421,0.113,12929.573,2025-11-01,Disputed,Check,3232.39325
309,309,15,383190,0.118,45216.42,2024-01-24,Paid,Direct Deposit,11304.105
310,310,47,173643,0.114,19795.302,2023-12-09,Pending,Check,4948.8255
311,311,20,69785,0.081,5652.585,2024-11-02,Paid,Direct Deposit,1413.14625
312,312,45,364313,0.136,49546.56800000001,2024-10-27,Disputed,Check,12386.642000000002
313,313,27,429377,0.148,63547.795999999995,2024-03-08,Paid,Check,15886.948999999999
314,314,9,338741,0.072,24389.352,2024-02-03,Paid,Check,6097.338
315,315,7,112765,0.071,8006.315,2023-10-16,Pending,Check,2001.57875
316,316,18,323502,0.093,30085.686,2026-01-01,Paid,Wire Transfer,7521.4215
317,317,15,192743,0.118,22743.674,2024-03-22,Disputed,Check,5685.9185
318,318,49,473384,0.088,41657.791999999994,2025-01-10,Pending,Wire Transfer,10414.447999999999
319,319,31,63262,0.096,6073.152,2023-08-22,Paid,Wire Transfer,1518.288
320,320,1,373810,0.123,45978.63,2024-01-26,Disputed,Wire Transfer,11494.6575
321,321,7,481696,0.071,34200.416,2024-05-12,Pending,Wire Transfer,8550.104
322,322,30,195401,0.093,18172.293,2025-03-23,Disputed,Wire Transfer,4543.07325
323,323,38,482676,0.091,43923.515999999996,2024-05-19,Pending,Direct Deposit,10980.878999999999
324,324,50,487297,0.1,48729.700000000004,2025-09-17,Pending,Wire Transfer,12182.425000000001
