opportunity_id,customer_id,rep_id,product_id,opportunity_name,stage,status,value,probability,expected_value,created_date,close_date,last_activity,competitor,decision_criteria,next_steps
28,3354,36,2,"Deal with Wise, Gallagher and Smith",Prospecting,Negotiation,113126,12,13575.119999999999,2024-02-02,2024-08-19,2024-11-30,None,News collection price attorney mean.,Including process out particular.
29,2495,20,8,Deal with Chambers-Rios,Closed Won,Closed Lost,10550,59,6224.5,2024-06-27,2024-08-22,2024-12-20,Competitor B,Understand store total quickly figure seat enjoy best sometimes style.,Knowledge third campaign recently even.
30,1288,3,2,Deal with Russell-Taylor,Closed Lost,Proposal Sent,450695,81,365062.95,2023-11-18,2024-06-24,2024-12-27,In-house,Later treatment financial good get media boy toward official.,National election possible box partner class.
31,1649,10,11,"Deal with Rosales, Drake and Kirby",Proposal,Closed Won,182308,64,116677.12,2023-11-02,2023-12-10,2024-02-23,Competitor B,Summer similar special store return just cut study fact leg.,Series carry evening board.
32,811,12,2,Deal with Lee Inc,Qualification,Open,476643,28,133460.04,2023-02-18,2024-01-10,2023-03-22,None,Act wish relate car site remember safe star phone yet.,About soldier admit add religious citizen.
33,3057,22,9,Deal with Robinson Ltd,Qualification,Proposal Sent,348070,44,153150.8,2024-09-14,2025-01-24,2024-12-16,Competitor A,Quickly support fall head million sometimes concern tell difficult network.,What against step ever thank relate.
34,1922,35,3,Deal with Simmons Ltd,Closed Won,Closed Won,77137,69,53224.53,2024-09-16,2025-03-03,2024-10-10,Competitor B,Live attack why explain child.,This fund city deep my.
35,700,4,12,"Deal with Gentry, Garcia and Harris",Prospecting,Qualified,393851,66,259941.66,2023-11-15,2023-12-18,2024-05-07,Competitor A,Station ago everything radio opportunity big character wrong impact.,Music sign us ask control and.
36,2324,20,6,Deal with Hamilton-Fowler,Proposal,Negotiation,148386,63,93483.18000000001,2023-12-18,2024-11-09,2024-09-02,Competitor B,American phone close age quickly worry.,Painting back rich research authority.
37,4530,45,7,"Deal with Alvarez, Gregory and Salazar",Prospecting,Closed Won,444000,51,226440.0,2023-08-04,2023-11-23,2024-03-31,Competitor A,Response sign forget when almost stand front push.,Lay technology color fly marriage letter.
38,2276,8,9,Deal with Jenkins Inc,Closed Lost,Open,81829,59,48279.11,2024-12-16,2025-04-18,2024-12-25,None,Continue something food street eight itself maybe really.,Federal although eye season to.
39,1924,50,12,Deal with Morgan and Sons,Prospecting,Closed Lost,153229,77,117986.33,2023-11-17,2024-05-30,2024-02-05,Competitor C,Smile discussion choice from else behavior country member shake.,Reach happen ask.
40,4337,33,9,Deal with Bullock-Taylor,Closed Lost,Closed Won,453420,30,136026.0,2024-08-19,2025-02-28,2024-10-11,Competitor A,Wear difference between how better him nearly many research price.,Act put hair edge majority.
41,4695,38,6,Deal with Boyd-Davis,Closed Lost,Closed Won,37057,26,9634.82,2024-08-10,2024-11-04,2024-12-20,In-house,Car per senior brother order very home arrive produce look.,Off cost me remain before discuss.
42,1923,20,10,"Deal with Mann, Palmer and Harris",Closed Won,Open,17891,27,4830.570000000001,2023-12-18,2024-09-20,2024-09-29,Competitor A,Involve option color line team floor.,Bar agreement culture rich watch move.
43,1663,12,1,Deal with Taylor PLC,Proposal,Proposal Sent,228670,62,141775.4,2023-01-22,2023-06-20,2023-02-06,None,Mouth ahead Mrs adult join do ever news despite.,East democratic fine safe wonder.
44,1748,29,4,Deal with Hancock-Ryan,Proposal,Open,260945,55,143519.75,2024-01-30,2024-11-08,2024-06-14,In-house,Home spring at more onto dream thought.,Do brother able travel.
45,1410,48,6,Deal with Cardenas Group,Prospecting,Proposal Sent,477730,22,105100.6,2023-07-23,2023-09-23,2023-10-01,None,Cost every once weight range.,Its much professional fast.
46,3860,35,8,Deal with White Ltd,Negotiation,Proposal Sent,191678,80,153342.4,2023-03-18,2023-11-27,2023-12-27,Competitor A,The chance account create early later believe medical.,One concern resource run.
47,1321,17,10,Deal with Peterson Inc,Prospecting,Closed Won,212167,65,137908.55000000002,2024-09-16,2025-01-31,2024-12-12,In-house,Spring democratic reach wall story pick option clear should room.,Fund final career machine speech moment.
48,3862,25,3,Deal with Barry and Sons,Prospecting,Closed Won,39419,66,26016.54,2023-10-09,2024-09-12,2024-09-18,None,Guy woman voice peace trial he attorney price campaign.,East voice foreign environmental consumer.
49,3240,37,2,Deal with Fleming-Dennis,Qualification,Open,199826,34,67940.84000000001,2023-02-10,2023-12-18,2024-03-07,None,Radio agent stock area agree less store.,Type crime feeling.
50,1987,39,4,"Deal with Page, Holmes and Clark",Negotiation,Closed Won,234904,51,119801.04000000001,2024-01-21,2024-06-02,2024-11-28,Competitor C,Require president program crime box attention adult worry best.,Decision important beat sign Mrs your approach.
51,4760,49,9,Deal with Brooks-Bennett,Closed Lost,Closed Lost,435433,39,169818.87,2023-12-23,2024-07-24,2024-04-17,Competitor C,Top official school spring agent wall yet area bed another.,After yeah page your.
52,1754,29,4,"Deal with Gregory, Lyons and Robinson",Proposal,Negotiation,229214,30,68764.2,2024-06-16,2024-08-21,2024-11-02,None,Conference read you experience mind article specific number.,Rule laugh lot heavy either.
53,4447,13,8,"Deal with Lopez, Williams and Reed",Proposal,Negotiation,384154,79,303481.66000000003,2024-03-28,2024-12-02,2024-05-13,Competitor C,Another beat heart pattern us grow American source.,Visit table economic military red continue.
54,2437,46,2,Deal with Decker PLC,Closed Lost,Qualified,296504,28,83021.12000000001,2023-07-06,2024-04-22,2024-02-29,Competitor B,The seek daughter attention a throughout no cut.,Protect trial well prepare left once organization.
55,1124,17,2,"Deal with May, Savage and Hancock",Prospecting,Closed Won,342645,62,212439.9,2024-01-18,2024-11-20,2024-09-10,None,Past significant data themselves boy identify.,Paper kid like gun fine day right rise.
56,4092,32,11,Deal with Hall Inc,Negotiation,Negotiation,162756,44,71612.64,2023-01-03,2023-02-17,2023-01-12,Competitor A,Measure rather defense rate series next their save form sport.,Add whether hope language teacher our.
57,3233,19,11,Deal with Macdonald-Jones,Qualification,Proposal Sent,204867,39,79898.13,2023-09-10,2024-06-19,2024-11-23,Competitor C,Heavy cell white require color picture provide soon someone moment.,Common involve air hundred item show small chair.
58,1937,16,10,Deal with Henry PLC,Closed Won,Negotiation,292158,32,93490.56,2023-05-16,2023-12-14,2024-12-05,Competitor A,Born improve fly man between travel once someone outside.,Pm material cause art himself who chance.
59,4993,30,6,"Deal with Richardson, Hill and Graham",Closed Lost,Proposal Sent,239395,79,189122.05000000002,2024-11-12,2025-10-03,2024-12-25,In-house,Fear follow town Democrat.,Public address take simply Mrs during former understand.
60,377,43,8,Deal with Khan Ltd,Qualification,Open,302151,16,48344.16,2023-06-27,2024-02-15,2024-12-30,Competitor B,Beat value black choose see on.,Wait necessary join color expert.
61,1464,25,6,"Deal with Foster, Duncan and Reyes",Closed Lost,Negotiation,254594,54,137480.76,2024-09-07,2025-06-11,2024-09-15,None,Perform suddenly chair discussion well manage response final son.,Low middle project senior election decade skin throughout.
62,4655,5,4,"Deal with Hall, Vega and Bird",Qualification,Closed Lost,344227,57,196209.38999999998,2023-11-27,2024-10-15,2024-08-29,In-house,Color situation sound never level much west conference within night site.,Administration others from career week woman.
63,4144,30,11,"Deal with Davis, Crane and Rose",Closed Won,Open,352507,19,66976.33,2023-11-16,2024-08-02,2024-11-11,Competitor A,Direction deal parent challenge outside quality heavy.,You card popular religious idea probably seem.
64,976,3,10,Deal with Palmer PLC,Closed Lost,Proposal Sent,199313,54,107629.02,2024-01-27,2024-12-01,2024-07-22,None,Growth agree population move cold.,Guess keep foot garden vote.
65,3644,26,8,Deal with Harrington-Jones,Negotiation,Qualified,302811,62,187742.82,2024-11-06,2025-02-08,2024-11-12,None,West should data record who eat way second black Democrat.,Leader whom individual.
66,3950,4,5,Deal with Hernandez PLC,Prospecting,Open,457039,61,278793.79,2024-08-17,2025-07-06,2024-08-24,Competitor C,Nearly air list forget thought type.,Federal card call.
67,1913,15,9,"Deal with Adams, Wilson and Fuller",Closed Won,Closed Won,428639,41,175741.99,2023-08-30,2024-03-21,2024-03-10,None,Their determine each magazine across wide.,Respond life little glass PM seat tough.
68,4288,19,1,Deal with Hunt-Boyd,Closed Won,Open,33827,30,10148.1,2024-09-26,2024-11-09,2024-11-28,None,Cell staff six move gun several trade bring together happy those.,Power success country wall agree ever.
69,2258,22,5,"Deal with Rocha, Spencer and Brown",Prospecting,Qualified,487083,63,306862.29,2024-12-03,2025-03-26,2024-12-06,None,Lose minute trade test executive happy end.,Big religious capital consumer own believe appear.
70,2174,27,1,"Deal with Davis, Vazquez and Walker",Proposal,Negotiation,385929,52,200683.08000000002,2024-09-30,2025-04-20,2024-12-25,In-house,Like wind expect way nice human drop computer.,Simply hand easy stay however trip.
71,1685,1,8,Deal with Pierce-Swanson,Qualification,Open,35715,67,23929.050000000003,2024-01-15,2025-01-09,2024-01-18,Competitor C,Morning education price hospital long lot approach.,Land hot behavior reach.
72,1818,38,11,Deal with Brown-Edwards,Closed Lost,Closed Won,64614,57,36829.979999999996,2023-03-25,2023-11-07,2023-09-26,Competitor C,Alone method determine occur vote.,While nation country business.
73,2021,45,6,Deal with Walton-Dunn,Closed Lost,Closed Lost,83839,44,36889.16,2024-05-18,2024-11-10,2024-07-17,Competitor C,Manage term movie build green.,Find skin contain future admit.
74,3319,44,2,Deal with Elliott-Jones,Proposal,Open,181096,88,159364.48,2023-02-17,2023-06-14,2024-03-13,Competitor C,Give control clearly foreign fall.,Else set rule upon offer spend financial.
75,143,29,3,Deal with Robertson-Briggs,Closed Won,Qualified,453320,13,58931.6,2024-06-26,2025-05-23,2024-12-15,Competitor A,Time security thank head age chair recent.,Relate rise fine raise.
76,507,8,9,Deal with Smith LLC,Prospecting,Closed Won,7584,27,2047.68,2023-11-20,2024-10-13,2024-05-30,Competitor B,Head adult particularly despite nothing kid six car.,Project year television could natural.
77,4656,8,5,Deal with Choi Ltd,Qualification,Open,51221,70,35854.7,2024-07-22,2024-09-09,2024-08-24,Competitor B,Develop test white research he tree enter interview.,Until push specific why show focus choice.
78,1196,28,11,Deal with Wilcox-Cunningham,Closed Won,Proposal Sent,249537,31,77356.47,2023-07-09,2024-05-10,2024-03-08,Competitor C,Room away decision anything teach talk line direction before us choice.,Discussion military assume story day out course.
79,3173,11,11,Deal with Cisneros-Garcia,Closed Won,Negotiation,239178,68,162641.04,2024-08-02,2024-09-03,2024-11-18,Competitor A,Top tough must manage hot again ahead suggest.,Traditional open mean professor fear moment.
80,513,4,12,Deal with Delgado PLC,Closed Won,Qualified,85310,16,13649.6,2023-05-21,2023-10-28,2023-08-25,None,Job investment student American arm education suddenly bad company.,Goal hour night often president.
81,4716,3,2,"Deal with Porter, Chavez and Bird",Negotiation,Closed Won,363702,11,40007.22,2023-09-05,2023-11-02,2024-02-28,None,Truth name concern you news.,House daughter bank girl ask officer.
82,4729,41,12,Deal with Archer Inc,Prospecting,Closed Lost,15848,82,12995.359999999999,2024-04-30,2024-08-26,2024-07-11,Competitor A,Number PM condition under may reason worry serious everybody.,These population lay some voice how.
83,2159,38,11,Deal with Walter Group,Negotiation,Proposal Sent,127506,54,68853.24,2023-04-10,2023-10-22,2024-04-09,Competitor B,Voice even fine real would always.,Father own away unit role school sit.
84,3212,45,12,"Deal with Hawkins, Ware and Martinez",Proposal,Open,207461,68,141073.48,2023-02-07,2024-01-16,2024-11-27,Competitor B,Radio industry pull short send.,Window not stand serious whole serve free institution.
85,1965,28,10,Deal with Goodman and Sons,Closed Won,Open,326143,78,254391.54,2024-03-16,2024-08-05,2024-09-29,In-house,Wrong local beautiful floor culture letter good need college.,Air like investment hear recently charge develop fact.
86,2917,44,3,"Deal with Cruz, Jacobson and Keller",Prospecting,Open,396510,63,249801.3,2024-03-02,2024-11-17,2024-06-19,Competitor B,Eat question why himself sister yard concern billion.,Contain surface kid.
87,1715,35,9,"Deal with Williams, Barber and Moore",Proposal,Closed Lost,42396,13,5511.4800000000005,2023-06-09,2024-02-25,2024-07-10,Competitor B,Market truth decide society someone next within enough.,Others spend subject discussion small.
88,445,27,12,Deal with Campos-Abbott,Qualification,Closed Won,171596,71,121833.15999999999,2024-10-19,2025-08-14,2024-11-26,In-house,Mean get party itself indicate game interest already.,Sell again find act western poor service.
89,3970,32,1,Deal with Johnson and Sons,Closed Won,Negotiation,173271,61,105695.31,2023-08-31,2024-05-05,2024-06-03,Competitor B,Its tonight economy present century.,General care new east.
90,1001,32,11,Deal with Porter-Mcdaniel,Negotiation,Proposal Sent,295517,44,130027.48,2024-10-10,2025-03-02,2024-11-22,Competitor C,Until may beyond interest event seek case.,Free source step film.
91,4711,21,12,Deal with Newman PLC,Closed Won,Qualified,179980,61,109787.8,2023-07-17,2023-10-05,2023-09-12,Competitor A,Much special war them write store.,Team what him fight American up.
92,147,39,11,Deal with Reynolds-Roach,Closed Lost,Negotiation,79226,49,38820.74,2024-07-06,2024-09-28,2024-12-18,Competitor B,Step work identify source eye democratic.,Occur military floor entire ready political.
93,1329,38,3,Deal with Sanchez PLC,Qualification,Proposal Sent,339321,62,210379.02,2024-02-23,2024-06-08,2024-11-11,Competitor B,Long color do piece own a.,Understand degree father either.
94,3222,41,3,Deal with Williams and Sons,Prospecting,Closed Lost,485914,53,257534.42,2024-08-17,2025-03-31,2024-09-16,Competitor A,Reflect really worker letter consumer you claim stage production put.,Ask for down expert available likely son candidate.
95,3355,8,4,Deal with Nichols PLC,Prospecting,Proposal Sent,149842,10,14984.2,2023-01-07,2023-11-06,2024-12-12,None,Record can also capital writer under show western.,Environmental series most list rather practice image employee.
96,2269,22,6,Deal with Garcia-Anderson,Prospecting,Closed Lost,139048,17,23638.160000000003,2024-05-15,2025-03-03,2024-11-02,Competitor C,Government commercial single short specific value.,Understand raise design hospital reduce.
97,2893,41,7,"Deal with Mcdowell, Harper and Hall",Proposal,Closed Lost,256772,55,141224.6,2023-08-16,2023-11-25,2024-07-25,None,Least rise surface will wrong idea capital mention what full.,Difficult analysis finally green like.
98,514,34,10,"Deal with Jones, Cruz and Dixon",Proposal,Qualified,13234,74,9793.16,2023-08-04,2024-06-10,2023-12-30,Competitor A,Animal product fact ability inside only pressure suddenly wear six.,Write care west note.
99,4490,12,12,Deal with Jones Inc,Closed Lost,Closed Won,271602,12,32592.239999999998,2023-11-26,2024-03-28,2024-09-17,Competitor C,Choose against major ten all gun least safe.,Organization page art look prove.
100,544,45,9,Deal with Galvan-Smith,Prospecting,Negotiation,435950,17,74111.5,2024-09-23,2025-02-17,2024-10-03,In-house,Mention easy town difference member.,Fill building create mean.
101,3897,43,5,Deal with Peters-Melendez,Closed Won,Qualified,308331,27,83249.37000000001,2023-10-02,2024-05-16,2024-04-23,Competitor A,Team right course wish according its all door face.,Time base personal police computer.
102,4104,19,10,"Deal with White, Peterson and Roberts",Negotiation,Negotiation,278004,48,133441.91999999998,2023-02-21,2023-06-17,2023-08-11,Competitor A,Against east citizen or nearly specific box teach get.,Mind address painting.
103,3022,28,11,Deal with Stanley-Garcia,Proposal,Closed Lost,95510,71,67812.09999999999,2024-01-01,2024-10-10,2024-05-04,None,Small system nice degree huge large perhaps.,Positive data ahead somebody.
104,2174,29,1,Deal with Martinez-Mccullough,Negotiation,Open,50901,47,23923.469999999998,2024-01-12,2024-12-14,2024-08-11,In-house,Either pretty should realize plant.,Glass concern give low.
105,4674,47,10,Deal with Carpenter-Williams,Proposal,Qualified,36311,80,29048.800000000003,2024-10-31,2024-12-10,2024-12-23,Competitor A,Yes evidence throw property change place win.,Process in sea high cup tend soon decision.
106,582,20,5,Deal with Cummings Ltd,Negotiation,Qualified,111412,46,51249.520000000004,2024-10-13,2025-03-22,2024-10-30,Competitor C,After yet party political western heart food American.,Car fear help someone best.
107,2749,22,11,Deal with Gilmore and Sons,Qualification,Closed Won,246369,67,165067.23,2023-12-23,2024-12-15,2024-03-26,None,Current magazine score fill how seat arrive nature so else.,These right want couple.
108,4670,18,3,Deal with Taylor PLC,Closed Won,Closed Won,73079,52,38001.08,2024-02-28,2024-09-19,2024-03-07,In-house,Capital attack on movement break white discussion rise.,Movie leg country property positive Democrat because newspaper.
109,170,48,4,Deal with Tucker-Thompson,Qualification,Open,46018,80,36814.4,2024-06-15,2025-04-01,2024-11-15,Competitor B,Anything worker answer month sister war possible cold car later minute.,Likely tell commercial start son rise various.
110,958,8,11,Deal with Snyder LLC,Qualification,Open,39191,32,12541.12,2024-07-20,2025-01-30,2024-09-21,Competitor C,General writer write bar member scene.,Interest environmental really leave.
111,3147,38,6,"Deal with Robinson, Gilbert and Reid",Negotiation,Qualified,134541,86,115705.26,2023-06-22,2024-01-27,2024-11-13,Competitor A,Special once almost value customer ten heavy beautiful organization teacher individual.,Guy west explain no though.
112,4583,33,9,Deal with Gonzalez-Moss,Negotiation,Closed Lost,174014,81,140951.34,2023-06-19,2023-09-30,2024-07-16,None,Relate around live point baby say tend southern.,Hospital at wear generation dinner fine.
113,6,34,2,Deal with Ramos PLC,Negotiation,Qualified,252399,50,126199.5,2023-02-18,2023-05-02,2023-09-27,Competitor A,Message future investment sell own risk take.,To suddenly affect none treatment middle ready strategy.
114,2957,22,10,Deal with Waters-Edwards,Prospecting,Proposal Sent,75062,65,48790.3,2023-09-10,2024-08-31,2024-10-03,In-house,Similar provide real seven condition role government power others paper.,Middle house mission PM.
115,4905,24,7,Deal with Ramirez-Clark,Qualification,Proposal Sent,263628,67,176630.76,2023-09-14,2024-01-21,2024-12-29,Competitor B,Well wonder my building long list step may.,Computer history the begin.
116,4230,7,8,"Deal with Valentine, Rodriguez and Beasley",Proposal,Qualified,242387,70,169670.9,2024-10-27,2025-01-07,2024-11-25,Competitor A,Sometimes student perform weight institution hear.,Almost hit chair wait blood woman.
117,449,4,12,"Deal with Burke, Martin and Evans",Proposal,Open,307568,38,116875.84,2023-06-23,2023-12-26,2024-07-01,Competitor B,Trouble strong expert cold smile sort do although word wonder.,Author administration decade whatever top.
118,2996,26,1,"Deal with Hernandez, Thompson and Herrera",Prospecting,Closed Lost,40799,69,28151.309999999998,2024-06-28,2025-03-28,2024-10-16,In-house,Notice as hope involve skin church range take democratic.,Nice military television.
119,1221,1,4,"Deal with Henderson, Brown and Kim",Prospecting,Qualified,478755,10,47875.5,2024-07-03,2025-02-20,2024-09-20,None,Send experience vote government different.,Student but believe particularly white goal.
120,1436,42,4,Deal with Lee-Miller,Closed Lost,Negotiation,382503,29,110925.87,2024-08-27,2025-03-14,2024-09-03,In-house,Throughout prove economy truth quickly wind or star.,International maintain attack particular activity significant.
121,1970,26,9,Deal with Johnson PLC,Proposal,Open,88994,16,14239.04,2024-09-08,2025-06-13,2024-12-24,In-house,Itself here lot take white north indicate determine.,Mission heart media understand official.
122,2779,23,8,"Deal with Wright, Gomez and Boyd",Closed Lost,Proposal Sent,324733,25,81183.25,2023-01-26,2023-10-26,2023-05-03,Competitor B,Require ball myself general hand eight key against.,Water right blue perform tough.
123,4230,10,5,Deal with Lee-Ramsey,Prospecting,Closed Won,165489,51,84399.39,2023-03-06,2024-02-09,2023-03-25,Competitor B,Analysis all left important.,Professor four generation special interesting ever up.
124,1180,20,3,Deal with Rivas-Davis,Closed Won,Negotiation,205902,27,55593.54,2023-01-06,2023-09-03,2023-04-09,In-house,Than decade truth whether stuff adult material particular color.,Amount tell hotel world writer left.
125,4298,4,11,Deal with Taylor-Giles,Qualification,Proposal Sent,57728,70,40409.6,2024-10-18,2025-09-01,2024-12-30,None,Remember myself impact owner usually particularly help.,North year career upon season hospital.
126,4866,23,4,Deal with Ramos-Anderson,Proposal,Closed Won,134487,17,22862.79,2024-08-09,2025-06-06,2024-10-15,In-house,Outside positive call goal mother win mission leader.,Attack research age Republican drug usually.
127,1324,24,1,"Deal with Brown, Barton and Ramirez",Closed Won,Qualified,84064,25,21016.0,2023-10-02,2024-07-07,2024-08-15,None,Vote wife type poor usually since.,Hot sign stop since few style base.
128,2034,47,2,Deal with Odonnell-Hawkins,Proposal,Negotiation,436791,79,345064.89,2023-02-27,2024-02-10,2024-08-15,Competitor C,Need office population order worry.,Best majority rather trade everybody guess ready.
129,1701,20,6,"Deal with Galloway, Wright and Miller",Proposal,Closed Lost,390575,89,347611.75,2024-12-09,2025-06-16,2024-12-19,Competitor B,Of pay toward serious stock finally.,Nothing draw act.
130,1272,11,11,"Deal with Sanchez, Pruitt and Meyer",Prospecting,Closed Lost,491535,86,422720.1,2024-06-09,2024-09-21,2024-10-25,None,Training throw ready any nature indicate difference.,So piece summer stuff project center.
131,3762,42,3,Deal with Brown-Blair,Qualification,Qualified,326324,64,208847.36000000002,2023-05-16,2024-01-04,2024-12-19,Competitor C,Fire discuss president able firm.,Particular wait success wrong with city.
132,2314,23,11,Deal with Brown and Sons,Closed Won,Closed Lost,114843,40,45937.200000000004,2024-03-20,2025-02-16,2024-06-18,Competitor B,Street throw history opportunity more adult them PM force particularly prove.,Thank wait respond message run.
133,1778,44,8,Deal with Hess Ltd,Negotiation,Qualified,204280,86,175680.8,2024-08-09,2024-10-14,2024-09-16,In-house,Million safe trip within class wrong.,Brother thousand ask probably.
134,1701,13,10,Deal with Cook-Williams,Prospecting,Negotiation,211015,82,173032.3,2024-04-22,2024-09-14,2024-06-13,Competitor B,Fight rock investment example race opportunity.,Successful set yard list life student.
135,3101,46,5,Deal with Reyes LLC,Proposal,Proposal Sent,152632,49,74789.68,2023-11-06,2024-07-14,2023-11-06,None,Part character determine claim challenge cover check.,Body beat movie soldier pressure.
136,3746,14,1,Deal with Gallegos-Butler,Qualification,Open,160682,42,67486.44,2024-01-24,2024-10-05,2024-12-29,In-house,Including fund ahead size shoulder after thing tonight admit law.,Site but find shake Republican and check.
137,3664,37,4,Deal with Bowers-Washington,Qualification,Closed Won,222525,53,117938.25,2023-12-22,2024-12-19,2024-08-19,In-house,Discuss affect him data than nation family.,Rise image huge.
138,2200,15,7,"Deal with Gay, Allen and Kramer",Closed Won,Qualified,213528,35,74734.79999999999,2023-01-03,2023-03-01,2023-12-12,Competitor A,Series city week quickly market successful much each far.,Bar investment wonder Mr hear run.
139,3928,3,12,"Deal with Miller, Ramos and Jenkins",Proposal,Proposal Sent,405580,26,105450.8,2023-06-15,2023-08-03,2024-04-20,Competitor A,Company carry institution stuff through leg call market up.,School ground claim human.
