journey_id,lead_id,current_stage,stage_progression,total_stages,days_in_stage,touchpoints_count,channels_used,content_consumed,engagement_score,next_expected_action,predicted_conversion_probability,last_stage_change
32,32,Retention,7,7,88,14,2,14,0.35,Email Open,0.37,2024-08-26
33,33,Awareness,1,7,55,13,4,11,0.95,Call,0.73,2024-11-25
34,34,Interest,2,7,75,7,5,0,0.77,Email Open,0.37,2024-09-03
35,35,Evaluation,5,7,55,15,4,1,0.35,Purchase,0.1,2024-03-23
36,36,Interest,2,7,77,2,4,7,0.81,Purchase,0.25,2024-12-05
37,37,Awareness,1,7,56,13,3,1,0.49,Website Visit,0.13,2024-10-09
38,38,Interest,2,7,2,6,5,12,0.16,Email Open,0.75,2024-07-16
39,39,Consideration,3,7,44,3,2,4,0.67,Purchase,0.22,2024-12-24
40,40,Retention,7,7,33,10,3,9,0.84,Website Visit,0.69,2024-05-25
41,41,Consideration,3,7,81,1,5,14,0.66,Purchase,0.65,2024-12-19
42,42,Awareness,1,7,31,5,4,0,0.24,Call,0.67,2023-10-19
43,43,Purchase,6,7,83,7,2,0,0.14,Purchase,0.33,2024-12-18
44,44,Purchase,6,7,53,1,5,9,0.18,Email Open,0.31,2024-07-29
45,45,Evaluation,5,7,57,1,1,1,0.82,Website Visit,0.16,2024-11-08
46,46,Purchase,6,7,50,11,5,17,0.81,Website Visit,0.18,2024-12-19
47,47,Intent,4,7,58,10,2,16,0.83,Website Visit,0.21,2024-08-15
48,48,Evaluation,5,7,86,14,1,14,0.46,Purchase,0.45,2024-03-29
49,49,Consideration,3,7,70,13,2,19,0.24,Form Submit,0.15,2024-10-17
50,50,Purchase,6,7,13,1,5,11,0.64,Call,0.68,2024-12-25
51,51,Intent,4,7,19,1,2,9,0.55,Website Visit,0.34,2024-06-22
52,52,Purchase,6,7,70,7,1,12,0.17,Website Visit,0.21,2024-11-27
53,53,Interest,2,7,48,4,2,20,0.13,Form Submit,0.8,2024-12-16
54,54,Evaluation,5,7,71,1,5,17,0.53,Form Submit,0.81,2024-11-01
55,55,Awareness,1,7,26,13,2,16,0.12,Form Submit,0.57,2024-08-08
56,56,Awareness,1,7,63,2,4,19,0.6,Website Visit,0.74,2024-12-21
57,57,Awareness,1,7,53,6,4,1,0.71,Purchase,0.77,2024-12-27
58,58,Intent,4,7,43,12,4,0,0.58,Call,0.44,2024-10-01
59,59,Intent,4,7,46,10,5,2,0.31,Purchase,0.19,2024-05-07
60,60,Evaluation,5,7,54,10,3,10,0.5,Call,0.38,2024-11-01
61,61,Retention,7,7,21,6,1,17,0.39,Call,0.22,2024-09-13
62,62,Consideration,3,7,53,2,1,2,0.96,Email Open,0.27,2024-05-13
63,63,Intent,4,7,88,15,1,11,0.95,Purchase,0.14,2023-11-10
64,64,Retention,7,7,46,13,1,8,0.17,Email Open,0.16,2024-07-15
65,65,Retention,7,7,6,4,4,18,0.97,Website Visit,0.8,2024-09-06
66,66,Intent,4,7,28,13,1,10,0.49,Form Submit,0.44,2024-12-22
67,67,Retention,7,7,21,3,2,2,0.3,Website Visit,0.61,2024-08-23
68,68,Intent,4,7,8,9,4,6,0.33,Purchase,0.16,2024-12-22
69,69,Retention,7,7,12,12,5,6,0.82,Call,0.28,2024-12-22
70,70,Interest,2,7,23,13,1,4,0.29,Call,0.85,2024-05-21
71,71,Interest,2,7,47,11,2,15,0.57,Form Submit,0.54,2023-12-06
72,72,Interest,2,7,3,11,3,14,0.78,Purchase,0.8,2024-11-13
73,73,Evaluation,5,7,73,5,2,11,0.4,Website Visit,0.29,2024-07-23
74,74,Interest,2,7,75,15,2,1,0.39,Form Submit,0.32,2024-11-15
75,75,Awareness,1,7,48,5,3,4,0.16,Form Submit,0.58,2024-07-17
76,76,Awareness,1,7,46,8,1,2,0.76,Email Open,0.71,2024-11-30
77,77,Interest,2,7,68,9,2,1,0.5,Email Open,0.88,2024-09-19
78,78,Consideration,3,7,18,10,1,0,0.33,Purchase,0.68,2024-12-26
79,79,Purchase,6,7,4,8,5,16,0.22,Call,0.58,2024-09-07
80,80,Retention,7,7,62,15,1,12,0.72,Form Submit,0.42,2024-12-08
81,81,Interest,2,7,42,10,5,1,0.11,Form Submit,0.36,2024-12-23
82,82,Awareness,1,7,15,5,4,12,0.44,Website Visit,0.17,2024-05-26
83,83,Intent,4,7,74,5,1,3,0.51,Purchase,0.49,2024-11-06
84,84,Purchase,6,7,15,14,5,9,0.28,Email Open,0.82,2024-11-07
85,85,Purchase,6,7,86,6,1,2,0.5,Email Open,0.17,2024-05-21
86,86,Consideration,3,7,74,6,5,8,0.78,Email Open,0.65,2024-07-03
87,87,Intent,4,7,12,2,2,19,0.93,Purchase,0.24,2024-11-06
88,88,Retention,7,7,44,15,2,18,0.56,Form Submit,0.21,2024-09-07
89,89,Retention,7,7,29,11,4,14,0.39,Email Open,0.28,2024-05-31
90,90,Retention,7,7,7,4,2,15,0.73,Purchase,0.37,2023-07-06
91,91,Consideration,3,7,73,7,2,12,0.19,Call,0.75,2024-11-03
92,92,Intent,4,7,52,8,4,5,0.91,Form Submit,0.38,2024-12-22
93,93,Interest,2,7,10,7,4,10,0.49,Purchase,0.4,2024-04-16
94,94,Intent,4,7,64,8,3,9,0.37,Email Open,0.58,2024-01-10
95,95,Interest,2,7,78,15,4,13,0.23,Purchase,0.81,2024-12-02
96,96,Awareness,1,7,51,6,3,4,0.96,Website Visit,0.21,2024-05-29
97,97,Evaluation,5,7,2,8,2,20,0.38,Form Submit,0.43,2024-05-04
98,98,Purchase,6,7,9,7,3,2,0.31,Form Submit,0.33,2024-12-28
99,99,Consideration,3,7,58,1,5,3,0.68,Email Open,0.56,2024-07-18
100,100,Retention,7,7,61,15,5,14,0.34,Form Submit,0.25,2024-10-09
101,101,Awareness,1,7,2,6,3,17,0.21,Form Submit,0.13,2024-11-29
102,102,Evaluation,5,7,24,12,2,16,0.74,Form Submit,0.48,2024-10-01
103,103,Retention,7,7,77,5,3,1,0.8,Email Open,0.67,2024-05-25
104,104,Evaluation,5,7,78,3,5,14,0.69,Call,0.44,2024-11-13
105,105,Interest,2,7,51,14,2,5,0.8,Call,0.56,2024-05-08
106,106,Interest,2,7,86,13,1,3,0.86,Call,0.59,2024-08-25
107,107,Consideration,3,7,7,12,2,14,0.78,Purchase,0.63,2024-12-22
108,108,Retention,7,7,19,12,4,2,0.84,Call,0.59,2023-08-15
109,109,Purchase,6,7,40,6,3,1,0.51,Purchase,0.41,2024-12-23
110,110,Purchase,6,7,71,4,1,19,0.14,Call,0.12,2024-07-07
111,111,Retention,7,7,57,10,5,8,0.9,Form Submit,0.27,2024-11-11
112,112,Evaluation,5,7,45,6,2,7,0.84,Email Open,0.83,2024-12-20
113,113,Interest,2,7,17,7,5,19,0.55,Email Open,0.73,2024-12-18
114,114,Interest,2,7,58,5,2,1,0.69,Website Visit,0.77,2024-12-01
115,115,Retention,7,7,12,8,1,2,0.49,Purchase,0.61,2024-08-05
116,116,Retention,7,7,63,14,1,19,0.18,Website Visit,0.16,2024-12-21
117,117,Awareness,1,7,16,4,1,8,0.31,Form Submit,0.61,2024-11-28
118,118,Retention,7,7,52,3,3,15,0.97,Email Open,0.47,2024-01-06
119,119,Evaluation,5,7,88,9,1,14,0.25,Form Submit,0.71,2024-10-27
120,120,Evaluation,5,7,50,4,1,8,0.68,Email Open,0.4,2024-08-13
121,121,Interest,2,7,2,7,4,16,0.76,Purchase,0.85,2023-12-20
122,122,Intent,4,7,65,10,5,0,0.27,Call,0.57,2024-05-31
123,123,Interest,2,7,14,13,1,0,0.97,Email Open,0.51,2024-12-21
124,124,Evaluation,5,7,49,2,2,2,0.87,Website Visit,0.73,2023-08-07
125,125,Awareness,1,7,11,1,3,11,0.6,Form Submit,0.51,2024-08-01
126,126,Evaluation,5,7,58,15,3,0,0.46,Call,0.46,2024-11-20
127,127,Intent,4,7,62,5,3,18,0.27,Email Open,0.23,2024-11-23
128,128,Consideration,3,7,62,3,2,12,0.69,Call,0.33,2024-12-07
129,129,Awareness,1,7,84,5,2,14,0.29,Call,0.73,2024-11-02
130,130,Retention,7,7,2,14,5,3,0.87,Purchase,0.78,2024-12-30
131,131,Interest,2,7,57,7,4,11,0.9,Call,0.73,2024-10-13
132,132,Purchase,6,7,83,8,2,14,0.23,Website Visit,0.22,2024-07-01
133,133,Purchase,6,7,14,2,4,16,0.7,Call,0.82,2024-10-11
134,134,Consideration,3,7,60,3,2,8,0.97,Call,0.68,2024-12-27
135,135,Retention,7,7,7,6,5,9,0.9,Call,0.2,2024-06-14
136,136,Consideration,3,7,9,11,1,5,0.87,Call,0.81,2023-09-16
137,137,Intent,4,7,38,1,5,11,0.73,Website Visit,0.35,2024-12-17
138,138,Interest,2,7,28,13,1,16,0.89,Email Open,0.24,2024-06-07
139,139,Awareness,1,7,73,4,2,20,0.67,Website Visit,0.84,2024-12-29
140,140,Retention,7,7,14,6,4,10,0.74,Purchase,0.71,2024-10-24
141,141,Evaluation,5,7,76,9,5,13,0.25,Website Visit,0.52,2024-11-09
142,142,Interest,2,7,11,10,4,12,0.58,Email Open,0.62,2024-07-28
143,143,Interest,2,7,77,9,3,10,0.18,Purchase,0.65,2024-11-18
144,144,Awareness,1,7,54,12,3,17,0.91,Purchase,0.25,2024-09-26
145,145,Evaluation,5,7,16,1,2,15,0.3,Email Open,0.39,2024-11-24
146,146,Retention,7,7,42,9,4,2,0.46,Form Submit,0.75,2024-12-05
147,147,Consideration,3,7,43,15,4,17,0.57,Call,0.63,2024-10-08
148,148,Purchase,6,7,53,4,2,0,0.54,Email Open,0.32,2024-08-09
149,149,Intent,4,7,63,9,4,0,0.55,Website Visit,0.27,2024-01-08
150,150,Evaluation,5,7,58,12,3,6,0.82,Website Visit,0.75,2024-12-05
151,151,Awareness,1,7,90,7,1,12,0.46,Purchase,0.69,2024-10-26
152,152,Awareness,1,7,80,3,1,17,0.91,Website Visit,0.46,2024-06-26
153,153,Purchase,6,7,50,4,3,7,0.6,Email Open,0.59,2024-07-25
154,154,Awareness,1,7,12,15,3,13,0.35,Purchase,0.22,2024-09-22
155,155,Awareness,1,7,81,10,1,0,0.32,Call,0.87,2024-12-27
156,156,Retention,7,7,56,11,2,2,0.38,Purchase,0.59,2024-11-11
157,157,Interest,2,7,21,3,3,16,0.74,Form Submit,0.29,2024-10-20
158,158,Awareness,1,7,39,10,1,1,0.5,Website Visit,0.47,2024-07-09
159,159,Awareness,1,7,90,8,2,5,0.17,Website Visit,0.7,2024-10-20
160,160,Retention,7,7,60,11,4,18,0.92,Form Submit,0.9,2024-06-17
161,161,Awareness,1,7,43,2,2,16,0.93,Purchase,0.4,2024-12-21
162,162,Interest,2,7,46,2,1,20,0.64,Purchase,0.88,2023-12-29
163,163,Intent,4,7,19,10,1,3,0.47,Call,0.46,2024-05-19
164,164,Intent,4,7,7,2,2,12,0.39,Purchase,0.77,2024-12-19
165,165,Retention,7,7,66,1,4,14,0.55,Form Submit,0.82,2024-08-17
166,166,Evaluation,5,7,84,15,2,6,0.67,Email Open,0.66,2024-05-19
167,167,Evaluation,5,7,84,9,4,12,0.74,Website Visit,0.59,2024-07-18
168,168,Intent,4,7,61,4,3,3,0.35,Purchase,0.65,2024-11-23
169,169,Intent,4,7,48,2,1,3,0.28,Call,0.9,2024-11-19
170,170,Consideration,3,7,39,12,2,9,0.34,Purchase,0.42,2023-11-21
171,171,Evaluation,5,7,77,15,1,7,0.53,Call,0.38,2023-05-29
172,172,Purchase,6,7,17,15,5,20,0.67,Website Visit,0.36,2024-08-28
173,173,Intent,4,7,78,6,2,7,0.92,Email Open,0.5,2024-12-22
174,174,Evaluation,5,7,85,14,1,15,0.22,Purchase,0.82,2024-05-13
175,175,Intent,4,7,24,8,1,7,0.71,Email Open,0.82,2024-08-01
176,176,Awareness,1,7,42,6,1,5,0.12,Email Open,0.27,2024-12-11
177,177,Evaluation,5,7,26,6,2,8,0.45,Website Visit,0.24,2024-04-16
178,178,Awareness,1,7,62,2,2,2,0.18,Form Submit,0.41,2023-11-17
179,179,Consideration,3,7,69,12,5,6,0.14,Website Visit,0.81,2024-10-13
180,180,Awareness,1,7,18,8,3,20,0.27,Purchase,0.49,2023-04-26
181,181,Awareness,1,7,8,14,3,10,0.95,Call,0.25,2024-11-03
182,182,Purchase,6,7,46,12,4,4,0.38,Form Submit,0.6,2024-11-09
183,183,Evaluation,5,7,59,12,4,0,0.99,Call,0.46,2024-11-02
184,184,Interest,2,7,32,10,1,3,0.76,Form Submit,0.37,2024-07-04
185,185,Purchase,6,7,77,7,5,9,0.1,Purchase,0.63,2024-12-25
186,186,Consideration,3,7,34,6,4,12,0.68,Email Open,0.56,2024-10-05
187,187,Interest,2,7,15,1,5,14,0.52,Call,0.32,2024-08-29
188,188,Intent,4,7,61,9,3,4,0.97,Website Visit,0.37,2024-09-07
189,189,Consideration,3,7,17,8,1,3,0.66,Email Open,0.73,2024-12-19
190,190,Evaluation,5,7,14,9,2,0,0.6,Form Submit,0.32,2024-12-12
191,191,Consideration,3,7,14,9,3,6,0.49,Email Open,0.77,2024-07-16
192,192,Retention,7,7,3,3,4,0,0.15,Purchase,0.71,2024-06-01
193,193,Retention,7,7,26,11,3,11,0.88,Call,0.69,2024-01-26
194,194,Retention,7,7,58,5,2,12,0.23,Website Visit,0.3,2024-12-12
195,195,Purchase,6,7,87,5,3,11,0.13,Website Visit,0.28,2024-12-24
196,196,Intent,4,7,70,15,3,19,0.88,Website Visit,0.11,2024-09-25
197,197,Awareness,1,7,80,13,1,0,0.66,Call,0.17,2023-11-24
198,198,Interest,2,7,22,2,4,16,0.54,Purchase,0.88,2024-12-22
199,199,Retention,7,7,63,4,3,14,0.23,Purchase,0.77,2024-08-30
200,200,Interest,2,7,49,14,3,17,0.47,Purchase,0.49,2024-11-20
201,201,Evaluation,5,7,58,2,5,12,0.24,Email Open,0.31,2024-12-02
202,202,Interest,2,7,74,11,3,15,0.4,Website Visit,0.71,2024-08-27
203,203,Purchase,6,7,30,8,5,5,0.79,Website Visit,0.29,2024-05-31
204,204,Consideration,3,7,89,9,4,7,0.36,Website Visit,0.55,2024-07-08
205,205,Purchase,6,7,3,1,4,5,0.96,Purchase,0.13,2024-07-25
206,206,Evaluation,5,7,31,15,3,0,0.14,Form Submit,0.31,2023-11-17
207,207,Intent,4,7,22,8,4,16,0.29,Email Open,0.11,2023-12-10
208,208,Purchase,6,7,90,14,3,10,0.3,Email Open,0.76,2024-10-28
209,209,Evaluation,5,7,9,6,3,11,0.21,Form Submit,0.77,2024-12-10
210,210,Awareness,1,7,77,14,2,15,1.0,Website Visit,0.4,2024-06-25
211,211,Purchase,6,7,64,10,5,14,0.45,Call,0.84,2024-04-02
212,212,Retention,7,7,40,8,2,7,0.51,Form Submit,0.8,2023-12-17
213,213,Purchase,6,7,31,7,4,0,0.97,Website Visit,0.35,2024-06-28
214,214,Interest,2,7,71,1,1,18,0.22,Form Submit,0.16,2024-09-28
215,215,Interest,2,7,83,12,2,20,0.46,Purchase,0.14,2024-09-28
216,216,Evaluation,5,7,30,12,2,18,0.32,Purchase,0.27,2024-11-20
217,217,Intent,4,7,19,5,4,14,0.93,Email Open,0.33,2024-04-27
218,218,Retention,7,7,28,10,3,13,0.38,Form Submit,0.82,2024-11-06
219,219,Awareness,1,7,18,11,1,14,0.32,Email Open,0.51,2024-11-15
220,220,Awareness,1,7,78,8,3,5,0.6,Call,0.43,2024-12-27
221,221,Consideration,3,7,50,10,2,3,0.35,Website Visit,0.55,2024-12-26
222,222,Evaluation,5,7,3,13,4,4,0.75,Form Submit,0.41,2024-04-27
223,223,Awareness,1,7,5,7,3,20,0.98,Form Submit,0.16,2024-12-02
224,224,Consideration,3,7,88,9,4,14,0.28,Call,0.18,2024-05-06
225,225,Awareness,1,7,59,1,5,16,0.39,Form Submit,0.17,2024-08-31
226,226,Consideration,3,7,17,9,4,5,0.29,Email Open,0.21,2024-06-24
227,227,Interest,2,7,42,11,4,0,0.73,Email Open,0.63,2024-08-15
228,228,Awareness,1,7,65,8,2,1,0.62,Form Submit,0.39,2024-08-01
229,229,Evaluation,5,7,68,15,2,17,0.14,Email Open,0.59,2024-12-22
230,230,Intent,4,7,59,10,4,1,0.42,Website Visit,0.6,2024-12-18
231,231,Intent,4,7,37,2,2,2,0.5,Email Open,0.78,2024-03-17
232,232,Intent,4,7,7,11,5,9,0.9,Purchase,0.38,2024-09-18
233,233,Awareness,1,7,53,14,2,15,0.67,Purchase,0.69,2024-05-25
234,234,Intent,4,7,14,8,1,17,0.6,Call,0.61,2024-10-10
235,235,Retention,7,7,47,5,4,4,0.87,Call,0.76,2024-07-20
236,236,Intent,4,7,82,5,2,1,0.92,Website Visit,0.65,2024-09-23
237,237,Retention,7,7,16,13,2,1,0.14,Call,0.24,2024-11-11
238,238,Retention,7,7,75,7,3,6,0.43,Purchase,0.5,2024-09-08
239,239,Interest,2,7,3,12,1,20,0.64,Form Submit,0.73,2024-11-21
240,240,Retention,7,7,1,14,5,17,0.21,Email Open,0.21,2024-03-30
241,241,Retention,7,7,40,6,4,1,0.97,Email Open,0.86,2024-11-02
242,242,Evaluation,5,7,48,4,2,15,0.76,Purchase,0.14,2024-09-13
243,243,Awareness,1,7,24,9,4,4,0.79,Call,0.13,2024-08-19
244,244,Awareness,1,7,32,14,4,4,0.36,Website Visit,0.21,2024-09-10
245,245,Evaluation,5,7,41,8,4,13,0.41,Form Submit,0.82,2024-05-05
246,246,Awareness,1,7,78,1,3,9,0.17,Purchase,0.26,2024-11-16
247,247,Awareness,1,7,82,1,3,20,0.88,Email Open,0.35,2024-11-04
248,248,Retention,7,7,63,1,5,17,0.9,Form Submit,0.73,2024-10-25
249,249,Evaluation,5,7,42,15,2,18,0.44,Website Visit,0.53,2024-03-11
250,250,Consideration,3,7,80,5,3,15,0.64,Form Submit,0.13,2024-08-22
251,251,Consideration,3,7,75,9,2,6,0.13,Purchase,0.52,2024-11-19
252,252,Evaluation,5,7,84,11,1,11,0.85,Website Visit,0.55,2024-10-13
253,253,Intent,4,7,48,5,2,6,0.53,Call,0.69,2024-12-26
254,254,Retention,7,7,68,8,4,12,0.14,Form Submit,0.33,2024-06-03
255,255,Retention,7,7,82,6,5,19,0.79,Email Open,0.88,2024-04-06
256,256,Interest,2,7,8,5,4,13,0.57,Call,0.5,2024-09-11
257,257,Retention,7,7,14,15,1,13,0.45,Call,0.86,2024-06-28
258,258,Evaluation,5,7,77,2,4,20,0.18,Call,0.86,2024-08-21
259,259,Evaluation,5,7,44,6,4,14,0.49,Website Visit,0.86,2024-10-02
260,260,Purchase,6,7,17,9,2,8,0.55,Email Open,0.64,2024-12-27
261,261,Intent,4,7,69,12,1,13,0.13,Website Visit,0.12,2024-11-29
262,262,Intent,4,7,56,12,2,12,0.25,Form Submit,0.64,2024-12-24
263,263,Awareness,1,7,32,10,2,7,0.84,Purchase,0.33,2024-10-27
264,264,Purchase,6,7,58,2,2,14,0.98,Website Visit,0.52,2024-08-31
265,265,Interest,2,7,50,13,3,18,0.89,Purchase,0.8,2024-11-30
266,266,Intent,4,7,70,10,2,13,0.44,Form Submit,0.77,2024-04-20
267,267,Evaluation,5,7,38,9,5,16,0.7,Call,0.56,2024-10-03
268,268,Interest,2,7,34,14,5,16,0.74,Purchase,0.18,2024-06-18
269,269,Awareness,1,7,19,2,2,17,0.34,Call,0.78,2024-01-18
270,270,Evaluation,5,7,78,4,2,8,0.67,Form Submit,0.64,2024-11-06
271,271,Interest,2,7,7,12,5,9,0.69,Email Open,0.36,2023-10-20
272,272,Interest,2,7,9,13,3,15,0.49,Form Submit,0.3,2023-04-23
273,273,Intent,4,7,48,7,4,5,0.91,Purchase,0.41,2024-12-30
274,274,Consideration,3,7,45,12,5,4,0.27,Call,0.62,2023-11-18
275,275,Evaluation,5,7,18,12,3,14,0.74,Form Submit,0.39,2023-08-02
276,276,Purchase,6,7,64,8,3,12,0.96,Form Submit,0.7,2024-11-04
277,277,Consideration,3,7,79,4,4,9,0.32,Website Visit,0.67,2024-05-17
278,278,Intent,4,7,2,12,1,6,0.96,Call,0.76,2024-03-04
279,279,Purchase,6,7,88,7,3,20,0.89,Website Visit,0.65,2024-12-27
280,280,Awareness,1,7,77,6,3,0,0.86,Call,0.83,2024-12-14
281,281,Interest,2,7,60,13,2,9,0.1,Form Submit,0.66,2024-09-01
282,282,Purchase,6,7,63,8,5,9,0.76,Form Submit,0.21,2024-10-18
283,283,Awareness,1,7,69,14,5,7,0.24,Call,0.62,2024-08-01
284,284,Awareness,1,7,4,1,5,6,0.96,Email Open,0.8,2024-10-04
285,285,Retention,7,7,72,15,1,17,0.75,Call,0.3,2024-11-08
286,286,Intent,4,7,71,9,4,5,0.61,Call,0.13,2024-10-31
287,287,Awareness,1,7,79,8,4,16,0.45,Purchase,0.2,2024-03-18
288,288,Interest,2,7,85,15,4,11,0.29,Purchase,0.57,2024-11-15
289,289,Awareness,1,7,46,6,5,12,0.77,Email Open,0.7,2024-12-24
290,290,Awareness,1,7,86,1,3,10,0.37,Website Visit,0.66,2024-12-08
291,291,Evaluation,5,7,24,15,3,4,0.58,Form Submit,0.31,2023-09-20
292,292,Awareness,1,7,66,2,3,13,0.21,Website Visit,0.71,2023-07-28
293,293,Awareness,1,7,84,5,1,1,0.8,Purchase,0.27,2024-08-24
294,294,Consideration,3,7,62,14,3,3,0.87,Call,0.62,2024-10-06
295,295,Evaluation,5,7,8,13,1,1,0.84,Website Visit,0.47,2024-05-16
296,296,Evaluation,5,7,71,11,4,17,0.18,Purchase,0.42,2024-11-18
297,297,Intent,4,7,43,6,2,15,0.97,Purchase,0.82,2024-11-28
298,298,Awareness,1,7,20,11,4,0,0.56,Website Visit,0.39,2024-02-10
299,299,Evaluation,5,7,84,11,4,16,0.72,Email Open,0.61,2024-11-28
300,300,Intent,4,7,11,11,5,0,0.3,Email Open,0.62,2024-04-08
301,301,Retention,7,7,41,12,3,8,0.95,Website Visit,0.66,2024-09-12
302,302,Purchase,6,7,28,12,1,13,0.74,Call,0.56,2024-12-28
303,303,Awareness,1,7,79,11,2,15,0.99,Call,0.57,2024-08-11
304,304,Interest,2,7,42,2,4,0,0.87,Email Open,0.61,2024-12-30
305,305,Intent,4,7,67,12,4,14,0.33,Purchase,0.54,2024-11-12
306,306,Retention,7,7,71,2,2,0,0.33,Email Open,0.1,2024-05-05
307,307,Awareness,1,7,55,2,3,19,0.82,Website Visit,0.33,2024-06-18
308,308,Intent,4,7,63,1,2,0,0.5,Email Open,0.86,2024-08-13
309,309,Consideration,3,7,7,10,3,20,0.83,Form Submit,0.22,2024-09-03
310,310,Interest,2,7,56,3,2,17,0.89,Website Visit,0.45,2024-12-18
311,311,Evaluation,5,7,81,13,3,0,0.96,Email Open,0.62,2024-09-28
312,312,Interest,2,7,44,11,4,13,0.87,Form Submit,0.55,2024-09-26
313,313,Purchase,6,7,38,8,4,15,0.29,Call,0.88,2023-11-09
314,314,Awareness,1,7,32,8,4,13,0.33,Form Submit,0.58,2024-09-15
315,315,Intent,4,7,5,6,3,18,0.35,Purchase,0.38,2024-12-16
316,316,Awareness,1,7,35,11,5,7,0.4,Website Visit,0.37,2024-12-21
317,317,Interest,2,7,9,15,4,11,0.4,Form Submit,0.16,2024-12-05
318,318,Intent,4,7,79,12,1,7,0.17,Call,0.17,2024-12-10
319,319,Intent,4,7,58,12,1,9,0.81,Call,0.29,2024-12-04
320,320,Consideration,3,7,25,10,2,2,0.79,Website Visit,0.36,2024-05-21
321,321,Consideration,3,7,1,1,3,16,0.56,Form Submit,0.44,2024-12-08
322,322,Interest,2,7,66,7,5,5,0.66,Call,0.5,2024-12-10
323,323,Consideration,3,7,32,14,3,4,0.12,Email Open,0.25,2024-09-22
324,324,Intent,4,7,54,2,5,16,0.87,Website Visit,0.13,2024-09-09
325,325,Evaluation,5,7,38,15,3,18,0.24,Call,0.87,2024-10-19
326,326,Retention,7,7,78,5,4,14,0.46,Email Open,0.7,2024-10-20
327,327,Awareness,1,7,50,11,2,18,0.43,Email Open,0.36,2024-08-01
328,328,Intent,4,7,85,1,5,10,0.93,Call,0.32,2024-08-05
329,329,Intent,4,7,84,6,2,10,0.41,Form Submit,0.33,2024-03-29
330,330,Awareness,1,7,83,15,5,8,0.84,Purchase,0.11,2023-12-30
331,331,Evaluation,5,7,25,3,3,6,0.9,Purchase,0.71,2024-11-28
332,332,Retention,7,7,22,13,1,13,0.31,Email Open,0.67,2024-03-16
333,333,Intent,4,7,4,4,3,20,0.3,Form Submit,0.44,2024-06-28
334,334,Purchase,6,7,4,3,2,17,0.62,Website Visit,0.81,2024-10-07
335,335,Consideration,3,7,44,10,5,20,0.77,Form Submit,0.45,2024-08-11
336,336,Awareness,1,7,60,8,5,18,0.48,Email Open,0.87,2024-09-29
337,337,Retention,7,7,44,13,1,2,0.98,Purchase,0.36,2024-10-20
338,338,Purchase,6,7,23,9,2,17,0.65,Form Submit,0.85,2024-12-05
339,339,Evaluation,5,7,41,12,5,15,0.39,Purchase,0.4,2024-06-27
