metric_id,channel_id,month,impressions,clicks,leads_generated,conversions,revenue,cost,roi,ctr,conversion_rate,cost_per_lead,cost_per_conversion,avg_order_value
6_2024-12,6,2024-12,852112,6109,1116,469,88371,14458,6.83,0.0879,0.1576,42.48,886.47,1020.24
6_2024-12,6,2024-12,745346,21312,350,277,25639,8733,0.8,0.0466,0.141,15.42,529.62,1711.61
6_2024-11,6,2024-11,308157,2129,1293,426,15256,22281,0.64,0.0325,0.0687,177.65,374.87,1838.36
6_2024-10,6,2024-10,83040,12993,702,332,50179,37182,5.78,0.0314,0.0261,29.38,880.7,1859.4
6_2024-09,6,2024-09,676674,9104,898,414,42562,49957,6.12,0.1355,0.0741,89.94,716.67,1509.81
6_2024-08,6,2024-08,844143,1144,651,73,30422,25813,3.9,0.0384,0.2411,47.78,541.26,1356.82
6_2024-07,6,2024-07,291076,11108,164,48,39080,43650,1.26,0.0756,0.0506,77.28,961.14,1935.49
6_2024-06,6,2024-06,180405,46312,1209,301,65866,36677,3.07,0.0116,0.0674,175.55,217.64,1785.41
6_2024-05,6,2024-05,846026,8946,40,407,17510,41913,2.29,0.0989,0.0473,194.56,530.46,1896.76
6_2024-04,6,2024-04,691340,15778,366,373,64872,32250,7.44,0.0858,0.0913,81.55,938.42,803.88
6_2024-03,6,2024-03,950501,35023,1221,101,74680,792,1.11,0.1435,0.0998,124.87,951.91,174.36
6_2024-02,6,2024-02,152613,11841,1011,235,36828,38916,7.08,0.106,0.0784,196.75,86.89,1572.07
7_2024-12,7,2024-12,26974,15084,423,468,14265,34781,0.57,0.0575,0.1687,45.49,229.3,664.13
7_2024-12,7,2024-12,765081,10465,387,1,19708,10190,6.53,0.041,0.2354,120.71,189.62,1470.79
7_2024-11,7,2024-11,481834,45790,1336,185,26444,38468,7.66,0.1302,0.0461,189.2,876.47,1177.9
7_2024-10,7,2024-10,841432,14082,1654,279,91800,45473,4.47,0.0312,0.0415,148.75,309.09,544.31
7_2024-09,7,2024-09,92110,14342,1477,97,75058,47380,3.84,0.1365,0.2063,89.06,769.49,759.16
7_2024-08,7,2024-08,37367,9327,1453,32,70676,43997,0.85,0.0843,0.0517,150.33,529.79,245.53
7_2024-07,7,2024-07,115483,32222,1579,131,71273,23029,6.87,0.1051,0.1506,44.79,757.98,191.65
7_2024-06,7,2024-06,469651,42617,123,173,53662,969,0.52,0.0473,0.2033,126.53,946.31,1797.65
7_2024-05,7,2024-05,294793,6810,179,272,78942,37171,5.66,0.04,0.0226,195.67,558.64,675.28
7_2024-04,7,2024-04,807537,48642,116,109,81718,4884,1.57,0.0871,0.097,99.26,840.01,669.91
7_2024-03,7,2024-03,945930,24604,1554,472,63595,30741,4.82,0.1186,0.0254,154.24,197.9,693.55
7_2024-02,7,2024-02,165983,19171,361,14,79849,25250,4.71,0.1441,0.0391,197.21,257.69,1979.37
8_2024-12,8,2024-12,432805,633,1036,494,80120,36523,6.43,0.1487,0.0833,162.87,422.81,1580.87
8_2024-12,8,2024-12,183626,45776,1725,8,7385,21807,3.31,0.1316,0.1003,135.65,884.53,746.0
8_2024-11,8,2024-11,687268,513,731,4,52965,39683,6.18,0.144,0.1789,196.5,383.66,1818.33
8_2024-10,8,2024-10,12925,9356,1092,125,6335,9102,3.82,0.0344,0.0739,178.75,176.49,1880.85
8_2024-09,8,2024-09,712839,43833,66,459,11012,36360,1.77,0.1114,0.2253,21.02,337.79,147.95
8_2024-08,8,2024-08,280338,22703,1290,425,63792,43097,2.66,0.0689,0.0184,97.13,510.58,1325.8
8_2024-07,8,2024-07,674827,4492,1626,92,98040,7368,5.84,0.1411,0.0798,197.93,478.41,565.43
8_2024-06,8,2024-06,536769,29643,481,193,38599,11420,3.24,0.0206,0.1971,103.62,663.76,726.38
8_2024-05,8,2024-05,839578,8836,962,225,79409,12495,1.19,0.1253,0.0715,17.98,325.78,1503.25
8_2024-04,8,2024-04,515392,25363,349,157,67185,22524,7.29,0.1313,0.2423,144.6,265.07,1474.92
8_2024-03,8,2024-03,327643,5040,1503,433,15320,17981,7.53,0.1078,0.2004,127.68,661.98,1031.28
8_2024-02,8,2024-02,721064,11068,14,299,18869,39644,5.5,0.1471,0.065,107.89,147.01,1224.69
9_2024-12,9,2024-12,787961,21972,1463,300,5186,20589,5.66,0.1374,0.0892,65.65,706.56,1443.78
9_2024-12,9,2024-12,638424,17902,413,41,63916,11693,5.4,0.0183,0.1237,33.3,726.57,1115.43
9_2024-11,9,2024-11,77436,31893,1315,466,53037,41579,6.97,0.1179,0.1623,198.08,377.27,1902.33
9_2024-10,9,2024-10,886926,30705,1391,424,16476,4420,2.07,0.0643,0.1972,71.53,907.24,1429.3
9_2024-09,9,2024-09,908610,9269,996,181,1093,19991,5.89,0.0571,0.1743,199.12,691.47,1278.05
9_2024-08,9,2024-08,817208,24517,519,220,54351,48795,1.65,0.1339,0.2266,147.43,443.74,1434.64
9_2024-07,9,2024-07,119430,40380,96,397,58296,40007,5.16,0.1428,0.2027,190.69,154.39,1542.3
9_2024-06,9,2024-06,420067,33060,76,168,43208,14985,6.69,0.0117,0.0721,20.16,94.44,504.7
9_2024-05,9,2024-05,330753,34887,946,427,71829,29679,2.26,0.0903,0.0276,92.0,896.87,1146.62
9_2024-04,9,2024-04,793962,45461,213,361,85590,37964,6.76,0.0274,0.1358,130.58,168.5,454.88
9_2024-03,9,2024-03,56502,21211,979,168,98212,4323,3.85,0.0482,0.2059,119.65,727.78,860.17
9_2024-02,9,2024-02,436247,21178,1687,46,76422,10560,1.85,0.0471,0.2257,169.93,491.48,291.35
10_2024-12,10,2024-12,769049,812,554,103,9886,16941,2.44,0.1236,0.1,63.41,540.66,1272.98
10_2024-12,10,2024-12,683193,5471,1957,300,32216,32944,2.05,0.0775,0.017,131.57,949.51,1235.93
10_2024-11,10,2024-11,345873,48420,157,473,14340,38735,5.65,0.1324,0.2445,96.2,398.63,546.26
10_2024-10,10,2024-10,250350,38070,1266,307,76326,22656,3.77,0.1313,0.0752,101.0,272.37,1256.11
10_2024-09,10,2024-09,931122,4020,1708,467,71447,47144,0.68,0.0192,0.087,52.94,386.49,1773.7
10_2024-08,10,2024-08,373041,25508,1458,305,79709,38165,5.48,0.0992,0.1985,157.21,576.51,128.35
10_2024-07,10,2024-07,69793,39221,961,341,87376,32629,2.07,0.0945,0.113,108.23,975.96,294.68
10_2024-06,10,2024-06,296050,20892,1777,112,76279,41483,4.53,0.0191,0.1653,180.44,894.57,1921.5
10_2024-05,10,2024-05,654044,4228,753,267,71349,45048,2.11,0.0323,0.1999,140.7,80.52,1820.35
10_2024-04,10,2024-04,586104,40672,626,472,7754,9333,2.37,0.1014,0.1337,126.11,595.74,1800.56
10_2024-03,10,2024-03,687248,1513,42,431,23793,39723,6.95,0.0865,0.046,26.04,671.86,444.98
10_2024-02,10,2024-02,502444,20023,514,258,13373,1469,6.0,0.0538,0.1548,121.03,846.73,1134.91
