conversion_id,lead_id,campaign_id,conversion_type,conversion_date,conversion_value,revenue,customer_lifetime_value,conversion_path,attribution_model,touchpoints_count,days_to_conversion
118,457,30,Opportunity,2024-09-16,3084,17272,48574,Influencer -> Lead -> Upsell,Time Decay,1,253
119,465,39,Customer,2024-02-17,1628,32015,20669,Content Marketing -> Lead -> SQL,Time Decay,2,71
120,469,26,Lead,2024-09-11,6340,9163,86326,SEO -> Lead -> SQL,Position Based,1,160
121,472,2,Opportunity,2024-04-21,6515,8578,87530,Direct Mail -> Lead -> SQL,First Touch,1,106
122,473,38,Upsell,2024-05-27,2593,16394,47845,Direct Mail -> Lead -> MQL,Time Decay,8,198
123,487,35,MQL,2024-11-12,9694,32150,84523,Events -> Lead -> Upsell,Linear,4,235
124,490,38,Upsell,2024-07-07,4996,2810,65101,Direct Mail -> Lead -> Customer,Last Touch,10,277
125,491,4,MQL,2024-10-06,310,27558,4790,Email -> Lead -> Lead,Position Based,10,149
126,493,34,Lead,2024-03-25,7831,38674,50337,Events -> Lead -> Customer,Last Touch,7,344
127,494,49,Upsell,2024-12-19,3490,22781,13192,Display -> Lead -> Upsell,Position Based,10,167
128,499,23,Lead,2024-12-17,1178,41615,29314,Webinars -> Lead -> MQL,Time Decay,2,157
129,500,2,Upsell,2024-09-19,796,16803,14243,Direct Mail -> Lead -> Upsell,Linear,4,242
130,506,45,Lead,2024-03-16,6080,26726,34931,Direct Mail -> Lead -> Upsell,First Touch,10,347
131,507,29,MQL,2023-10-27,8772,40348,46078,Influencer -> Lead -> Opportunity,Linear,7,361
132,514,1,Lead,2024-05-03,2018,4578,51768,Display -> Lead -> Opportunity,Position Based,2,169
133,516,3,Customer,2024-11-09,8746,49066,77277,Influencer -> Lead -> Lead,Last Touch,3,27
134,519,10,Upsell,2024-03-11,466,2507,64278,Social Media -> Lead -> Customer,Linear,3,260
135,523,14,Opportunity,2023-12-31,1041,49421,88839,Social Media -> Lead -> Lead,Last Touch,5,66
136,524,32,Upsell,2024-03-18,926,37029,71605,Influencer -> Lead -> Customer,Time Decay,8,98
137,525,4,MQL,2024-11-04,8379,10975,95340,Email -> Lead -> SQL,Time Decay,5,185
138,527,35,Upsell,2024-12-08,3175,43234,19758,Events -> Lead -> MQL,Position Based,3,318
139,531,47,Opportunity,2023-08-25,3968,38475,8398,Influencer -> Lead -> Lead,First Touch,5,282
140,534,40,Lead,2024-09-19,5912,22117,1315,Email -> Lead -> Lead,First Touch,6,178
141,535,42,Customer,2024-11-24,1361,14658,8208,Direct Mail -> Lead -> MQL,Position Based,9,193
142,536,13,MQL,2024-04-06,6958,46925,43241,SEO -> Lead -> MQL,First Touch,4,99
143,541,49,Opportunity,2024-12-28,374,31206,49335,Display -> Lead -> MQL,Time Decay,7,50
144,542,30,MQL,2024-12-02,7296,46584,69969,Influencer -> Lead -> Customer,Last Touch,1,266
145,545,50,Upsell,2024-10-18,8752,26623,82594,Influencer -> Lead -> Customer,First Touch,1,142
146,547,17,MQL,2023-11-26,4888,11662,36251,Events -> Lead -> MQL,Time Decay,9,53
147,553,16,SQL,2024-09-05,6935,48800,85621,Paid Search -> Lead -> Customer,Last Touch,6,320
148,558,9,Customer,2024-04-12,2440,30318,1394,Webinars -> Lead -> SQL,Linear,8,97
149,562,27,Upsell,2024-01-17,5082,7620,46750,SEO -> Lead -> Customer,Time Decay,7,91
150,563,31,Lead,2024-04-25,7405,17019,38415,Paid Search -> Lead -> Upsell,Time Decay,7,143
151,566,42,SQL,2024-12-29,1293,15361,42519,Direct Mail -> Lead -> SQL,Last Touch,7,31
152,571,2,MQL,2024-06-05,9889,7771,53765,Direct Mail -> Lead -> Upsell,Position Based,4,151
153,574,49,SQL,2024-12-26,7045,42379,78749,Display -> Lead -> Opportunity,Position Based,1,150
154,575,39,Upsell,2023-12-11,9030,40734,11607,Content Marketing -> Lead -> MQL,Linear,1,205
155,578,25,Upsell,2024-10-02,4738,7810,44403,Direct Mail -> Lead -> Opportunity,First Touch,8,289
156,581,47,Opportunity,2024-11-15,5687,41770,45182,Influencer -> Lead -> SQL,First Touch,7,216
157,589,32,Opportunity,2023-03-14,7844,12413,38991,Influencer -> Lead -> Upsell,Position Based,7,45
158,593,42,Upsell,2024-11-30,6830,2939,2546,Direct Mail -> Lead -> SQL,First Touch,6,201
159,598,30,Customer,2024-11-30,6836,43244,36179,Influencer -> Lead -> Lead,Position Based,3,161
160,602,3,SQL,2023-12-02,9804,4509,84068,Influencer -> Lead -> Customer,Last Touch,1,294
161,603,32,Lead,2024-11-25,6042,9406,85291,Influencer -> Lead -> Upsell,Position Based,3,10
162,606,42,Customer,2024-02-29,400,6707,7439,Direct Mail -> Lead -> Opportunity,Last Touch,3,166
163,610,10,MQL,2023-04-12,9172,13828,28917,Social Media -> Lead -> Opportunity,Time Decay,7,153
164,613,43,MQL,2024-09-21,9653,10057,75510,Social Media -> Lead -> Upsell,Last Touch,5,336
165,615,7,Opportunity,2024-11-22,2215,31226,6578,Influencer -> Lead -> MQL,Last Touch,2,314
166,620,12,Lead,2024-07-18,2869,33723,62661,Events -> Lead -> SQL,Linear,8,309
167,623,48,Upsell,2024-08-21,3461,1250,26530,Social Media -> Lead -> Customer,Last Touch,5,288
168,625,44,Opportunity,2024-05-10,2674,14040,2340,Influencer -> Lead -> Lead,Time Decay,4,23
169,626,27,Customer,2024-09-13,7965,19477,26555,SEO -> Lead -> Customer,Time Decay,9,34
170,634,44,MQL,2024-06-30,4788,38689,36286,Influencer -> Lead -> Lead,Time Decay,1,186
171,642,50,Lead,2024-12-25,9075,37078,62755,Influencer -> Lead -> Opportunity,Linear,1,284
172,644,33,MQL,2024-10-20,6293,23437,19773,Display -> Lead -> Lead,Position Based,1,118
173,649,21,Opportunity,2024-04-27,2485,21255,93304,Influencer -> Lead -> Upsell,First Touch,7,78
174,660,17,Upsell,2024-09-19,2988,45240,19220,Events -> Lead -> Upsell,Last Touch,10,321
175,663,2,Customer,2024-12-29,7440,9648,91489,Direct Mail -> Lead -> Upsell,Position Based,8,245
176,666,47,Lead,2023-07-25,1025,35237,45331,Influencer -> Lead -> Opportunity,Position Based,5,78
177,669,34,Opportunity,2024-02-22,2247,37325,2354,Events -> Lead -> MQL,Linear,2,119
178,671,6,Customer,2024-08-31,9470,25519,7365,SEO -> Lead -> SQL,First Touch,3,197
179,675,50,Upsell,2024-09-25,5539,17257,71856,Influencer -> Lead -> Opportunity,First Touch,10,333
180,681,39,Opportunity,2023-12-22,7097,1726,62265,Content Marketing -> Lead -> SQL,Last Touch,8,97
181,682,13,Customer,2024-09-13,6330,23450,15173,SEO -> Lead -> Opportunity,First Touch,9,60
182,688,3,Opportunity,2024-10-28,5212,12236,23701,Influencer -> Lead -> Opportunity,First Touch,7,253
183,690,31,Lead,2024-03-15,8447,9900,98800,Paid Search -> Lead -> Lead,First Touch,9,171
184,702,47,Upsell,2024-12-04,2779,31278,18471,Influencer -> Lead -> SQL,Linear,5,140
185,703,19,Opportunity,2024-03-17,1415,24181,46388,Influencer -> Lead -> SQL,Linear,5,330
186,706,36,MQL,2024-12-11,4345,37875,50366,Direct Mail -> Lead -> Upsell,First Touch,4,56
187,714,23,Opportunity,2024-12-17,6289,17562,50027,Webinars -> Lead -> MQL,First Touch,5,150
188,716,42,SQL,2024-09-15,2260,2275,55221,Direct Mail -> Lead -> Lead,Time Decay,2,208
189,717,40,Opportunity,2024-10-10,3324,46052,93920,Email -> Lead -> SQL,Position Based,6,291
190,719,41,MQL,2024-11-30,3556,41584,38473,Events -> Lead -> Customer,Linear,2,79
191,725,41,MQL,2024-08-16,161,3598,76494,Events -> Lead -> SQL,Position Based,2,157
192,736,3,Opportunity,2023-06-28,472,34203,71546,Influencer -> Lead -> Customer,Last Touch,1,28
193,737,24,Customer,2024-05-31,6601,38862,29678,SEO -> Lead -> Opportunity,Linear,1,110
194,738,2,MQL,2024-12-04,8039,31916,3279,Direct Mail -> Lead -> Upsell,Linear,6,150
195,749,47,Opportunity,2024-10-08,7118,4888,14826,Influencer -> Lead -> MQL,First Touch,6,136
196,750,47,SQL,2024-02-07,4521,27542,21740,Influencer -> Lead -> Customer,Last Touch,4,331
197,760,30,MQL,2024-12-04,5609,37915,27408,Influencer -> Lead -> Opportunity,Last Touch,9,328
198,772,23,Opportunity,2024-12-18,5562,27637,48215,Webinars -> Lead -> Opportunity,First Touch,8,151
199,773,31,MQL,2024-05-05,6004,46278,24070,Paid Search -> Lead -> MQL,Last Touch,2,28
200,781,29,Lead,2024-09-07,7350,24698,19516,Influencer -> Lead -> Opportunity,Time Decay,5,276
201,782,15,Customer,2023-09-07,1547,11476,92201,Paid Search -> Lead -> Opportunity,Last Touch,7,324
202,785,18,Customer,2024-11-21,7960,12960,15456,Webinars -> Lead -> SQL,Position Based,5,243
203,788,44,Upsell,2024-08-13,1527,41073,86398,Influencer -> Lead -> SQL,Time Decay,6,308
204,791,45,Upsell,2024-05-27,7109,48724,74470,Direct Mail -> Lead -> Lead,Time Decay,6,230
205,792,26,Upsell,2023-06-14,3158,23139,8287,SEO -> Lead -> Opportunity,Position Based,10,253
206,796,28,Customer,2024-12-27,9473,40841,93466,Display -> Lead -> Upsell,Last Touch,6,187
207,804,45,SQL,2024-09-13,421,8127,68206,Direct Mail -> Lead -> Lead,Time Decay,9,199
208,809,47,Opportunity,2023-09-10,1421,30124,91934,Influencer -> Lead -> SQL,Linear,9,86
209,814,28,Customer,2024-12-19,5102,16550,43114,Display -> Lead -> Upsell,Last Touch,9,164
210,815,19,Lead,2024-06-30,4047,30080,94156,Influencer -> Lead -> Customer,Linear,5,54
211,818,18,Customer,2024-11-16,2064,35479,83289,Webinars -> Lead -> Customer,Position Based,5,274
212,826,28,Upsell,2024-12-28,5930,48015,24486,Display -> Lead -> Upsell,Time Decay,9,78
213,837,40,Lead,2023-08-11,9542,30048,5992,Email -> Lead -> Opportunity,Time Decay,8,116
214,846,5,Lead,2024-08-24,5987,32394,85241,Influencer -> Lead -> Customer,Last Touch,6,242
215,851,43,MQL,2024-12-17,2773,27507,1026,Social Media -> Lead -> Customer,Position Based,9,251
216,858,13,Customer,2024-10-24,4006,34412,81361,SEO -> Lead -> Opportunity,Linear,4,155
217,859,4,SQL,2024-10-07,8790,22515,27805,Email -> Lead -> Opportunity,Time Decay,1,294
218,862,29,SQL,2024-11-20,2386,25896,80187,Influencer -> Lead -> MQL,Last Touch,7,92
219,867,50,MQL,2024-12-02,7980,34419,97117,Influencer -> Lead -> Opportunity,First Touch,4,193
220,869,8,Upsell,2024-12-29,5586,48575,91284,Influencer -> Lead -> SQL,Last Touch,5,103
221,870,47,Upsell,2023-08-26,2153,15959,89726,Influencer -> Lead -> Lead,Time Decay,6,139
222,871,29,Upsell,2024-02-06,5498,7126,64881,Influencer -> Lead -> Customer,Time Decay,2,136
223,888,6,Customer,2024-10-19,3889,12169,19957,SEO -> Lead -> Lead,Last Touch,4,102
224,890,12,SQL,2024-11-10,8396,9955,15347,Events -> Lead -> Customer,Time Decay,1,200
225,894,35,Upsell,2024-09-23,7142,38457,46578,Events -> Lead -> Customer,Position Based,7,73
226,905,1,Lead,2024-10-21,9989,20984,39801,Display -> Lead -> SQL,Last Touch,10,318
227,911,39,Customer,2023-09-09,233,28960,89579,Content Marketing -> Lead -> Lead,Linear,7,301
228,912,25,MQL,2024-09-27,1697,33877,55261,Direct Mail -> Lead -> MQL,Last Touch,10,17
229,917,26,Lead,2024-04-02,6463,30994,85263,SEO -> Lead -> MQL,Position Based,8,141
230,918,43,SQL,2023-10-24,1191,7668,53649,Social Media -> Lead -> MQL,Position Based,10,48
231,921,30,MQL,2024-07-30,1196,2872,25483,Influencer -> Lead -> SQL,Time Decay,10,340
232,924,1,Opportunity,2024-08-20,9316,39042,85508,Display -> Lead -> Opportunity,Last Touch,3,124
233,925,16,Lead,2024-10-08,3406,14497,10560,Paid Search -> Lead -> Customer,Linear,8,343
234,929,40,MQL,2024-01-12,7259,2869,37693,Email -> Lead -> MQL,Last Touch,8,298
235,933,47,SQL,2024-04-01,3836,16278,39684,Influencer -> Lead -> Lead,Time Decay,10,343
236,934,50,Opportunity,2024-11-17,8142,10083,80010,Influencer -> Lead -> Opportunity,First Touch,2,333
237,945,30,Lead,2024-09-21,1074,5186,5754,Influencer -> Lead -> Opportunity,Linear,3,72
238,946,25,Upsell,2024-12-09,4315,12189,27382,Direct Mail -> Lead -> Lead,Linear,8,24
239,947,8,Lead,2024-09-15,6248,13199,41469,Influencer -> Lead -> Opportunity,Position Based,4,343
240,949,27,Opportunity,2024-12-12,3494,35800,14079,SEO -> Lead -> SQL,First Touch,2,314
241,955,29,MQL,2024-02-22,4306,49376,25007,Influencer -> Lead -> Lead,Linear,2,19
242,960,35,MQL,2024-09-09,5629,13606,6405,Events -> Lead -> Customer,Time Decay,2,83
243,961,21,Customer,2023-11-27,7838,6198,75443,Influencer -> Lead -> Lead,Position Based,8,12
244,964,11,Customer,2024-10-09,8701,4765,34548,Events -> Lead -> Upsell,Time Decay,4,297
245,966,23,Customer,2024-12-25,6138,46941,63211,Webinars -> Lead -> MQL,Position Based,3,153
246,967,39,Upsell,2023-10-02,6185,12466,84495,Content Marketing -> Lead -> Lead,Linear,7,230
247,976,33,Upsell,2024-08-23,8875,6908,14349,Display -> Lead -> MQL,Time Decay,3,7
248,984,7,Opportunity,2024-03-25,5303,16718,41260,Influencer -> Lead -> Opportunity,Last Touch,3,215
249,985,37,Opportunity,2024-11-01,3172,4207,10371,Events -> Lead -> Lead,Last Touch,10,319
250,995,43,Customer,2024-05-31,593,12614,74139,Social Media -> Lead -> SQL,First Touch,9,212
251,996,42,Upsell,2024-07-30,1912,29348,46742,Direct Mail -> Lead -> Lead,Position Based,4,207
252,1000,30,MQL,2024-09-15,7758,42958,58885,Influencer -> Lead -> Upsell,Time Decay,2,115
253,1001,19,MQL,2024-04-01,4768,15341,8026,Influencer -> Lead -> Customer,Last Touch,2,349
254,1007,41,Customer,2024-10-29,248,29672,47255,Events -> Lead -> MQL,Last Touch,7,17
255,1010,47,Lead,2024-10-12,2214,23238,32198,Influencer -> Lead -> Upsell,First Touch,10,144
256,1013,16,Upsell,2024-11-25,3994,22739,43140,Paid Search -> Lead -> Customer,Position Based,2,111
257,1014,31,Lead,2024-06-27,4531,45204,42156,Paid Search -> Lead -> SQL,Linear,7,359
258,1020,3,Opportunity,2024-08-03,2285,1774,22163,Influencer -> Lead -> Upsell,Last Touch,4,363
259,1021,46,Opportunity,2024-05-27,6290,30027,35154,Social Media -> Lead -> Customer,Time Decay,1,55
260,1024,24,SQL,2024-04-14,9034,35874,70852,SEO -> Lead -> Customer,Position Based,5,185
261,1036,38,Customer,2024-11-23,4997,16990,79133,Direct Mail -> Lead -> Opportunity,Time Decay,1,80
262,1037,14,MQL,2024-02-10,8932,43903,75357,Social Media -> Lead -> MQL,Time Decay,2,214
263,1038,34,Opportunity,2024-06-11,5131,4499,27487,Events -> Lead -> SQL,Position Based,6,299
264,1043,41,MQL,2024-07-10,6623,25206,45405,Events -> Lead -> Lead,Time Decay,3,145
265,1044,27,SQL,2024-03-15,7783,38632,4816,SEO -> Lead -> Opportunity,Linear,6,23
266,1045,39,Opportunity,2023-09-23,3634,48400,43521,Content Marketing -> Lead -> MQL,Time Decay,1,168
267,1048,46,Upsell,2024-07-06,8854,38180,45121,Social Media -> Lead -> Upsell,Last Touch,7,320
268,1049,31,SQL,2024-03-01,4293,37151,70416,Paid Search -> Lead -> Opportunity,Position Based,2,241
269,1050,18,Opportunity,2024-12-16,5398,22810,93646,Webinars -> Lead -> Opportunity,Position Based,4,349
270,1053,26,MQL,2023-11-22,4479,19597,32196,SEO -> Lead -> Lead,Last Touch,2,30
