attribution_id,conversion_id,campaign_id,attribution_model,attribution_percentage,attributed_revenue,touchpoint_position,days_from_first_touch,days_from_last_touch,channel_weight,interaction_type
110,22,17,Position Based,0.76,3253.6000000000004,6,14,30,0.58,Engagement
111,23,2,First Touch,0.93,22226.56,8,9,15,0.39,Click
112,23,2,Last Touch,0.81,25352.17,8,89,23,0.51,Engagement
113,23,2,Linear,0.52,27435.91,5,292,18,0.91,View
114,23,2,Time Decay,0.47,17364.5,8,294,6,0.87,Engagement
115,23,2,Position Based,0.35,18059.08,5,6,21,0.41,Engagement
116,24,24,First Touch,0.47,29091.15,5,55,19,0.19,Conversion
117,24,24,Last Touch,0.27,30886.899999999998,9,64,17,0.55,Conversion
118,24,24,Linear,0.68,23703.9,4,351,24,0.52,Engagement
119,24,24,Time Decay,0.77,10415.349999999999,5,273,6,0.77,Click
120,24,24,Position Based,0.8,13647.7,9,29,29,0.7,View
121,25,21,First Touch,0.41,6805.679999999999,1,124,12,0.51,View
122,25,21,Last Touch,0.99,5104.26,2,201,1,0.82,View
123,25,21,Linear,0.42,2835.7,2,67,12,0.29,Conversion
124,25,21,Time Decay,0.4,2349.58,3,325,24,0.94,Click
125,25,21,Position Based,0.17,5995.48,8,287,19,1.0,Click
126,26,14,First Touch,0.57,36551.41,4,209,22,0.21,Engagement
127,26,14,Last Touch,0.22,25873.47,4,33,16,0.45,Click
128,26,14,Linear,0.86,5749.660000000001,2,310,14,0.72,Click
129,26,14,Time Decay,0.92,15195.53,4,181,22,0.21,View
130,26,14,Position Based,0.89,8213.800000000001,10,291,6,0.69,Conversion
131,27,16,First Touch,0.35,1763.04,6,194,19,0.59,Engagement
132,27,16,Last Touch,0.81,12928.960000000001,9,220,22,0.35,View
133,27,16,Linear,0.23,10872.08,7,242,17,0.47,View
134,27,16,Time Decay,0.3,3966.84,6,297,17,0.6,Conversion
135,27,16,Position Based,0.35,7933.68,1,194,23,0.85,Conversion
136,28,42,First Touch,0.58,2546.3,7,9,7,0.54,View
137,28,42,Last Touch,0.59,17569.469999999998,3,301,29,0.86,Click
138,28,42,Linear,0.13,5347.23,10,349,14,0.6,View
139,28,42,Time Decay,0.49,11458.35,6,272,30,0.34,Click
140,28,42,Position Based,0.61,3055.56,2,49,10,0.52,View
141,29,4,First Touch,0.37,29559.2,4,84,6,0.19,Conversion
142,29,4,Last Touch,0.99,28887.399999999998,4,176,6,0.56,Click
143,29,4,Linear,0.74,28887.399999999998,6,26,17,0.39,Conversion
144,29,4,Time Decay,0.27,11084.7,3,217,9,0.93,Click
145,29,4,Position Based,0.99,24184.8,7,259,27,0.45,Click
146,30,29,First Touch,0.85,4386.46,4,356,21,0.73,View
147,30,29,Last Touch,0.35,26318.760000000002,4,247,13,0.3,Conversion
148,30,29,Linear,0.26,13159.380000000001,7,340,13,0.93,Conversion
149,30,29,Time Decay,0.94,9447.76,8,176,6,0.18,Click
150,30,29,Position Based,0.68,6748.400000000001,1,293,3,0.49,View
151,31,23,First Touch,0.39,43074.810000000005,7,339,11,0.47,View
152,31,23,Last Touch,0.71,14358.27,10,308,24,0.9,View
153,31,23,Linear,0.31,15284.61,3,201,13,0.6,View
154,31,23,Time Decay,0.16,34274.58,7,8,4,0.75,View
155,31,23,Position Based,0.61,6021.21,1,331,22,0.72,View
156,32,23,First Touch,0.31,26986.05,3,144,26,0.18,Click
157,32,23,Last Touch,0.77,24317.1,10,60,16,0.39,Click
158,32,23,Linear,0.28,5337.9,6,305,21,0.91,Engagement
159,32,23,Time Decay,0.49,17496.45,3,359,27,0.65,View
160,32,23,Position Based,0.27,26392.95,5,241,7,0.28,View
161,33,10,First Touch,0.92,41202.72,7,272,16,0.57,View
162,33,10,Last Touch,0.35,18164.64,2,259,2,0.49,Conversion
163,33,10,Linear,0.97,38544.48,7,38,21,0.36,View
164,33,10,Time Decay,0.56,27468.48,2,355,24,0.45,Click
165,33,10,Position Based,0.29,17278.56,5,60,7,0.58,Conversion
166,34,33,First Touch,0.71,23119.36,3,217,30,0.52,Engagement
167,34,33,Last Touch,0.75,19966.72,2,169,10,0.66,View
168,34,33,Linear,0.56,6042.56,1,294,1,0.86,View
169,34,33,Time Decay,0.22,20492.16,9,153,22,0.35,Conversion
170,34,33,Position Based,0.8,18127.68,4,339,14,0.47,Engagement
171,35,22,First Touch,0.73,31603.62,1,217,9,0.81,View
172,35,22,Last Touch,0.82,10020.66,6,49,17,0.52,Engagement
173,35,22,Linear,0.93,30447.390000000003,8,247,25,0.88,Engagement
174,35,22,Time Decay,0.41,11947.71,3,292,2,0.61,View
175,35,22,Position Based,0.38,31603.62,9,341,14,0.74,View
176,36,5,First Touch,0.48,4050.3599999999997,7,333,18,0.38,Conversion
177,36,5,Last Touch,0.19,15526.380000000001,2,177,24,0.69,Click
178,36,5,Linear,0.78,30377.7,10,70,6,0.65,Engagement
179,36,5,Time Decay,0.56,20926.86,8,290,20,0.66,Conversion
180,36,5,Position Based,0.19,4387.89,9,305,4,0.66,Click
181,37,26,First Touch,0.88,15506.88,4,100,21,0.14,Click
182,37,26,Last Touch,0.61,6461.200000000001,10,294,24,0.66,Click
183,37,26,Linear,0.78,7753.44,6,94,16,0.64,Click
184,37,26,Time Decay,0.14,14860.76,3,51,28,0.52,Click
185,37,26,Position Based,0.86,4522.84,10,66,14,0.56,Engagement
186,38,16,First Touch,0.33,6175.23,6,134,30,0.15,Engagement
187,38,16,Last Touch,0.81,2584.98,3,347,21,0.76,Engagement
188,38,16,Linear,0.66,11057.970000000001,6,277,27,0.56,Conversion
189,38,16,Time Decay,0.34,2010.5400000000002,10,54,25,0.36,View
190,38,16,Position Based,0.26,8760.21,6,272,16,0.21,Conversion
191,39,11,First Touch,0.72,6530.040000000001,9,277,19,0.29,Click
192,39,11,Last Touch,0.83,16133.039999999999,3,256,9,0.66,Engagement
193,39,11,Linear,0.93,30345.48,7,190,9,0.13,View
194,39,11,Time Decay,0.25,21894.839999999997,10,274,21,0.92,Conversion
195,39,11,Position Based,0.76,8066.5199999999995,8,4,12,0.23,Click
196,40,10,First Touch,0.97,46875.51,7,112,24,0.52,View
197,40,10,Last Touch,0.29,20360.07,4,339,10,0.17,View
198,40,10,Linear,0.73,34091.28,3,289,3,0.51,View
199,40,10,Time Decay,0.57,22254.03,2,30,5,0.75,View
200,40,10,Position Based,0.75,26988.929999999997,4,210,29,0.28,Click
201,41,12,First Touch,0.43,8190.3,3,244,2,0.47,Conversion
202,41,12,Last Touch,0.53,35253.9,10,147,18,0.16,Engagement
203,41,12,Linear,0.39,32405.100000000002,3,174,25,0.43,Click
204,41,12,Time Decay,0.83,11039.1,6,194,13,0.96,View
205,41,12,Position Based,0.85,10326.9,9,267,28,0.47,View
206,42,18,First Touch,0.52,9507.03,10,345,3,0.91,Engagement
207,42,18,Last Touch,0.55,19501.600000000002,3,180,27,0.82,View
208,42,18,Linear,0.71,22914.379999999997,2,55,7,0.59,Conversion
209,42,18,Time Decay,0.28,5606.71,5,221,5,0.55,Click
210,42,18,Position Based,0.33,13894.89,10,173,16,0.54,View
211,43,7,First Touch,0.68,9906.24,10,315,10,0.31,Click
212,43,7,Last Touch,0.99,3496.3199999999997,8,12,2,0.83,Click
213,43,7,Linear,0.86,2330.88,5,214,15,0.26,View
214,43,7,Time Decay,0.77,16121.92,7,19,27,0.35,Click
215,43,7,Position Based,0.85,19035.52,7,267,4,0.52,View
216,44,4,First Touch,0.66,9226.84,10,270,20,0.71,Engagement
217,44,4,Last Touch,0.17,22737.57,10,70,19,0.76,Engagement
218,44,4,Linear,0.63,32293.94,10,149,3,0.93,View
219,44,4,Time Decay,0.63,18783.21,4,134,12,0.78,View
220,44,4,Position Based,0.99,18453.68,2,61,4,0.57,View
221,45,27,First Touch,0.38,11011.609999999999,9,274,21,0.52,Click
222,45,27,Last Touch,0.31,3582.09,6,164,14,0.8,Conversion
223,45,27,Linear,0.99,10613.6,1,189,5,0.88,View
224,45,27,Time Decay,0.94,7562.19,1,112,4,0.94,View
225,45,27,Position Based,0.78,8888.890000000001,8,353,3,0.72,View
226,46,45,First Touch,0.19,2581.2000000000003,7,285,18,0.86,Click
227,46,45,Last Touch,0.34,2676.8,10,32,29,0.95,View
228,46,45,Linear,0.35,2915.7999999999997,4,207,12,0.6,View
229,46,45,Time Decay,0.86,2198.8,8,182,6,0.23,Click
230,46,45,Position Based,0.99,3680.6,9,130,19,0.69,Conversion
231,47,4,First Touch,0.15,4475.8,9,203,1,0.72,Click
232,47,4,Last Touch,0.52,6032.6,5,348,16,0.22,Click
233,47,4,Linear,0.52,8173.2,7,306,22,0.54,Conversion
234,47,4,Time Decay,0.3,3502.7999999999997,5,201,16,0.51,Engagement
235,47,4,Position Based,0.8,3308.2000000000003,9,209,13,0.36,Conversion
236,48,32,First Touch,0.72,2441.88,1,4,12,0.92,Click
237,48,32,Last Touch,0.23,4883.76,1,9,7,0.69,View
238,48,32,Linear,0.7,11598.929999999998,5,300,13,0.13,Engagement
239,48,32,Time Decay,0.9,17296.649999999998,9,182,22,0.65,Engagement
240,48,32,Position Based,0.62,3866.31,1,32,6,0.47,Click
241,49,35,First Touch,0.49,36877.5,8,129,14,0.48,Click
242,49,35,Last Touch,0.57,27043.500000000004,8,10,9,0.48,Engagement
243,49,35,Linear,0.37,22126.5,2,272,23,0.29,Click
244,49,35,Time Decay,0.72,38844.3,8,168,10,0.82,View
245,49,35,Position Based,0.98,30977.1,9,16,22,0.55,View
246,50,25,First Touch,0.97,18258.68,8,155,9,0.35,View
247,50,25,Last Touch,0.32,22554.84,6,128,24,0.6,Conversion
248,50,25,Linear,0.67,10203.380000000001,5,307,27,0.74,Engagement
249,50,25,Time Decay,1.0,9666.359999999999,3,310,30,0.76,Click
250,50,25,Position Based,0.74,26851.0,10,152,14,0.5,Engagement
251,51,36,First Touch,0.77,13049.12,4,5,23,0.76,Engagement
252,51,36,Last Touch,0.36,9786.84,7,268,22,0.47,Conversion
253,51,36,Linear,0.27,11651.0,4,4,30,0.24,Engagement
254,51,36,Time Decay,0.24,43807.759999999995,3,135,14,0.59,Engagement
255,51,36,Position Based,0.33,26098.24,6,292,1,0.71,View
256,52,11,First Touch,0.33,1868.7200000000003,2,176,30,0.31,View
257,52,11,Last Touch,0.65,3804.18,6,280,22,0.65,View
258,52,11,Linear,0.23,5672.9,10,248,16,0.76,Engagement
259,52,11,Time Decay,0.65,5205.72,7,123,30,0.4,View
260,52,11,Position Based,0.18,4938.76,8,342,13,0.3,View
261,53,25,First Touch,0.41,44583.36,1,216,13,0.23,Engagement
262,53,25,Last Touch,0.8,23220.5,7,219,13,0.47,View
263,53,25,Linear,0.65,7894.97,6,71,11,0.89,Conversion
264,53,25,Time Decay,0.62,34830.75,1,329,16,0.12,Engagement
265,53,25,Position Based,0.63,26471.37,5,197,25,0.15,Conversion
266,54,39,First Touch,0.79,17521.559999999998,8,88,4,0.26,Conversion
267,54,39,Last Touch,0.49,19955.11,10,152,7,0.54,Conversion
268,54,39,Linear,0.72,11681.039999999999,6,75,21,0.66,View
269,54,39,Time Decay,0.78,26769.050000000003,1,134,24,0.31,View
270,54,39,Position Based,0.21,22875.37,5,299,14,0.88,Engagement
271,55,8,First Touch,0.8,15839.64,2,124,26,0.46,View
272,55,8,Last Touch,0.87,11248.44,7,36,7,0.86,View
273,55,8,Linear,0.81,18823.92,10,87,28,0.48,Click
274,55,8,Time Decay,0.71,10559.76,2,235,11,0.66,View
275,55,8,Position Based,0.22,16987.44,5,349,18,0.82,Engagement
276,56,9,First Touch,0.46,2264.3199999999997,5,310,16,0.76,Click
277,56,9,Last Touch,0.13,4840.96,6,268,5,0.53,Click
278,56,9,Linear,0.63,6792.96,5,347,15,0.45,Click
279,56,9,Time Decay,0.26,7495.679999999999,9,228,9,0.51,Engagement
280,56,9,Position Based,0.67,2186.2400000000002,6,344,8,0.81,View
281,57,39,First Touch,0.89,10930.19,2,341,28,0.81,View
282,57,39,Last Touch,0.57,16085.94,4,18,25,0.14,Click
283,57,39,Linear,1.0,5980.669999999999,2,348,2,0.11,View
284,57,39,Time Decay,0.89,4330.83,8,299,18,0.36,Conversion
285,57,39,Position Based,0.85,16704.63,2,343,16,0.62,Engagement
286,58,33,First Touch,0.13,4048.66,7,359,18,0.73,View
287,58,33,Last Touch,0.25,6993.14,9,192,24,0.12,Conversion
288,58,33,Linear,0.68,10489.71,1,28,16,0.19,Engagement
289,58,33,Time Decay,0.91,5704.93,8,282,5,0.6,Conversion
290,58,33,Position Based,0.59,12514.04,1,292,2,0.88,View
291,59,27,First Touch,0.82,18559.1,9,82,23,0.18,Engagement
292,59,27,Last Touch,0.3,21475.530000000002,4,263,18,0.32,Click
293,59,27,Linear,0.48,21740.66,9,148,5,0.74,View
294,59,27,Time Decay,0.31,11135.46,2,56,30,0.8,Conversion
295,59,27,Position Based,0.19,22536.05,9,134,22,0.49,Conversion
296,60,49,First Touch,0.89,1548.48,8,90,5,0.14,Engagement
297,60,49,Last Touch,0.33,3226.0,2,68,19,0.71,Click
298,60,49,Linear,0.39,2129.1600000000003,10,71,4,0.3,Engagement
299,60,49,Time Decay,0.37,5161.6,3,348,3,0.3,Click
300,60,49,Position Based,0.7,4968.04,1,162,4,0.57,Engagement
301,61,9,First Touch,0.86,360.06,9,76,23,0.6,Click
302,61,9,Last Touch,0.72,2096.82,2,9,25,0.71,View
303,61,9,Linear,0.27,804.84,8,28,26,0.75,Conversion
304,61,9,Time Decay,0.18,2054.46,3,164,17,0.88,Conversion
305,61,9,Position Based,0.68,1207.26,8,123,7,0.92,View
306,62,42,First Touch,0.31,5814.03,5,120,19,0.75,Click
307,62,42,Last Touch,0.49,8112.599999999999,1,75,30,0.31,Click
308,62,42,Linear,0.1,5949.24,9,220,29,0.19,Engagement
309,62,42,Time Decay,0.57,10816.800000000001,1,74,9,0.97,View
310,62,42,Position Based,0.71,2974.62,9,310,24,0.47,Engagement
311,63,34,First Touch,0.92,29180.1,10,89,14,0.14,Click
312,63,34,Last Touch,0.55,17338.899999999998,2,106,25,0.65,Conversion
313,63,34,Linear,0.52,21145.0,7,97,14,0.52,Click
314,63,34,Time Decay,0.79,7189.3,3,128,15,0.93,Engagement
315,63,34,Position Based,0.18,10572.5,6,125,2,0.8,Conversion
316,64,19,First Touch,0.4,11949.57,2,58,13,0.84,Engagement
317,64,19,Last Touch,0.2,15418.800000000001,4,312,14,0.39,Conversion
318,64,19,Linear,0.57,37776.06,4,254,8,0.46,View
319,64,19,Time Decay,0.67,21586.320000000003,5,134,19,0.61,Engagement
320,64,19,Position Based,0.87,15033.33,10,166,18,0.38,Click
321,65,10,First Touch,0.43,19684.0,1,8,5,0.32,Click
322,65,10,Last Touch,0.82,4921.0,1,54,27,0.79,Conversion
323,65,10,Linear,0.86,7252.000000000001,9,63,14,0.99,Engagement
324,65,10,Time Decay,0.87,5698.0,8,170,24,0.6,View
325,65,10,Position Based,0.27,9842.0,3,139,23,0.61,View
326,66,1,First Touch,0.67,23701.0,1,18,24,0.45,Conversion
327,66,1,Last Touch,0.57,35551.5,9,238,20,0.26,Engagement
328,66,1,Linear,0.8,35551.5,2,113,14,0.15,Click
329,66,1,Time Decay,0.81,6162.26,10,288,17,0.92,Click
330,66,1,Position Based,0.39,9006.38,6,126,21,0.89,Engagement
331,67,23,First Touch,0.67,910.0000000000001,6,167,11,0.26,View
332,67,23,Last Touch,0.99,1072.5,5,74,17,0.83,Conversion
333,67,23,Linear,0.55,1787.5000000000002,5,326,15,0.17,Conversion
334,67,23,Time Decay,0.49,1625.0,1,15,29,0.24,Conversion
335,67,23,Position Based,0.12,1722.5,4,328,11,0.35,Engagement
336,68,43,First Touch,0.91,33840.52,3,98,9,0.9,Engagement
337,68,43,Last Touch,0.15,9350.67,7,165,22,0.81,Click
338,68,43,Linear,0.84,4897.97,9,252,15,0.35,View
339,68,43,Time Decay,0.94,39629.03,7,120,22,0.82,View
340,68,43,Position Based,0.57,16474.99,4,271,26,0.57,Conversion
341,69,6,First Touch,0.32,3961.71,6,297,1,0.33,Click
342,69,6,Last Touch,0.22,12765.51,4,257,7,0.24,View
343,69,6,Linear,0.43,8950.53,1,133,17,0.6,Engagement
344,69,6,Time Decay,0.21,11738.400000000001,3,126,21,0.13,View
345,69,6,Position Based,0.12,13352.43,9,97,15,0.24,Engagement
346,70,44,First Touch,0.26,6325.700000000001,5,176,21,0.27,Click
347,70,44,Last Touch,1.0,15628.199999999999,10,281,22,0.92,Click
348,70,44,Linear,0.27,16186.35,7,202,14,0.2,Click
349,70,44,Time Decay,0.73,13953.75,4,269,3,0.91,Conversion
350,70,44,Position Based,0.72,6697.8,2,216,3,0.18,Conversion
351,71,48,First Touch,0.73,17934.940000000002,9,90,28,0.96,View
352,71,48,Last Touch,0.98,31581.090000000004,10,286,4,0.72,Click
353,71,48,Linear,0.74,38599.11,6,251,11,0.61,View
354,71,48,Time Decay,0.69,11696.699999999999,4,253,15,0.95,Engagement
355,71,48,Position Based,0.7,8967.470000000001,2,360,14,0.11,View
356,72,12,First Touch,0.61,2252.56,5,47,10,0.52,Engagement
357,72,12,Last Touch,0.85,5966.24,8,278,30,0.9,View
358,72,12,Linear,0.27,6088.0,4,260,1,0.36,Click
359,72,12,Time Decay,0.51,1826.3999999999999,10,153,3,0.58,View
360,72,12,Position Based,0.86,4505.12,5,363,27,0.11,Engagement
361,73,39,First Touch,0.89,4273.76,8,365,24,0.34,Conversion
362,73,39,Last Touch,0.23,12554.17,10,173,29,0.41,Click
363,73,39,Linear,0.77,13355.5,9,344,2,0.64,Conversion
364,73,39,Time Decay,0.72,10684.400000000001,6,292,4,0.44,Conversion
365,73,39,Position Based,0.68,18697.699999999997,3,125,23,0.12,Conversion
366,74,40,First Touch,0.8,27068.8,5,333,26,0.79,Click
367,74,40,Last Touch,0.13,23685.2,2,238,3,0.52,Conversion
368,74,40,Linear,0.13,5921.3,8,71,11,0.73,View
369,74,40,Time Decay,0.47,24108.149999999998,3,77,3,0.83,Click
370,74,40,Position Based,0.48,17763.899999999998,4,267,28,0.69,Conversion
371,75,14,First Touch,0.49,24924.510000000002,6,80,9,0.27,Conversion
372,75,14,Last Touch,0.14,9539.01,9,76,25,0.97,View
373,75,14,Linear,0.59,4923.36,6,186,30,0.99,Click
374,75,14,Time Decay,0.27,19078.02,6,216,25,0.96,View
375,75,14,Position Based,0.35,28309.32,2,246,13,0.86,Click
376,76,25,First Touch,0.9,20682.0,8,343,1,0.76,Engagement
377,76,25,Last Touch,0.48,8732.4,5,250,27,0.79,Engagement
378,76,25,Linear,0.69,5974.8,4,48,1,0.52,View
379,76,25,Time Decay,0.27,11490.0,1,356,8,0.32,Engagement
380,76,25,Position Based,0.69,44581.2,4,334,5,0.88,Engagement
381,77,3,First Touch,0.6,7883.4,4,162,19,0.59,Click
382,77,3,Last Touch,0.36,10023.18,7,160,22,0.35,View
383,77,3,Linear,0.56,4504.8,4,31,19,0.8,Click
384,77,3,Time Decay,0.71,2365.02,9,337,2,0.42,Engagement
385,77,3,Position Based,0.23,8333.88,2,211,28,0.32,Engagement
386,78,28,First Touch,0.17,14025.6,7,63,25,0.48,Engagement
387,78,28,Last Touch,0.92,10869.84,8,140,29,0.8,View
388,78,28,Linear,0.81,26648.64,3,205,8,0.17,Engagement
389,78,28,Time Decay,0.31,15428.16,1,286,18,0.25,Engagement
390,78,28,Position Based,0.45,3857.04,1,241,25,0.58,Click
391,79,3,First Touch,0.18,18602.66,6,166,2,0.64,View
392,79,3,Last Touch,0.23,5191.44,10,147,14,0.75,Click
393,79,3,Linear,0.42,34176.98,5,341,18,0.95,Conversion
394,79,3,Time Decay,0.18,8652.4,6,113,22,0.81,Conversion
395,79,3,Position Based,0.17,25091.96,7,268,19,0.39,View
396,80,9,First Touch,0.21,9645.44,5,323,26,0.67,Engagement
397,80,9,Last Touch,0.91,13865.32,3,138,9,0.92,View
398,80,9,Linear,0.99,10851.119999999999,4,140,11,0.65,Conversion
399,80,9,Time Decay,0.77,14769.58,10,150,4,0.26,View
